City,State,Population,People per sq mi,Metro Name,Metro population,Hottest month's avg high (F),Coldest month's avg high (F),Hottest high minus coldest high,Annual rainfall (in),Annual days of precipitation,Annual days of sunshine,Annual snowfall (in),Avg Summer Dew Point,Avg Annual Dew Point,Average yearly windspeed (mph),Violent crime index,Property crime index,Median age,% with at least Bachelor's degree,Median household income,Poverty Rate,Avg Apartment Monthly Rent,Avg Apartment sqft,Median home price,Median home sqft,Median home cost per sqft,Median home age,Homeownership Rate,Home appreciation Last Year,Home appreciation Last 5 Years,Home appreciation Last 10 Years,Air quality Index,Average one-way commute time,Unemployment rate,Job growth last year,Population growth since 2010,County,% Democrat,% Republican,% Asian,% Black,% White,% Hispanic,Foreign Born %,Timezone,Elevation (ft),UV Index,Single Population,Walk Score,Transit Score,Bike Score,% of income spent on housing costs (owners),Number of sex offenders per 10k residents,Number of hurricanes since 1930,Number of tornadoes per year,Number of earthquakes since 1931
Brandenburg,Kentucky,2850,685,Elizabethtown-Fort Knox,154356,87,43,44,49,114,195,5,64.1,46.3,6,8,18,34,21.01%,$39440,18.7%,N/A,N/A,$144000,N/A,N/A,37,43.60%,5%,21%,22%,57,22 mins,5.30%,1.50%,10.80%,Meade County,24.70%,70.80%,2.53%,4.43%,88.25%,1.00%,3.2%,Eastern Standard Time,708,4.3,60.50%,34,N/A,25,15.6%,81.42,16,2,3
Buffalo,Kentucky,515,436,Elizabethtown-Fort Knox,154356,87,43,44,49,98,195,3,64.6,47.2,5,6,15,35,4.25%,$39625,10.5%,N/A,N/A,$87500,N/A,N/A,42,76.80%,6%,18%,16%,73,26 mins,5.30%,1.60%,13.40%,Larue County,20.10%,75.40%,4.49%,6.29%,76.95%,N/A,4.7%,Eastern Standard Time,708,4.1,26.60%,6,N/A,22,15.3%,274.39,16,1,0
Cecilia,Kentucky,733,523,Elizabethtown-Fort Knox,154356,87,43,44,49,108,195,3,64,46.2,6,6,14,43,N/A,$112679,27.1%,N/A,N/A,$137000,N/A,N/A,30,73.30%,5%,22%,19%,73,22 mins,4.80%,1.70%,15.10%,Hardin County,32.30%,62.50%,N/A,N/A,100.00%,N/A,0%,Eastern Standard Time,708,4.1,16.80%,8,N/A,27,9.0%,505.05,N/A,1,0
Doe Valley,Kentucky,1844,454,Elizabethtown-Fort Knox,154356,87,43,44,49,114,195,5,64.2,46.4,N/A,6,14,49,N/A,$85639,8.6%,N/A,N/A,$164900,N/A,N/A,24,77.50%,4%,19%,18%,57,30 mins,5.30%,1.50%,19.70%,Meade County,24.70%,70.80%,N/A,N/A,99.03%,5.40%,1.7%,Eastern Standard Time,708,4.3,36.70%,0,N/A,13,17.2%,0.00,15,2,3
Ekron,Kentucky,247,1525,Elizabethtown-Fort Knox,154356,87,43,44,49,112,199,3,64,46.2,6,11,27,37,2.92%,$31250,31.3%,N/A,N/A,$119500,N/A,N/A,54,46.80%,3%,16%,15%,70,30 mins,5.30%,1.50%,38.80%,Meade County,24.70%,70.80%,2.33%,N/A,96.12%,N/A,2.1%,Eastern Standard Time,708,4.3,61.40%,10,N/A,28,15.6%,1,17,2,3
Elizabethtown,Kentucky,29794,1118,Elizabethtown-Fort Knox,154356,87,43,44,47,106,198,3,63.9,46.2,6,10,39,36,28.59%,$42735,13.7%,$844,1060,$163200,N/A,N/A,29,40.30%,7%,21%,20%,58,19 mins,4.70%,1.70%,11.10%,Hardin County,32.30%,62.50%,4.02%,11.29%,76.48%,5.80%,4.3%,Eastern Standard Time,708,4.1,52.40%,27,N/A,32,16.7%,47.33,16,1,0
Fort Knox,Kentucky,9092,448,Elizabethtown-Fort Knox,154356,87,42,45,49,106,193,3,63.9,46.1,6,11,38,24,34.36%,$50988,8.1%,N/A,N/A,$158300,N/A,N/A,39,0.70%,5%,23%,19%,71,11 mins,4.80%,1.70%,-23.80%,Hardin County,32.30%,62.50%,2.24%,14.19%,70.30%,16.80%,5.7%,Eastern Standard Time,708,4.1,37.70%,6,N/A,31,N/A,0.00,16,2,1
Hodgenville,Kentucky,3204,1517,Elizabethtown-Fort Knox,154356,87,43,44,49,108,195,3,64,46.5,6,10,13,39,11.22%,$30366,15.1%,N/A,N/A,$88800,N/A,N/A,50,47.30%,5%,18%,16%,69,26 mins,5.30%,1.60%,1.90%,Larue County,20.10%,75.40%,N/A,4.36%,87.89%,6.00%,1.2%,Eastern Standard Time,708,4.1,60.30%,50,N/A,44,14.2%,37.34,16,1,0
Magnolia,Kentucky,446,219,Elizabethtown-Fort Knox,154356,87,43,44,50,107,195,5,64,46.7,7,6,16,40,N/A,$58750,0%,N/A,N/A,$108000,N/A,N/A,47,78.20%,6%,18%,16%,71,26 mins,5.30%,1.60%,-21.50%,Larue County,20.10%,75.40%,N/A,N/A,100.00%,N/A,0%,Eastern Standard Time,708,4.1,42.00%,13,N/A,N/A,15.9%,261.01,16,1,0
Muldraugh,Kentucky,1109,2120,Elizabethtown-Fort Knox,154356,87,42,45,49,116,191,4,64,46.2,6,13,26,35,10.23%,$25417,25.3%,$627,715,$65900,N/A,N/A,48,26.90%,4%,18%,18%,58,30 mins,5.30%,1.50%,-15.70%,Meade County,24.70%,70.80%,N/A,8.17%,87.21%,3.60%,4.7%,Eastern Standard Time,708,4.3,54.80%,22,N/A,30,16.9%,N/A,N/A,1,N/A
Radcliff,Kentucky,22718,1707,Elizabethtown-Fort Knox,154356,86,42,44,48,106,194,3,63.9,46.2,6,14,40,33,17.45%,$45311,15.9%,$712,881,$126600,N/A,N/A,35,43.10%,5%,19%,14%,64,23 mins,4.80%,1.70%,8.00%,Hardin County,32.30%,62.50%,2.98%,29.56%,58.32%,8.20%,6.7%,Eastern Standard Time,708,4.1,51.60%,19,N/A,29,17.2%,40.64,17,1,0
Sonora,Kentucky,638,471,Elizabethtown-Fort Knox,154356,86,43,43,50,108,196,3,63.8,46.3,6,7,18,30,6.97%,$52386,10.1%,N/A,N/A,$124600,N/A,N/A,16,68.90%,5%,29%,24%,67,28 mins,4.80%,1.70%,34.30%,Hardin County,32.30%,62.50%,N/A,N/A,98.01%,N/A,0.7%,Eastern Standard Time,708,4.1,49.50%,31,N/A,45,16.9%,102.56,16,1,0
Upton,Kentucky,815,600,Elizabethtown-Fort Knox,154356,86,43,43,50,108,198,3,64,46.4,7,8,19,36,N/A,$31813,18.5%,N/A,N/A,$83700,N/A,N/A,47,56.00%,5%,23%,18%,68,22 mins,4.80%,1.70%,36.10%,Hardin County,32.30%,62.50%,N/A,N/A,N/A,N/A,0%,Eastern Standard Time,708,4.1,35.80%,11,N/A,N/A,20.7%,116.53,16,1,0
Vine Grove,Kentucky,5793,862,Elizabethtown-Fort Knox,154356,87,42,45,49,108,196,3,64,46.2,6,8,21,38,21.26%,$55986,2.4%,N/A,N/A,$147800,N/A,N/A,34,59.10%,2%,21%,18%,69,23 mins,4.80%,1.70%,34.40%,Hardin County,32.30%,62.50%,1.56%,14.12%,73.85%,2.50%,4.6%,Eastern Standard Time,708,4.1,43.50%,44,N/A,29,15.2%,83.18,17,1,0
West Point,Kentucky,887,333,Elizabethtown-Fort Knox,154356,87,43,44,47,106,193,7,64.2,46.6,6,15,41,34,12.68%,$35395,16.1%,N/A,N/A,$106500,N/A,N/A,60,49.00%,5%,22%,19%,69,31 mins,4.80%,1.70%,35.40%,Hardin County,32.30%,62.50%,N/A,N/A,98.71%,2.10%,1.2%,Eastern Standard Time,708,4.1,62.80%,24,N/A,N/A,14.5%,141.84,14,2,3
