City,State,Population,People per sq mi,Metro Name,Metro population,Median household income,% with at least Bachelor's degree,Median age,Median home price,Median home sqft,Median home cost per sqft,Median home age,Homeownership Rate,Avg Apartment Monthly Rent,Single Population,Num Violent Crimes Per 100k residents,Num Property Crimes Per 100k residents,Poverty Rate,Unemployment rate,Labor Force Participation rate,County,% Democrat,% Republican,% Asian,% Black,% Non-Hispanic White,% Hispanic,Foreign Born %,Timezone,Hottest month's avg high (F),Coldest month's avg high (F),Hottest high minus coldest high,Annual rainfall (in),Annual days of precipitation,Annual snowfall (in),Average yearly windspeed (mph),Air quality Index,Elevation (ft),UV Index,Land Area (sq mi),Fips Code,Latitude,Longitude,Annual Sunshine - Percentage of Possible,Summer Sunshine - Percentage of Possible,Winter Sunshine - Percentage of Possible,Annual Relative Humidity (afternoon),Summer Relative Humidity (afternoon),Number of days with thunder per year,Annual dew point (F),Average summer dew point (F),Hottest month's avg low (F),Coldest month's avg low (F),Summer rainfall (in),Winter rainfall (in),Percent of days that include precipitation,Percent of Summer days that include precipitation,Percent of Winter days that include precipitation,Days of snow per year
Cass township (La Porte Cnty),Indiana,1833,50,Michigan City-La Porte,181404,$68977,N/A,N/A,N/A,N/A,N/A,59,83.60%,N/A,35.30%,N/A,N/A,N/A,4.30%,N/A,LaPorte County,43.40%,49.70%,N/A,N/A,N/A,8.00%,N/A,Central Standard Time,83,32,51,41.94,131,30.8,N/A,82,672,3.5,36.66,IN-10720,41.3903244,-86.8723801,52%,65%,39%,61%,56%,41.1,40,60,62,16,14.02,6.85,36.08%,36.15%,34.11%,21
Center township (La Porte Cnty),Indiana,24877,803,Michigan City-La Porte,181404,$46479,N/A,N/A,N/A,N/A,N/A,60,62.90%,N/A,50.40%,N/A,N/A,N/A,4.30%,N/A,LaPorte County,43.40%,49.70%,N/A,N/A,N/A,8.40%,N/A,Central Standard Time,82,32,50,44.55,137,69.7,N/A,69,741,3.5,30.98,IN-11494,41.639733,-86.7554907,52%,65%,39%,61%,56%,41.1,40,60,64,18,12.61,9.15,40.6%,35.49%,49.33%,34
Clinton township (La Porte Cnty),Indiana,1913,56,Michigan City-La Porte,181404,$72069,N/A,N/A,$95000,1218,$78,29,91.10%,N/A,33.50%,N/A,N/A,N/A,4.30%,N/A,LaPorte County,43.40%,49.70%,N/A,N/A,N/A,6.60%,N/A,Central Standard Time,83,32,51,41.94,133,30.8,N/A,79,672,3.5,2.25,IN-13744,41.4758836,-86.8725335,52%,65%,39%,61%,56%,41.1,40,60,62,16,14.02,6.85,36.08%,36.15%,34.11%,21
Coolspring,Indiana,14642,407,Michigan City-La Porte,181404,$41776,18.46%,N/A,N/A,N/A,N/A,42,58.50%,N/A,49.70%,N/A,N/A,N/A,4.30%,N/A,LaPorte County,43.40%,49.70%,1.35%,15.37%,N/A,3.60%,N/A,Central Standard Time,82,32,50,44.55,139,69.7,N/A,76,741,3.5,35.98,IN-15040,41.6509799,-86.8747084,52%,65%,39%,61%,56%,41.1,40,60,64,18,12.61,9.15,40.6%,35.49%,49.33%,34
Dewey,Indiana,950,27,Michigan City-La Porte,181404,$56442,10.24%,N/A,N/A,N/A,N/A,65,77.10%,N/A,42.10%,N/A,N/A,N/A,4.30%,N/A,LaPorte County,43.40%,49.70%,N/A,N/A,N/A,N/A,N/A,Central Standard Time,83,32,51,41.94,111,30.8,N/A,82,672,3.5,35.19,IN-17974,41.3029406,-86.8762965,52%,65%,39%,61%,56%,41.1,40,60,62,16,14.02,6.85,36.08%,36.15%,34.11%,21
Fish Lake,Indiana,1500,973,Michigan City-La Porte,181404,$73750,11.15%,48,$167000,2227,$75,62,78.95%,$827,46.17%,N/A,N/A,6.44%,3.51%,62.62%,LaPorte County,43.40%,49.70%,0.0%,0.0%,84.34%,13.41%,0.0%,Central Standard Time,82,32,50,42.86,131,69.7,N/A,82,711,3.5,1.54,IN-23386,41.5616157,-86.5512919,52%,65%,39%,61%,56%,41.1,40,60,64,18,13.09,8.1,44.41%,40.44%,48.11%,34
Galena township,Indiana,1791,67,Michigan City-La Porte,181404,$71164,N/A,N/A,$316000,2508,$126,28,66.20%,N/A,28.50%,N/A,N/A,N/A,4.30%,N/A,LaPorte County,43.40%,49.70%,N/A,N/A,N/A,5.40%,N/A,Central Standard Time,82,32,50,45.59,140,62.1,N/A,80,696,3.5,2.67,IN-26224,41.7270315,-86.6419172,52%,65%,39%,61%,56%,41.1,40,60,64,18,13.5,8.97,40.16%,34.95%,46.11%,30
Hanna,Indiana,280,286,Michigan City-La Porte,181404,$79032,N/A,56,$110000,1294,$85,54,100.0%,N/A,45.9%,N/A,N/A,9.6%,0.0%,41.53%,LaPorte County,43.40%,49.70%,0.0%,0.0%,100.0%,0.0%,0.0%,Central Standard Time,83,32,51,41.94,130,30.8,N/A,82,672,3.5,0.98,IN-31180,41.4120268,-86.7794495,52%,65%,39%,61%,56%,41.1,40,60,62,16,14.02,6.85,36.08%,36.15%,34.11%,21
Hanna township,Indiana,713,27,Michigan City-La Porte,181404,$79375,N/A,56,$110000,1294,$85,54,100.0%,N/A,45.9%,N/A,N/A,9.6%,0.0%,41.53%,LaPorte County,43.40%,49.70%,0.0%,0.0%,100.0%,0.0%,0.0%,Central Standard Time,83,32,51,41.94,130,30.8,N/A,82,672,3.5,0.98,IN-31180,41.4120268,-86.7794495,52%,65%,39%,61%,56%,41.1,40,60,62,16,14.02,6.85,36.08%,36.15%,34.11%,21
Hudson Lake,Indiana,1257,653,Michigan City-La Porte,181404,$51830,N/A,42,$65000,1300,$50,69,91.52%,N/A,38.3%,N/A,N/A,8.95%,8.21%,42.44%,LaPorte County,43.40%,49.70%,0.0%,0.0%,100.0%,0.0%,0.0%,Central Standard Time,82,32,50,45.59,143,62.1,N/A,78,696,3.5,1.93,IN-35104,41.7173689,-86.5476068,52%,65%,39%,61%,56%,41.1,40,60,64,18,13.5,8.97,40.16%,34.95%,46.11%,30
Hudson township,Indiana,1815,142,Michigan City-La Porte,181404,$50171,N/A,N/A,N/A,N/A,N/A,62,81.90%,N/A,41.60%,N/A,N/A,N/A,4.30%,N/A,LaPorte County,43.40%,49.70%,N/A,N/A,N/A,N/A,N/A,Central Standard Time,82,32,50,45.59,143,62.1,N/A,79,696,3.5,0.7,IN-35068,41.7271508,-86.5540731,52%,65%,39%,61%,56%,41.1,40,60,64,18,13.5,8.97,40.16%,34.95%,46.11%,30
Johnson township (La Porte Cnty),Indiana,547,31,Michigan City-La Porte,181404,$57125,N/A,N/A,N/A,N/A,N/A,43,75.90%,N/A,44.20%,N/A,N/A,N/A,4.30%,N/A,LaPorte County,43.40%,49.70%,N/A,N/A,N/A,N/A,N/A,Central Standard Time,83,33,50,42.27,130,69.7,N/A,82,681,3.5,17.65,IN-38736,41.4761459,-86.5535679,52%,65%,39%,61%,56%,41.1,40,60,62,17,13.4,7.67,40.25%,37.14%,41.89%,34
