City,State,Population,People per sq mi,Metro Name,Metro population,Hottest month's avg high (F),Coldest month's avg high (F),Hottest high minus coldest high,Annual rainfall (in),Annual days of precipitation,Annual days of sunshine,Annual snowfall (in),Avg Summer Dew Point,Avg Annual Dew Point,Average yearly windspeed (mph),Violent crime index,Property crime index,Median age,% with at least Bachelor's degree,Median household income,Poverty Rate,Avg Apartment Monthly Rent,Avg Apartment sqft,Median home price,Median home sqft,Median home cost per sqft,Median home age,Homeownership Rate,Home appreciation Last Year,Home appreciation Last 5 Years,Home appreciation Last 10 Years,Air quality Index,Average one-way commute time,Unemployment rate,Job growth last year,Population growth since 2010,County,% Democrat,% Republican,% Asian,% Black,% Non-Hispanic White,% Hispanic,Foreign Born %,Timezone,Elevation (ft),UV Index,Single Population,Walk Score,Transit Score,Bike Score,% of income spent on housing costs (owners),Number of sex offenders per 10k residents,Number of hurricanes since 1930,Number of tornadoes per year,Number of earthquakes since 1931,Num Violent Crimes Per 100k residents,Num Property Crimes Per 100k residents,Fips Code,Land Area (sq mi),Labor Force Participation rate
Ansonia,Connecticut,18709,3108,New Haven-Milford,851948,83,38,45,50,114,203,34,59.9,40,8,9,29,42,23.09%,$53709,14.67%,$1117,860,$200500,N/A,N/A,65,62.4%,3%,9%,-9%,59,25 mins,7.05%,N/A,-1.10%,New Haven County,54.20%,42.00%,1.58%,13.89%,61.69%,21.62%,14.34%,Eastern Standard Time,7,3.5,57.00%,39,N/A,27,23.5%,0.00,25,1,5,192,1484,CT-01150,6.02,63.21%
Beacon Falls,Connecticut,6108,631,New Haven-Milford,851948,84,37,47,52,114,206,34,N/A,N/A,8,7,15,N/A,35.54%,$87273,N/A,$1429,769,$220600,N/A,N/A,38,81.40%,2%,8%,-8%,67,29 mins,3.90%,N/A,3.40%,New Haven County,54.20%,42.00%,0.6%,1.9%,89.7%,7.1%,N/A,Eastern Standard Time,7,3.5,51.10%,36,N/A,18,N/A,0.00,25,1,6,N/A,N/A,CT-03250,9.68,N/A
Bethany,Connecticut,5526,262,New Haven-Milford,851948,84,36,48,52,124,206,38,N/A,N/A,8,5,12,N/A,46.70%,$97500,N/A,N/A,N/A,$342000,N/A,N/A,46,88.30%,2%,8%,-8%,68,29 mins,3.90%,N/A,1.10%,New Haven County,54.20%,42.00%,5.2%,1.2%,86.0%,6.4%,N/A,Eastern Standard Time,7,3.5,29.70%,13,N/A,10,N/A,0.00,26,1,10,N/A,N/A,CT-04580,21.09,N/A
Branford,Connecticut,28149,1289,New Haven-Milford,851948,84,37,47,48,108,205,29,N/A,N/A,8,7,33,N/A,45.03%,$71058,N/A,$1326,877,$330000,1718,$192,46,61.90%,2%,8%,-8%,62,22 mins,3.10%,N/A,-0.20%,New Haven County,54.20%,42.00%,4.5%,1.2%,88.3%,4.6%,N/A,Eastern Standard Time,7,3.5,49.50%,78,N/A,47,N/A,0.00,30,1,11,32,1378,CT-07310,21.84,N/A
Cheshire,Connecticut,6491,1623,New Haven-Milford,851948,84,37,47,50,114,198,34,N/A,N/A,7,6,15,51,55.92%,$91170,7.05%,$974,600,$399900,2259,$177,49,87.74%,3%,7%,-5%,66,26 mins,5.97%,N/A,0.30%,New Haven County,54.20%,42.00%,10.0%,0.45%,82.73%,4.36%,11.66%,Eastern Standard Time,7,3.5,42.80%,52,N/A,46,N/A,0.00,26,1,11,44,709,CT-14200,4.0,60.78%
Derby,Connecticut,12420,2455,New Haven-Milford,851948,83,38,45,50,114,205,34,59.9,40,N/A,16,37,47,25.17%,$58534,12.41%,$1101,507,$201100,N/A,N/A,58,66.63%,2%,8%,-8%,60,23 mins,8.38%,N/A,-1.00%,New Haven County,54.20%,42.00%,1.82%,10.12%,67.3%,21.18%,11.4%,Eastern Standard Time,7,3.5,55.20%,77,N/A,50,25.7%,0.00,25,1,5,192,1924,CT-19480,5.06,64.97%
Guilford,Connecticut,22377,475,New Haven-Milford,851948,84,37,47,47,108,203,32,N/A,N/A,9,7,21,N/A,58.39%,$99441,N/A,N/A,N/A,$439900,2156,$204,43,78.60%,2%,8%,-8%,72,27 mins,2.40%,N/A,0.70%,New Haven County,54.20%,42.00%,2.6%,0.4%,91.0%,3.6%,N/A,Eastern Standard Time,7,3.5,38.40%,56,N/A,45,N/A,0.00,30,1,12,45,905,CT-34950,47.11,N/A
Hamden,Connecticut,61493,1884,New Haven-Milford,851948,84,37,47,50,108,205,32,N/A,N/A,8,21,33,N/A,46.11%,$67771,N/A,$1599,938,$259900,1687,$154,54,57.50%,1%,4%,-10%,60,24 mins,3.60%,N/A,2.00%,New Haven County,54.20%,42.00%,5.3%,22.9%,58.0%,11.0%,N/A,Eastern Standard Time,7,3.5,55.40%,63,N/A,47,N/A,0.00,26,1,11,327,2182,CT-35650,32.64,N/A
Heritage Village,Connecticut,4465,1704,New Haven-Milford,851948,85,36,49,50,119,206,40,59.9,40,N/A,8,17,73,39.11%,$51441,7.25%,$1669,N/A,$141300,N/A,N/A,43,72.79%,2%,8%,-8%,71,35 mins,12.6%,N/A,13.10%,New Haven County,54.20%,42.00%,0.0%,6.23%,92.9%,1.7%,8.31%,Eastern Standard Time,7,3.5,53.40%,12,N/A,6,31.8%,0.00,25,1,6,N/A,N/A,CT-37930,2.62,31.72%
Madison,Connecticut,18247,505,New Haven-Milford,851948,84,37,47,48,111,199,32,N/A,N/A,9,6,13,N/A,64.62%,$108231,N/A,N/A,N/A,$499000,2331,$214,43,72.10%,2%,8%,-10%,77,29 mins,2.60%,N/A,0.10%,New Haven County,54.20%,42.00%,2.9%,0.6%,93.5%,0.9%,N/A,Eastern Standard Time,7,3.5,37.40%,3,N/A,15,N/A,0.00,N/A,1,13,0,359,CT-44560,36.13,N/A
