Station Name,Annual
ST PAUL ISLAND/ARPT AK,0
"BARROW/W. POST W. ROGERS, AK",0.1
"COLD BAY, AK",0.2
HOMER/ARPT AK,0.2
KODIAK/U S C G BASE AK,0.2
"JUNEAU, AK",0.3
"KOTZEBUE/RALPH WIEN, AK",0.7
"NOME, AK",0.7
"ANCHORAGE/INTL, AK",0.9
"KING SALMON, AK",1.4
ANNETTE/WSO AIRPORT AK,1.8
"BETHEL/BETHEL AIRPORT, AK",2
YAKUTAT/STATE ARPT AK,2.7
"SAN FRANCISCO/INTERNATIONAL A,CA",2.9
SAN DIEGO/LINDBERGH FIELD CA,3
"SANTA BARBARA, CA",3.2
BAKERSFIELD/MEADOWS FIELD CA,3.7
"STOCKTON, CA",3.7
"TALKEETNA, AK",4
EUGENE/MAHLON SWEET ARPT OR,4.1
SACRAMENTO/EXECUTIVE ARPT CA,4.5
"LOS ANGELES/INTL, CA",4.6
"SALEM, OR",4.6
LONG BEACH/WSCMO CA,4.9
BETTLES/FIELD AK,5
"OLYMPIA, WA",5.6
FRESNO/AIR TERMINAL CA,5.8
"YAKIMA/YAKIMA AIR TERMINAL, WA",6.3
"ASTORIA/CLATSOP, OR",6.7
"SEATTLE/SEATTLE-TACOMA INTL A,WA",6.8
PORTLAND OR,7
"QUILLAYUTE STATE AP, WA",7.2
MC GRATH/ARPT AK,7.3
"FAIRBANKS/INTL, AK",7.7
YUMA/INT'L ARPT AZ,7.7
"MEDFORD/JACKSON CO. AP, OR",7.8
"PENDLETON, OR",8.4
"SPOKANE/INTL, WA",10.3
"LAS VEGAS/MCCARRAN, NV",13.4
BOISE/AIR TERMINAL ID,14.1
"RENO/INTL, NV",15
"MOUNT WASHINGTON, NH",16
"WINNEMUCCA/MUNICIPAL, NV",16.6
PORTLAND/INT'L JETPORT ME,17
"BOSTON/LOGAN INT'L AIRPORT, MA",17.7
"CONCORD MUNICIPAL AP, NH",17.7
"NEW YORK CENTRAL PARK, NY",19.4
"PROVIDENCE/GREEN STATE, RI",19.7
HARTFORD/BRADLEY INT'L ARPT CT,19.9
ELKO/MUNICIPAL ARPT NV,20.7
BRIDGEPORT/SIKORSKY MEMORIAL CT,20.9
KALISPELL MT,21.1
"NEW YORK/JFK, NY",22.6
"ALBANY/ALBANY COUNTY, NY",22.7
WORCESTER/WSO AP MA,22.8
POCATELLO/MUNICIPAL ARPT ID,23
"MISSOULA/JOHNSON-BELL FIELD, MT",23
"BURLINGTON/ETHAN ALLEN AIRPOR,VT",23.6
NEW YORK/LAGUARDIA ARPT NY,24
GREAT FALLS/INT'L ARPT MT,24.8
"PHOENIX/SKY HARBOR INTL, AZ",25
"CORPUS CHRISTI/INTL, TX",25.3
NEWARK/INT'L ARPT NJ,25.9
GLASGOW/INT'L ARPT MT,26.1
BILLINGS/LOGAN INT'L ARPT MT,26.4
"BALTIMORE/BALTO-WASH, MD",26.6
"BROWNSVILLE/INTL, TX",26.8
SYRACUSE/HANCOCK INT'L ARPT NY,26.8
"ATLANTIC CITY, NJ",27.2
"ROCHESTER/ROCHESTER-MONROE CO,NY",27.4
"MILES CITY FAA AP, MT",27.4
"WILKES-BARRE-SCRANTON, PA",27.5
"WASHINGTON DC/DULLES INT'L AR,VA",27.7
"WILLISTON/SLOULIN FIELD, ND",27.9
"HELENA/COUNTY-CITY, MT",28
"BINGHAMTON/EDWIN A LINK FIELD,NY",28.1
MARQUETTE/FAA ARPT MI,28.1
PHILADELPHIA/INT'L ARPT PA,28.3
"SAULT STE. MARIE, MI",29.1
"WILMINGTON/GREATER WILMINGTON, DE",29.3
WASHINGTON DC/NATIONAL ARPT VA,29.4
"ALLENTOWN/A.-BETHLEHEM, PA",29.8
HARRISBURG/CAPITAL CI AP PA,30.2
"HOUGHTON LAKE, MI",31.4
"GREEN BAY/A.-STRAUBEL, WI",31.6
"BUFFALO/GREATER BUFFALO, NY",31.8
FARGO/WSO AP ND,31.8
"SHERIDAN/COUNTY, WY",31.9
"FLINT/BISHOP, MI",32.3
ALPENA/PHELPS COLLINS AP MI,32.3
DETROIT/METROPOLITAN ARPT MI,32.7
"INTERNATIONAL FALLS/INT'L ARP,MN",32.8
GRAND JUNCTION/WALKER FIELD CO,33
YOUNGSTOWN/WSO AP OH,33
"LANDER/HUNT, WY",33
"CLEVELAND/HOPKINS INTL AP, OH",33.1
"WILLIAMSPORT, PA",33.5
"LANSING/CAPITAL CITY AP, MI",33.6
"BISMARCK/MUNICIPAL, ND",33.6
DULUTH/WSO AP MN,33.7
"ROANOKE/MUNICIPAL, VA",33.8
"MILWAUKEE/GEN. MITCHELL, WI",34.2
DEL RIO/INT'L ARPT TX,34.4
"PITTSBURGH/GR PITTSBURGH INTL,PA",34.4
