Basket Holdings: 81AS OF 02/28/2025,,
All Basket Holdings,,
Symbol,Company,Weight
GE,GE Aerospace,5.33
RTX,RTX Corp,4.21
CAT,Caterpillar Inc,3.95
UBER,Uber Technologies Inc,3.81
UNP,Union Pacific Corp,3.56
HON,Honeywell International Inc,3.29
BA,Boeing Co,3.11
ADP,Automatic Data Processing Inc,3.05
DE,Deere & Co,2.91
ETN,Eaton Corp PLC,2.76
LMT,Lockheed Martin Corp,2.26
GEV,GE Vernova Inc,2.2
UPS,United Parcel Service Inc Class B,2.07
PH,Parker Hannifin Corp,2.05
WM,Waste Management Inc,2.02
MMM,3M Co,2.01
TT,Trane Technologies PLC Class A,1.89
TDG,TransDigm Group Inc,1.83
CTAS,Cintas Corp,1.69
ITW,Illinois Tool Works Inc,1.69
EMR,Emerson Electric Co,1.65
GD,General Dynamics Corp,1.55
NOC,Northrop Grumman Corp,1.5
CSX,CSX Corp,1.47
FDX,FedEx Corp,1.41
JCI,Johnson Controls International PLC Registered Shares,1.36
PCAR,PACCAR Inc,1.34
NSC,Norfolk Southern Corp,1.32
HWM,Howmet Aerospace Inc,1.32
CARR,Carrier Global Corp Ordinary Shares,1.29
CMI,Cummins Inc,1.2
PAYX,Paychex Inc,1.16
RSG,Republic Services Inc,1.15
CPRT,Copart Inc,1.14
GWW,W.W. Grainger Inc,1.08
AME,AMETEK Inc,1.04
FAST,Fastenal Co,1.03
URI,United Rentals Inc,1
VRSK,Verisk Analytics Inc,1
OTIS,Otis Worldwide Corp Ordinary Shares,0.95
LHX,L3Harris Technologies Inc,0.93
DAL,Delta Air Lines Inc,0.92
PWR,Quanta Services Inc,0.91
AXON,Axon Enterprise Inc,0.91
IR,Ingersoll Rand Inc,0.81
ODFL,Old Dominion Freight Line Inc Ordinary Shares,0.79
ROK,Rockwell Automation Inc,0.77
WAB,Westinghouse Air Brake Technologies Corp,0.76
XYL,Xylem Inc,0.76
UAL,United Airlines Holdings Inc,0.73
EFX,Equifax Inc,0.72
BR,Broadridge Financial Solutions Inc,0.67
FTV,Fortive Corp,0.66
DOV,Dover Corp,0.65
VLTO,Veralto Corp,0.59
HUBB,Hubbell Inc,0.47
LII,Lennox International Inc,0.46
LUV,Southwest Airlines Co,0.44
SNA,Snap-on Inc,0.43
LDOS,Leidos Holdings Inc,0.41
EXPD,Expeditors International of Washington Inc,0.39
MAS,Masco Corp,0.39
BLDR,Builders FirstSource Inc,0.38
J,Jacobs Solutions Inc,0.38
PNR,Pentair PLC,0.37
ROL,Rollins Inc,0.35
IEX,IDEX Corp,0.35
TXT,Textron Inc,0.33
SWK,Stanley Black & Decker Inc,0.32
JBHT,JB Hunt Transport Services Inc,0.31
CHRW,C.H. Robinson Worldwide Inc,0.29
NDSN,Nordson Corp,0.27
ALLE,Allegion PLC,0.27
PAYC,Paycom Software Inc,0.25
DAY,Dayforce Inc,0.23
GNRC,Generac Holdings Inc,0.19
AOS,A.O. Smith Corp,0.19
HII,Huntington Ingalls Industries Inc,0.16
,Xai Emini Industr Mar25 Xcme 20250321,0.13
,Ssi Us Gov Money Market Class State Street Inst Us Gov,0.02
,Usd,0.01
†Part or all of this cash position may represent cash-in-lieu of marketable securities and not actual cash.Click here for more information.,,
Top basket holdings are as of the date indicated and may not be representative of the fund's current or future investments.,,
