Basket Holdings: 72AS OF 02/28/2025,,
All Basket Holdings,,
Symbol,Company,Weight
AAPL,Apple Inc,15.38
NVDA,NVIDIA Corp,12.89
MSFT,Microsoft Corp,12.41
AVGO,Broadcom Inc,5.19
CRM,Salesforce Inc,3.15
ORCL,Oracle Corp,2.95
CSCO,Cisco Systems Inc,2.83
IBM,International Business Machines Corp,2.58
ACN,Accenture PLC Class A,2.41
ADBE,Adobe Inc,2.14
NOW,ServiceNow Inc,2.12
TXN,Texas Instruments Inc,1.98
PLTR,Palantir Technologies Inc Ordinary Shares - Class A,1.93
QCOM,Qualcomm Inc,1.93
INTU,Intuit Inc,1.9
AMD,Advanced Micro Devices Inc,1.79
AMAT,Applied Materials Inc,1.44
PANW,Palo Alto Networks Inc,1.38
ADI,Analog Devices Inc,1.26
MU,Micron Technology Inc,1.15
INTC,Intel Corp,1.13
LRCX,Lam Research Corp,1.09
ANET,Arista Networks Inc,1.06
KLAC,KLA Corp,1.05
CRWD,CrowdStrike Holdings Inc Class A,1
APH,Amphenol Corp Class A,0.89
MSI,Motorola Solutions Inc,0.81
SNPS,Synopsys Inc,0.78
CDNS,Cadence Design Systems Inc,0.76
FTNT,Fortinet Inc,0.76
ROP,Roper Technologies Inc,0.69
ADSK,Autodesk Inc,0.65
WDAY,Workday Inc Class A,0.62
NXPI,NXP Semiconductors NV,0.61
FICO,Fair Isaac Corp,0.51
TEL,TE Connectivity PLC Registered Shares,0.51
CTSH,Cognizant Technology Solutions Corp Class A,0.46
IT,Gartner Inc,0.43
GLW,Corning Inc,0.43
DELL,Dell Technologies Inc Ordinary Shares - Class C,0.35
MCHP,Microchip Technology Inc,0.35
HPQ,HP Inc,0.33
MPWR,Monolithic Power Systems Inc,0.33
ANSS,Ansys Inc,0.32
KEYS,Keysight Technologies Inc,0.31
TYL,Tyler Technologies Inc,0.29
GDDY,GoDaddy Inc Class A,0.28
HPE,Hewlett Packard Enterprise Co,0.28
TDY,Teledyne Technologies Inc,0.27
CDW,CDW Corp,0.26
STX,Seagate Technology Holdings PLC,0.24
SMCI,Super Micro Computer Inc,0.23
NTAP,NetApp Inc,0.23
ON,ON Semiconductor Corp,0.22
VRSN,VeriSign Inc,0.22
PTC,PTC Inc,0.22
TER,Teradyne Inc,0.2
TRMB,Trimble Inc,0.19
JBL,Jabil Inc,0.19
FFIV,F5 Inc,0.19
WDC,Western Digital Corp,0.19
ZBRA,Zebra Technologies Corp Class A,0.18
GEN,Gen Digital Inc,0.16
FSLR,First Solar Inc,0.16
AKAM,Akamai Technologies Inc,0.13
JNPR,Juniper Networks Inc,0.13
EPAM,EPAM Systems Inc,0.13
SWKS,Skyworks Solutions Inc,0.12
,Xak Technology Mar25 Xcme 20250321,0.11
ENPH,Enphase Energy Inc,0.09
,Ssi Us Gov Money Market Class State Street Inst Us Gov,0.05
,Usd,0.02
†Part or all of this cash position may represent cash-in-lieu of marketable securities and not actual cash.Click here for more information.,,
Top basket holdings are as of the date indicated and may not be representative of the fund's current or future investments.,,
