Basket Holdings: 75AS OF 02/28/2025,,
All Basket Holdings,,
Symbol,Company,Weight
BRK.B,Berkshire Hathaway Inc Class B,12.83
JPM,JPMorgan Chase & Co,10.15
V,Visa Inc Class A,8.53
MA,Mastercard Inc Class A,6.43
BAC,Bank of America Corp,4.19
WFC,Wells Fargo & Co,3.55
GS,The Goldman Sachs Group Inc,2.66
SPGI,S&P Global Inc,2.3
AXP,American Express Co,2.28
PGR,Progressive Corp,2.25
MS,Morgan Stanley,2.24
C,Citigroup Inc,2.06
BLK,BlackRock Inc,1.93
SCHW,Charles Schwab Corp,1.85
FI,Fiserv Inc,1.83
MMC,Marsh & McLennan Companies Inc,1.59
BX,Blackstone Inc,1.59
CB,Chubb Ltd,1.46
ICE,Intercontinental Exchange Inc,1.36
KKR,KKR & Co Inc Ordinary Shares,1.25
CME,CME Group Inc Class A,1.25
AON,Aon PLC Class A,1.21
AJG,Arthur J. Gallagher & Co,1.15
MCO,Moodys Corp,1.07
PNC,PNC Financial Services Group Inc,1.04
COF,Capital One Financial Corp,1.04
USB,U.S. Bancorp,1
PYPL,PayPal Holdings Inc,0.97
APO,Apollo Global Management Inc Class A,0.91
BK,Bank of New York Mellon Corp,0.88
TFC,Truist Financial Corp,0.84
TRV,The Travelers Companies Inc,0.8
AFL,Aflac Inc,0.75
ALL,Allstate Corp,0.72
AIG,American International Group Inc,0.71
AMP,Ameriprise Financial Inc,0.71
MET,MetLife Inc,0.68
DFS,Discover Financial Services,0.67
MSCI,MSCI Inc,0.63
PRU,Prudential Financial Inc,0.56
FIS,Fidelity National Information Services Inc,0.52
ACGL,Arch Capital Group Ltd,0.48
WTW,Willis Towers Watson PLC,0.47
NDAQ,Nasdaq Inc,0.47
HIG,Hartford Insurance Group Inc,0.47
MTB,M&T Bank Corp,0.43
FITB,Fifth Third Bancorp,0.4
STT,State Street Corp,0.4
RJF,Raymond James Financial Inc,0.39
BRO,Brown & Brown Inc,0.38
GPN,Global Payments Inc,0.37
CPAY,Corpay Inc,0.35
HBAN,Huntington Bancshares Inc,0.33
SYF,Synchrony Financial,0.32
TROW,T. Rowe Price Group Inc,0.32
CINF,Cincinnati Financial Corp,0.32
CBOE,Cboe Global Markets Inc,0.3
NTRS,Northern Trust Corp,0.3
RF,Regions Financial Corp,0.29
CFG,Citizens Financial Group Inc,0.28
WRB,WR Berkley Corp,0.26
PFG,Principal Financial Group Inc,0.26
FDS,FactSet Research Systems Inc,0.24
KEY,KeyCorp,0.23
L,Loews Corp,0.21
EG,Everest Group Ltd,0.21
JKHY,Jack Henry & Associates Inc,0.17
GL,Globe Life Inc,0.15
ERIE,Erie Indemnity Co Class A,0.15
AIZ,Assurant Inc,0.15
,Xaf Financial Mar25 Xcme 20250321,0.12
IVZ,Invesco Ltd,0.11
MKTX,MarketAxess Holdings Inc,0.1
BEN,Franklin Resources Inc,0.09
,Ssi Us Gov Money Market Class State Street Inst Us Gov,0.09
†Part or all of this cash position may represent cash-in-lieu of marketable securities and not actual cash.Click here for more information.,,
Top basket holdings are as of the date indicated and may not be representative of the fund's current or future investments.,,
