Metro Name,Predominant State,Metro population,People per sq mi,Median household income,% with at least Bachelor's degree,Median age,Median home price,Median home sqft,Median home cost per sqft,Median home age,Homeownership Rate,Avg Apartment Monthly Rent,Single Population,Num Violent Crimes Per 100k residents,Num Property Crimes Per 100k residents,Poverty Rate,Unemployment rate,Labor Force Participation rate,% Democrat,% Republican,% Asian,% Black,% Non-Hispanic White,% Hispanic,Foreign Born %,Timezone,Hottest month's avg high (F),Coldest month's avg high (F),Hottest high minus coldest high,Hottest month's avg low (F),Coldest month's avg low (F),Annual Relative Humidity (afternoon),Summer Relative Humidity (afternoon),Annual dew point (F),Average summer dew point (F),Hottest month's avg heat index high (F),Annual Sunshine - Percentage of Possible,Summer Sunshine - Percentage of Possible,Winter Sunshine - Percentage of Possible,Annual rainfall (in),Summer rainfall (in),Winter rainfall (in),Percent of days that include precipitation,Percent of Summer days that include precipitation,Percent of Winter days that include precipitation,Annual snowfall (in),Days of snow per year,Average yearly windspeed (mph),Number of days with thunder per year,Air quality Index,UV Index,Latitude,Longitude
New York-Newark-Jersey City,New York,20011812,22141,$104031,41%,40,$725093,1481,$544,57,66%,$1768,48%,377,1291,9%,5%,65%,68%,28%,8%,12%,53%,24%,24%,Eastern Standard Time,85,39,46,67,24,54%,53%,41,61,88,55%,62%,51%,49,14.16,11.6,35%,36%,35%,31,11,7,25,37,3,40.76264837503854,-73.96217584739739
Los Angeles-Long Beach-Anaheim,California,13202558,7932,$83016,35%,37,$935021,1565,$591,53,50%,$1777,53%,458,2171,12%,6%,65%,66%,27%,16%,6%,28%,45%,32%,Pacific Standard Time,89,67,21,63,45,54%,56%,51,58,99,71%,76%,70%,11,0.09,7.44,9%,1%,18%,0,0,4,4,45,6,34.00570883194145,-118.20372700023613
Chicago-Naperville-Elgin,Illinois,9607711,10513,$83420,40%,37,$330418,1658,$198,49,67%,$1285,51%,417,1905,11%,6%,67%,62%,31%,6%,16%,50%,23%,17%,Central Standard Time,83,32,51,65,17,60%,56%,38,58,85,52%,65%,39%,41,13.36,6.61,35%,36%,33%,41,26,8,38,59,3,41.85723178480707,-87.88683012949491
Dallas-Fort Worth-Arlington,Texas,7543340,3025,$80962,36%,35,$427243,2009,$208,31,62%,$1335,48%,390,2337,11%,4%,69%,46%,47%,7%,16%,42%,30%,19%,Central Standard Time,96,57,39,75,35,53%,49%,51,67,108,61%,71%,56%,39,8.54,7.71,21%,18%,21%,2,0,6,45,48,5,32.858294975893976,-96.94898237158637
Houston-The Woodlands-Sugar Land,Texas,7048954,3062,$71165,34%,35,$349992,2015,$171,35,58%,$1231,50%,796,3584,15%,6%,66%,48%,46%,6%,18%,32%,39%,23%,Central Standard Time,94,63,30,76,44,59%,58%,58,71,108,55%,65%,47%,55,17.02,10.34,27%,29%,31%,0,0,7,60,53,6,29.743134525008855,-95.36127736425532
Washington-Arlington-Alexandria,Virginia,6332069,5828,$115967,53%,37,$594435,1968,$314,42,63%,$1902,50%,594,2966,8%,5%,72%,71%,22%,11%,27%,40%,17%,24%,Eastern Standard Time,88,43,44,69,26,53%,53%,43,63,92,55%,61%,52%,47,14.01,9.52,33%,34%,34%,17,7,7,26,41,4,38.908361251526294,-77.15820880718078
Philadelphia-Camden-Wilmington,Pennsylvania,6215222,6879,$68740,34%,36,$313326,1575,$196,63,62%,$1228,58%,249,1638,16%,7%,65%,62%,33%,5%,27%,50%,12%,11%,Eastern Standard Time,88,41,46,68,25,54%,53%,42,62,92,54%,61%,50%,50,15.42,11.23,34%,34%,36%,25,9,7,28,51,3,40.001996261337425,-75.21320508469972
Miami-Fort Lauderdale-West Palm Beach,Florida,6105897,6630,$66300,33%,41,$501161,1507,$329,39,58%,$1574,53%,417,2817,13%,5%,64%,63%,34%,2%,21%,27%,46%,42%,Eastern Standard Time,90,76,14,76,59,61%,64%,65,73,104,70%,73%,67%,63,24.22,7.88,36%,53%,24%,0,0,8,73,63,6,26.056398249550192,-80.24602450358799
Atlanta-Sandy Springs-Roswell,Georgia,6026734,2587,$76110,46%,36,$433484,2049,$212,32,57%,$1321,54%,274,2577,12%,5%,68%,57%,37%,6%,36%,42%,10%,14%,Eastern Standard Time,89,53,36,69,32,54%,56%,49,66,98,60%,63%,53%,52,13.3,15.22,32%,36%,37%,2,0,8,49,43,5,33.813147339919865,-84.37058049009072
Boston-Cambridge-Newton,Massachusetts,4912030,6077,$97172,49%,37,$727151,1710,$437,65,57%,$1696,54%,280,948,11%,5%,69%,62%,30%,9%,10%,61%,15%,23%,Eastern Standard Time,84,37,46,64,20,56%,56%,38,58,86,57%,65%,53%,49,12.22,12.28,36%,35%,36%,54,19,6,18,61,3,42.431734701838025,-71.09714682733906
Phoenix-Mesa-Scottsdale,Arizona,4787811,2735,$74028,33%,37,$467747,1746,$264,29,64%,$1321,50%,428,2602,12%,5%,64%,44%,48%,4%,5%,53%,31%,14%,Mountain Standard Time,104,64,39,79,41,23%,19%,39,50,105,85%,88%,80%,8,2.2,2.8,9%,10%,13%,0,0,6,25,53,6,33.473253825528715,-112.0051180592106
San Francisco-Oakland-Hayward,California,4725584,7949,$123582,51%,39,$1236621,1612,$761,55,57%,$2227,49%,483,3612,8%,5%,67%,76%,16%,27%,7%,37%,22%,30%,Pacific Standard Time,78,58,20,56,43,66%,65%,46,51,80,67%,69%,59%,19,0.21,10.55,17%,2%,32%,0,0,7,2,55,5,37.76481430333889,-122.2068538840255
Riverside-San Bernardino-Ontario,California,4580402,2872,$76526,22%,35,$568116,1797,$318,34,63%,$1552,50%,428,2340,13%,7%,61%,50%,43%,7%,7%,29%,52%,21%,Pacific Standard Time,96,65,31,66,41,56%,57%,52,57,117,70%,72%,71%,10,0.31,6.32,8%,1%,17%,0,0,5,4,61,5,33.981375021417676,-117.21197498647098
Detroit-Warren-Dearborn,Michigan,4382832,5397,$61265,28%,38,$216666,1373,$150,59,66%,$1028,58%,548,1808,17%,8%,60%,53%,41%,4%,29%,56%,5%,11%,Eastern Standard Time,83,32,51,62,18,59%,54%,38,58,84,51%,66%,39%,35,10.82,6.64,36%,33%,38%,52,39,8,32,65,3,42.50132110018425,-83.19670012677157
Seattle-Tacoma-Bellevue,Washington,3971125,4572,$101919,44%,37,$773196,1817,$425,38,63%,$1740,48%,376,3554,8%,4%,68%,61%,28%,14%,6%,60%,10%,19%,Pacific Standard Time,77,45,31,56,35,63%,50%,42,51,77,45%,60%,27%,43,3.56,16.21,45%,21%,62%,6,2,7,6,35,2,47.53835023978901,-122.27137394078929
