	Month of Period End
Region	Apr-23
Chicago, IL	$350K
Aaronsburg, PA	$190K
Abanda, AL	
Abbeville, AL	$170K
Abbeville, LA	$136K
Abbeville, MS	
Abbotsford, WI	$190K
Abbottstown, PA	$354K
Abbs Valley, VA	
Abbyville, KS	
Aberdeen Gardens, WA	
Aberdeen Proving Ground, MD	
Aberdeen, ID	
Aberdeen, IN	
Aberdeen, MD	$228K
Aberdeen, NC	$450K
Aberdeen, OH	$182K
Aberdeen, SD	$226K
Aberdeen, WA	$253K
Abernathy, TX	$350K
Abilene, TX	$216K
Abingdon, IL	$92K
Abingdon, MD	$323K
Abingdon, VA	$160K
Abington, MA	$480K
Abiquiu, NM	
Abita Springs, LA	$262K
Abram, TX	
Abrams, WI	$285K
Absarokee, MT	
Absecon Highlands, NJ	$403K
Absecon, NJ	$260K
Acacia Villas, FL	
Acala, TX	
Acalanes Ridge, CA	$1,315K
Acampo, CA	$835K
Accokeek, MD	$498K
Accord, NY	
Acequia, ID	
Achille, OK	$70K
Ackerly, TX	
Ackermanville, PA	
Ackworth, IA	
Acme, WA	
Acres Green, CO	$553K
Acton, CA	$835K
Acton, MA	$588K
Acton, MT	
Acushnet Center, MA	$460K
Acushnet, MA	$461K
Acworth, GA	$375K
Ada, KS	
Ada, OK	$138K
Adair Village, OR	$480K
Adair, IL	$84K
Adairsville, GA	$309K
Adams Center, NY	
Adams Run, SC	$340K
Adams, IL	
Adams, MA	$293K
Adams, MN	$154K
Adams, NE	$158K
Adams, NY	
Adams, OR	
Adams, TN	$473K
Adamsburg, PA	
Adamson, OK	
Adamstown, MD	
Adamstown, PA	$237K
Adamsville, AL	$162K
Adamsville, OH	
Adamsville, PA	
Addis, LA	$254K
Addison, IL	$319K
Addison, MI	$525K
Addison, NY	$250K
Addison, PA	$819K
Addison, TX	$545K
Addy, WA	$160K
Addyston, OH	
Adel, IA	$353K
Adelanto, CA	$363K
Adeline, IL	
Adell, WI	
Adelphi, MD	$169K
Adelphi, OH	
Adena, OH	$125K
Admire, KS	
Adona, AR	
Adrian, GA	
Adrian, MI	$185K
Adrian, MN	
Adrian, MO	$149K
Adrian, OR	
Adrian, TX	
Advance, IN	$193K
Advance, NC	$229K
Affton, MO	$221K
Afton, MN	$725K
Afton, OK	
Afton, VA	
Agawam Town, MA	$305K
Agawam, MA	$305K
Agency, IA	
Agency, MO	
Agnew, NE	
Agoura Hills, CA	$1,270K
Agra, OK	
Agua Dulce, CA	$950K
Agua Dulce, TX	
Agua Fria, NM	
Aguanga, CA	$492K
Aguila, AZ	
Ahmeek, MI	
Ahtanum, WA	$430K
Ahuimanu, HI	$450K
Ahwahnee, CA	$318K
Ai, OH	
Aiea, HI	$535K
Aiken, SC	$277K
Ailey, GA	$206K
Ainaloa, HI	$337K
Ainsworth, IA	
Airmont, NY	$1,015K
Airport Drive, MO	
Airport Heights, TX	
Airport, CA	$240K
Airway Heights, WA	$387K
Ajo, AZ	$120K
Akins, OK	
Akron, AL	
Akron, NY	
Akron, OH	$125K
Akron, PA	$255K
Akwesasne, NY	
Alabama, NY	$117K
Alabaster, AL	$290K
Alachua, FL	$343K
Alafaya, FL	$455K
Alamance, NC	
Alameda, CA	$1,223K
Alamo Beach, TX	
Alamo Heights, TX	$657K
Alamo, CA	$2,996K
Alamo, IN	
Alamo, TN	
Alamo, TX	$187K
Alamogordo, NM	$195K
Alba, MO	
Alba, PA	
Albany, CA	$1,113K
Albany, GA	
Albany, IL	$138K
Albany, IN	$120K
Albany, LA	$210K
Albany, MN	$268K
Albany, NY	$217K
Albany, OH	
Albany, OK	
Albany, OR	$380K
Albany, WI	
Albemarle, NC	$242K
Albers, IL	
Albert City, IA	$113K
Albert Lea, MN	$182K
Albert, KS	
Albertson, NY	$690K
Albertville, AL	$224K
Albertville, MN	$383K
Albion, CA	
Albion, IA	
Albion, ID	
Albion, IN	$147K
Albion, MI	$118K
Albion, NY	$90K
Albion, PA	
Albion, WA	$269K
Albrightsville, PA	$150K
Alburgh, VT	$120K
Alburnett, IA	
Alburtis, PA	$425K
Alcalde, NM	
Alcester, SD	$191K
Alcoa, TN	$250K
Alcolu, SC	
Alda, NE	
Aldan, PA	$310K
Alden, IL	$85K
Alden, MN	$185K
Alden, NY	$215K
Alder, WA	
Alderpoint, CA	
Alderson, OK	
Alderton, WA	
Alderwood Manor, WA	$950K
Aldine, TX	$180K
Aldrich, MO	
Aledo, IL	$167K
Aledo, TX	$590K
Alex, OK	
Alexander City, AL	$194K
Alexander, AR	$230K
Alexander, IL	$89K
Alexander, NY	
Alexandria Bay, NY	$92K
Alexandria, AL	$250K
Alexandria, IN	$115K
Alexandria, KY	$335K
Alexandria, LA	
Alexandria, MN	$300K
Alexandria, MO	
Alexandria, NY	$92K
Alexandria, OH	
Alexandria, SD	$171K
Alexandria, VA	$618K
Alexis, NC	
Alfarata, PA	
Alford, MA	
Alfordsville, IN	
Alfred, ME	$307K
Alfred, TX	
Alger, WA	
Algoma, MS	
Algoma, WI	$120K
Algona, WA	$500K
Algonac, MI	$217K
Algonquin, IL	$316K
