City,State,Population,People per sq mi,Metro Name,Metro population,Median household income,% with at least Bachelor's degree,Median age,Median home price,Median home sqft,Median home cost per sqft,Median home age,Homeownership Rate,Avg Apartment Monthly Rent,Single Population,Num Violent Crimes Per 100k residents,Num Property Crimes Per 100k residents,Poverty Rate,Unemployment rate,Labor Force Participation rate,County,% Democrat,% Republican,% Asian,% Black,% Non-Hispanic White,% Hispanic,Foreign Born %,Timezone,Hottest month's avg high (F),Coldest month's avg high (F),Hottest high minus coldest high,Annual rainfall (in),Annual days of precipitation,Annual snowfall (in),Average yearly windspeed (mph),Air quality Index,Elevation (ft),UV Index,Land Area (sq mi),Fips Code,Latitude,Longitude,Annual Sunshine - Percentage of Possible,Summer Sunshine - Percentage of Possible,Winter Sunshine - Percentage of Possible,Annual Relative Humidity (afternoon),Summer Relative Humidity (afternoon),Number of days with thunder per year,Annual dew point (F),Average summer dew point (F),Hottest month's avg low (F),Coldest month's avg low (F),Summer rainfall (in),Winter rainfall (in)
Algoma town,Wisconsin,6912,2810,Oshkosh-Neenah,171631,$77608,N/A,N/A,$130000,1111,$117,24,90.80%,N/A,31.70%,66,561,N/A,3.20%,N/A,Winnebago County,42.50%,49.90%,4.2%,0.3%,93.0%,1.5%,N/A,Central Standard Time,N/A,N/A,N/A,N/A,108,41.0,8.1,75,755,3.1,2.46,WI-01025,44.0286206,-88.6221213,55%,67%,48%,63%,59%,31.6,35,57,N/A,N/A,N/A,N/A
Black Wolf,Wisconsin,2485,160,Oshkosh-Neenah,171631,$70833,30.98%,N/A,N/A,N/A,N/A,54,81.40%,N/A,29.80%,N/A,N/A,N/A,3.20%,N/A,Winnebago County,42.50%,49.90%,0.2%,0.0%,95.8%,2.5%,N/A,Central Standard Time,N/A,N/A,N/A,N/A,108,41.0,8.1,81,755,3.1,15.53,WI-08000,43.9365738,-88.473111,55%,67%,48%,63%,59%,31.6,35,57,N/A,N/A,N/A,N/A
Butte des Morts,Wisconsin,981,798,Oshkosh-Neenah,171631,$86563,34.05%,48,N/A,N/A,N/A,26,83.38%,$743,33.92%,N/A,N/A,4.99%,2.61%,69.66%,Winnebago County,42.50%,49.90%,0.1%,0.0%,98.17%,1.73%,1.22%,Central Standard Time,N/A,N/A,N/A,N/A,112,41.0,8.1,81,755,3.1,1.23,WI-11500,44.105894,-88.6564602,55%,67%,48%,63%,59%,31.6,35,57,N/A,N/A,N/A,N/A
Clayton (Winnebago Cnty),Wisconsin,4088,1274,Oshkosh-Neenah,171631,$81346,N/A,N/A,N/A,N/A,N/A,32,89.50%,N/A,28.10%,N/A,N/A,N/A,3.20%,N/A,Winnebago County,42.50%,49.90%,1.3%,0.6%,94.7%,1.4%,N/A,Central Standard Time,N/A,N/A,N/A,N/A,112,57.7,8.1,81,755,3.1,3.21,WI-15150,44.1995848,-88.5845651,55%,67%,48%,63%,59%,31.6,35,57,N/A,N/A,N/A,N/A
Menasha,Wisconsin,17945,2966,Appleton,238975,$46001,23.40%,N/A,$216000,1543,$140,48,57.70%,N/A,47.80%,269,1336,6.5%,3.20%,N/A,Winnebago County,42.50%,49.90%,2.4%,2.1%,82.9%,8.8%,4.7%,Central Standard Time,N/A,N/A,N/A,N/A,117,57.7,8.1,69,755,3.1,6.05,WI-50850,44.2026116,-88.4100889,55%,67%,48%,63%,59%,31.6,35,57,N/A,N/A,N/A,N/A
Menasha town,Wisconsin,8010,1324,Oshkosh-Neenah,171631,$56828,N/A,N/A,$216000,1543,$140,45,N/A,N/A,54.50%,269,1336,N/A,3.20%,N/A,Winnebago County,42.50%,49.90%,5.2%,2.8%,84.2%,2.9%,N/A,Central Standard Time,N/A,N/A,N/A,N/A,114,57.7,8.1,71,755,3.1,6.05,WI-50850,44.2026116,-88.4100889,55%,67%,48%,63%,59%,31.6,35,57,N/A,N/A,N/A,N/A
Neenah,Wisconsin,25821,2756,Oshkosh-Neenah,171631,$52271,33.40%,N/A,$230000,1655,$139,49,63.10%,N/A,48.30%,172,1262,8.9%,3.20%,N/A,Winnebago County,42.50%,49.90%,2.4%,1.1%,88.6%,4.8%,3.7%,Central Standard Time,N/A,N/A,N/A,N/A,113,41.0,8.1,72,755,3.1,9.37,WI-55775,44.1367898,-88.4640705,55%,67%,48%,63%,59%,31.6,35,57,N/A,N/A,N/A,N/A
Neenah town,Wisconsin,3323,355,Oshkosh-Neenah,171631,$86415,N/A,N/A,$230000,1655,$139,43,89.80%,N/A,32.10%,172,1262,N/A,3.20%,N/A,Winnebago County,42.50%,49.90%,0.0%,0.0%,90.6%,8.5%,N/A,Central Standard Time,N/A,N/A,N/A,N/A,113,41.0,8.1,77,755,3.1,9.37,WI-55775,44.1367898,-88.4640705,55%,67%,48%,63%,59%,31.6,35,57,N/A,N/A,N/A,N/A
Nekimi,Wisconsin,1558,54,Oshkosh-Neenah,171631,$66250,19.83%,N/A,N/A,N/A,N/A,44,87.30%,N/A,36.50%,N/A,N/A,N/A,3.20%,N/A,Winnebago County,42.50%,49.90%,7.8%,0.0%,90.8%,1.0%,N/A,Central Standard Time,N/A,N/A,N/A,N/A,108,41.0,8.1,81,755,3.1,28.85,WI-55850,43.9359359,-88.595463,55%,67%,48%,63%,59%,31.6,35,57,N/A,N/A,N/A,N/A
Nepeuskun,Wisconsin,681,22,Oshkosh-Neenah,171631,$57313,17.53%,N/A,N/A,N/A,N/A,63,73.60%,N/A,34.40%,N/A,N/A,N/A,3.20%,N/A,Winnebago County,42.50%,49.90%,0.3%,0.0%,91.6%,7.6%,N/A,Central Standard Time,N/A,N/A,N/A,N/A,107,41.0,8.1,84,755,3.1,30.95,WI-56100,43.9383987,-88.826277,52%,64%,45%,60%,57%,40.5,37,58,N/A,N/A,N/A,N/A
Omro,Wisconsin,3572,1464,Oshkosh-Neenah,171631,$44375,31.79%,N/A,$167000,1144,$146,42,58.50%,N/A,48.40%,139,418,10.4%,3.20%,N/A,Winnebago County,42.50%,49.90%,0.7%,0.0%,84.2%,14.8%,2.2%,Central Standard Time,N/A,N/A,N/A,N/A,107,41.0,8.1,82,755,3.1,2.44,WI-59900,44.0277851,-88.70506,55%,67%,48%,63%,59%,31.6,35,57,N/A,N/A,N/A,N/A
Omro town,Wisconsin,2371,972,Oshkosh-Neenah,171631,$69181,N/A,N/A,$167000,1144,$146,34,83.60%,N/A,33.80%,139,418,N/A,3.20%,N/A,Winnebago County,42.50%,49.90%,1.4%,0.0%,95.6%,2.3%,N/A,Central Standard Time,N/A,N/A,N/A,N/A,107,41.0,8.1,82,755,3.1,2.44,WI-59900,44.0277851,-88.70506,55%,67%,48%,63%,59%,31.6,35,57,N/A,N/A,N/A,N/A
Oshkosh,Wisconsin,66649,2467,Oshkosh-Neenah,171631,$42860,25.57%,N/A,$177000,1416,$125,51,51.10%,N/A,63.70%,284,1597,8.7%,3.30%,N/A,Winnebago County,42.50%,49.90%,3.1%,3.8%,88.8%,2.7%,3.3%,Central Standard Time,N/A,N/A,N/A,N/A,111,41.0,8.1,64,755,3.1,27.02,WI-60525,44.0460921,-88.4893782,55%,67%,48%,63%,59%,31.6,35,57,N/A,N/A,N/A,N/A
Oshkosh town,Wisconsin,2659,98,Oshkosh-Neenah,171631,$70543,N/A,N/A,$177000,1416,$125,48,80.10%,N/A,29.30%,284,1597,N/A,3.20%,N/A,Winnebago County,42.50%,49.90%,0.3%,1.3%,95.8%,1.8%,N/A,Central Standard Time,N/A,N/A,N/A,N/A,111,41.0,8.1,76,755,3.1,27.02,WI-60525,44.0460921,-88.4893782,55%,67%,48%,63%,59%,31.6,35,57,N/A,N/A,N/A,N/A
Poygan,Wisconsin,1399,60,Oshkosh-Neenah,171631,$69375,N/A,N/A,N/A,N/A,N/A,31,75.10%,N/A,31.40%,N/A,N/A,N/A,3.20%,N/A,Winnebago County,42.50%,49.90%,0.0%,0.0%,98.9%,0.9%,N/A,Central Standard Time,N/A,N/A,N/A,N/A,110,41.0,8.1,84,755,3.1,23.32,WI-64875,44.1087434,-88.8254999,55%,67%,48%,63%,59%,31.6,35,57,N/A,N/A,N/A,N/A
Rushford,Wisconsin,1734,50,Oshkosh-Neenah,171631,$61719,N/A,N/A,N/A,N/A,N/A,40,77.50%,N/A,36.80%,N/A,N/A,N/A,3.20%,N/A,Winnebago County,42.50%,49.90%,0.1%,0.5%,87.6%,8.5%,N/A,Central Standard Time,N/A,N/A,N/A,N/A,107,41.0,8.1,84,755,3.1,34.68,WI-70125,44.0219087,-88.8251393,55%,67%,48%,63%,59%,31.6,35,57,N/A,N/A,N/A,N/A
Utica (Winnebago Cnty),Wisconsin,1303,37,Oshkosh-Neenah,171631,$66708,N/A,N/A,N/A,N/A,N/A,37,89.40%,N/A,31.40%,N/A,N/A,N/A,3.20%,N/A,Winnebago County,42.50%,49.90%,0.5%,0.0%,97.3%,2.1%,N/A,Central Standard Time,N/A,N/A,N/A,N/A,107,41.0,8.1,82,755,3.1,35.22,WI-82175,43.937907,-88.7039345,55%,67%,48%,63%,59%,31.6,35,57,N/A,N/A,N/A,N/A
Vinland,Wisconsin,1772,62,Oshkosh-Neenah,171631,$76536,31.51%,N/A,N/A,N/A,N/A,43,89.30%,N/A,34.50%,N/A,N/A,N/A,3.20%,N/A,Winnebago County,42.50%,49.90%,0.2%,0.0%,98.1%,0.2%,N/A,Central Standard Time,N/A,N/A,N/A,N/A,111,41.0,8.1,80,755,3.1,28.58,WI-82875,44.1219119,-88.5438131,55%,67%,48%,63%,59%,31.6,35,57,N/A,N/A,N/A,N/A
Waukau,Wisconsin,235,169,Oshkosh-Neenah,171631,$51375,7.84%,60,N/A,N/A,N/A,26,87.66%,N/A,41.59%,N/A,N/A,0.0%,0.0%,50.47%,Winnebago County,42.50%,49.90%,0.0%,0.0%,100.0%,0.0%,1.28%,Central Standard Time,N/A,N/A,N/A,N/A,107,41.0,8.1,84,755,3.1,1.39,WI-84200,43.9861963,-88.7705219,55%,67%,48%,63%,59%,31.6,35,57,N/A,N/A,N/A,N/A
