City,State,Population,People per sq mi,Metro Name,Metro population,Hottest month's avg high (F),Coldest month's avg high (F),Hottest high minus coldest high,Annual rainfall (in),Annual days of precipitation,Annual days of sunshine,Annual snowfall (in),Avg Summer Dew Point,Avg Annual Dew Point,Average yearly windspeed (mph),Violent crime index,Property crime index,Median age,% with at least Bachelor's degree,Median household income,Poverty Rate,Avg Apartment Monthly Rent,Avg Apartment sqft,Median home price,Median home sqft,Median home cost per sqft,Median home age,Homeownership Rate,Home appreciation Last Year,Home appreciation Last 5 Years,Home appreciation Last 10 Years,Air quality Index,Average one-way commute time,Unemployment rate,Job growth last year,Population growth since 2010,County,% Democrat,% Republican,% Asian,% Black,% Non-Hispanic White,% Hispanic,Foreign Born %,Timezone,Elevation (ft),UV Index,Single Population,Walk Score,Transit Score,Bike Score,% of income spent on housing costs (owners),Number of sex offenders per 10k residents,Number of hurricanes since 1930,Number of tornadoes per year,Number of earthquakes since 1931,Num Violent Crimes Per 100k residents,Num Property Crimes Per 100k residents,Fips Code,Land Area (sq mi)
Arbutus,Maryland,21167,3242,Baltimore-Columbia-Towson,2800189,89,43,46,42,113,212,17,63.2,44.5,N/A,26,49,33,27.98%,$70221,6.5%,$1143,764,$262500,1483,$177,62,62.90%,4%,19%,2%,42,23 mins,4.10%,0.70%,3.70%,Baltimore County,55.90%,38.30%,11.7%,9.9%,70.9%,2.6%,12.6%,Eastern Standard Time,32,4.1,49.90%,43,37,35,18.3%,4.52,28,2,14,N/A,N/A,MD-01975,6.53
Baltimore Highlands,Maryland,7565,4373,Baltimore-Columbia-Towson,2800189,89,43,46,42,113,213,17,62.9,44.1,N/A,25,48,31,16.08%,$49560,14.1%,$1143,764,$173500,N/A,N/A,58,41.00%,4%,18%,1%,44,24 mins,4.10%,0.70%,3.40%,Baltimore County,55.90%,38.30%,4.0%,15.8%,46.8%,31.2%,21.5%,Eastern Standard Time,32,4.1,55.50%,N/A,50,N/A,19.2%,0.00,28,2,14,N/A,N/A,MD-04050,1.73
Bowleys Quarters,Maryland,6131,1946,Baltimore-Columbia-Towson,2800189,89,44,45,43,111,214,15,62.9,44.1,N/A,18,34,43,25.75%,$67380,3.4%,$1313,838,$249200,N/A,N/A,40,70.70%,4%,18%,2%,59,33 mins,4.10%,0.70%,-7.20%,Baltimore County,55.90%,38.30%,1.6%,10.7%,85.2%,1.0%,4.1%,Eastern Standard Time,32,4.1,45.10%,25,0,36,21.3%,0.00,24,2,12,N/A,N/A,MD-08800,3.15
Carney,Maryland,29624,4226,Baltimore-Columbia-Towson,2800189,88,42,46,45,121,209,20,62.7,43.9,N/A,34,53,42,38.87%,$70835,7.67%,$1216,814,$275300,1648,$167,35,55.00%,2%,15%,2%,51,28 mins,4.10%,0.70%,9.40%,Baltimore County,55.90%,38.30%,10.81%,16.75%,66.69%,3.48%,14.46%,Eastern Standard Time,32,4.1,52.60%,39,23,28,16.2%,2.69,N/A,2,14,N/A,N/A,MD-13325,7.01
Catonsville,Maryland,41592,2979,Baltimore-Columbia-Towson,2800189,87,42,45,45,114,209,18,62.6,43.9,8,28,43,39,50.68%,$91539,7.71%,$1311,849,$375000,1932,$194,59,69.70%,3%,15%,4%,50,26 mins,4.10%,0.70%,-1.00%,Baltimore County,55.90%,38.30%,7.09%,16.52%,68.88%,3.82%,9.72%,Eastern Standard Time,32,4.1,52.00%,39,38,38,17.5%,11.74,N/A,2,16,N/A,N/A,MD-14125,13.96
Cockeysville,Maryland,22602,1888,Baltimore-Columbia-Towson,2800189,87,42,45,46,122,210,22,62.5,43.8,8,30,53,34,49.23%,$71417,9.14%,$1309,956,$475000,2540,$187,42,31.50%,2%,12%,3%,58,25 mins,4.10%,0.70%,4.80%,Baltimore County,55.90%,38.30%,10.3%,17.69%,53.21%,15.09%,19.43%,Eastern Standard Time,32,4.1,52.60%,33,23,26,17.4%,11.43,N/A,2,15,N/A,N/A,MD-18250,11.97
Dundalk,Maryland,63826,4876,Baltimore-Columbia-Towson,2800189,90,44,46,42,113,213,15,64.5,45.8,8,21,32,38,13.77%,$55489,16.52%,$1339,857,$185000,1217,$152,63,57.40%,5%,23%,-2%,51,27 mins,4.10%,0.70%,0.10%,Baltimore County,55.90%,38.30%,2.85%,14.27%,69.73%,9.25%,8.17%,Eastern Standard Time,32,4.1,58.00%,49,34,46,18.6%,29.79,25,2,13,N/A,N/A,MD-23975,13.09
Edgemere,Maryland,8652,796,Baltimore-Columbia-Towson,2800189,89,44,45,43,112,209,15,65,46.4,N/A,20,37,47,19.29%,$87367,7.51%,$1155,765,$246200,N/A,N/A,55,70.20%,4%,24%,2%,57,29 mins,4.10%,0.70%,-3.60%,Baltimore County,55.90%,38.30%,1.27%,3.76%,91.85%,1.48%,1.88%,Eastern Standard Time,32,4.1,50.80%,52,N/A,48,21.4%,7.05,26,2,13,N/A,N/A,MD-24950,10.87
Essex,Maryland,39307,4245,Baltimore-Columbia-Towson,2800189,89,43,46,43,113,210,15,65.1,46.5,8,40,55,38,16.0%,$59426,12.87%,$1108,829,$242500,1564,$155,51,49.60%,5%,20%,0%,48,29 mins,4.10%,0.70%,1.80%,Baltimore County,55.90%,38.30%,1.48%,33.05%,58.23%,4.44%,8.03%,Eastern Standard Time,32,4.1,57.50%,39,35,41,19.0%,25.85,24,2,13,N/A,N/A,MD-26600,9.26
Garrison,Maryland,8794,2783,Baltimore-Columbia-Towson,2800189,87,42,45,45,118,208,20,62.9,44.1,7,21,41,36,55.51%,$85405,8.26%,$1540,1061,$237000,N/A,N/A,30,49.70%,4%,19%,2%,52,30 mins,4.10%,0.70%,18.50%,Baltimore County,55.90%,38.30%,3.6%,37.12%,48.97%,5.28%,13.9%,Eastern Standard Time,32,4.1,57.00%,49,26,48,21.4%,0.00,27,2,15,N/A,N/A,MD-31625,3.16
Hampton,Maryland,4706,791,Baltimore-Columbia-Towson,2800189,87,42,45,45,122,211,21,62.9,44.1,9,12,23,48,73.38%,$153268,1.95%,$1445,969,$434700,N/A,N/A,55,89.10%,4%,17%,2%,57,29 mins,4.10%,0.70%,0.70%,Baltimore County,55.90%,38.30%,6.2%,1.17%,88.16%,2.61%,6.61%,Eastern Standard Time,32,4.1,29.80%,2,0,N/A,17.1%,0.00,N/A,2,14,N/A,N/A,MD-36512,5.95
Kingsville,Maryland,4649,463,Baltimore-Columbia-Towson,2800189,87,42,45,45,119,215,20,63.2,44.5,8,13,25,51,42.21%,$104265,6.43%,N/A,N/A,$395500,N/A,N/A,41,90.10%,2%,17%,2%,66,35 mins,4.10%,0.70%,-3.10%,Baltimore County,55.90%,38.30%,0.22%,0.13%,98.52%,0.6%,0.41%,Eastern Standard Time,32,4.1,35.80%,18,N/A,N/A,16.1%,16.56,26,2,9,N/A,N/A,MD-44350,10.04
Lansdowne,Maryland,8635,3787,Baltimore-Columbia-Towson,2800189,89,43,46,42,113,213,17,62.9,44.1,8,29,54,36,14.98%,$43556,21.86%,$1143,764,$152900,N/A,N/A,58,54.80%,4%,19%,2%,43,23 mins,4.10%,0.70%,-3.70%,Baltimore County,55.90%,38.30%,1.19%,25.01%,56.31%,12.44%,9.94%,Eastern Standard Time,32,4.1,63.00%,60,N/A,31,21.6%,1.07,28,2,14,N/A,N/A,MD-45650,2.28
Lochearn,Maryland,25612,4582,Baltimore-Columbia-Towson,2800189,87,42,45,44,116,209,20,62.7,44,N/A,36,56,42,32.12%,$64986,11.48%,$1319,963,$204200,N/A,N/A,58,65.60%,8%,27%,3%,52,30 mins,4.10%,0.70%,1.90%,Baltimore County,55.90%,38.30%,1.76%,80.18%,11.31%,4.84%,16.33%,Eastern Standard Time,32,4.1,59.10%,28,39,30,19.8%,0.00,26,2,15,N/A,N/A,MD-47450,5.59
Lutherville,Maryland,6715,3182,Baltimore-Columbia-Towson,2800189,87,42,45,46,122,213,21,62.9,44.1,8,15,29,42,63.3%,$118227,2.98%,$1427,1045,$376600,N/A,N/A,60,80.60%,2%,16%,6%,49,25 mins,4.10%,0.70%,10.00%,Baltimore County,55.90%,38.30%,12.06%,3.13%,77.44%,3.1%,10.19%,Eastern Standard Time,32,4.1,39.40%,3,N/A,10,17.0%,10.81,26,2,14,N/A,N/A,MD-48875,2.11
