City,State,Population,People per sq mi,Metro Name,Metro population,Median household income,% with at least Bachelor's degree,Median age,Median home price,Median home sqft,Median home cost per sqft,Median home age,Homeownership Rate,Avg Apartment Monthly Rent,Single Population,Num Violent Crimes Per 100k residents,Num Property Crimes Per 100k residents,Poverty Rate,Unemployment rate,Labor Force Participation rate,County,% Democrat,% Republican,% Asian,% Black,% Non-Hispanic White,% Hispanic,Foreign Born %,Timezone,Hottest month's avg high (F),Coldest month's avg high (F),Hottest high minus coldest high,Annual rainfall (in),Annual snowfall (in),Average yearly windspeed (mph),Air quality Index,Elevation (ft),UV Index,Land Area (sq mi),Fips Code,Latitude,Longitude,Annual Sunshine - Percentage of Possible,Summer Sunshine - Percentage of Possible,Winter Sunshine - Percentage of Possible,Annual Relative Humidity (afternoon),Summer Relative Humidity (afternoon),Number of days with thunder per year,Annual dew point (F),Average summer dew point (F),Hottest month's avg low (F),Coldest month's avg low (F),Summer rainfall (in),Winter rainfall (in),Percent of days that include precipitation,Percent of Summer days that include precipitation,Percent of Winter days that include precipitation,Days of snow per year,Hottest month's avg heat index high (F)
Ashmore,Illinois,1021,1260,Charleston-Mattoon,104219,$46307,13.16%,37,N/A,N/A,N/A,54,74.93%,$648,37.97%,N/A,N/A,22.32%,12.02%,64.42%,Coles County,33.30%,59.30%,0.0%,2.94%,96.57%,0.0%,0.0%,N/A,88,39,49,45.89,13.8,6.9,82,639,4.1,0.81,IL-02557,39.5305637,-88.0201088,51%,64%,41%,60%,57%,41.0,42,63,67,21,13.37,8.74,28.71%,30.77%,24.11%,10,94
Ashmore township,Illinois,1021,1260,Charleston-Mattoon,104219,$46307,13.16%,37,N/A,N/A,N/A,54,74.93%,$648,37.97%,N/A,N/A,22.32%,12.02%,64.42%,Coles County,33.30%,59.30%,0.0%,2.94%,96.57%,0.0%,0.0%,N/A,88,39,49,45.89,13.8,6.9,82,639,4.1,0.81,IL-02557,39.5305637,-88.0201088,51%,64%,41%,60%,57%,41.0,42,63,67,21,13.37,8.74,28.71%,30.77%,24.11%,10,94
Charleston,Illinois,20141,2268,Charleston-Mattoon,104219,$41436,34.3%,28,N/A,N/A,N/A,44,49.65%,$716,68.55%,155,420,27.26%,6.68%,66.19%,Coles County,33.30%,59.30%,2.19%,7.62%,84.67%,3.59%,3.09%,N/A,88,39,49,45.89,13.8,6.9,74,639,4.1,8.88,IL-12567,39.4842282,-88.1780559,58%,72%,46%,58%,56%,42.8,45,65,67,21,13.37,8.74,28.71%,30.77%,24.11%,10,94
Charleston township,Illinois,20141,2268,Charleston-Mattoon,104219,$41436,34.3%,28,N/A,N/A,N/A,44,49.65%,$716,68.55%,155,420,27.26%,6.68%,66.19%,Coles County,33.30%,59.30%,2.19%,7.62%,84.67%,3.59%,3.09%,N/A,88,39,49,45.89,13.8,6.9,75,639,4.1,8.88,IL-12567,39.4842282,-88.1780559,58%,72%,46%,58%,56%,42.8,45,65,67,21,13.37,8.74,28.71%,30.77%,24.11%,10,94
East Oakland,Illinois,1386,35,Charleston-Mattoon,104219,$40694,16.84%,N/A,N/A,N/A,N/A,52,65.40%,N/A,34.80%,N/A,N/A,N/A,4.70%,N/A,Coles County,33.30%,59.30%,N/A,N/A,N/A,3.60%,N/A,N/A,88,39,49,45.89,17.8,6.9,83,639,4.1,39.6,IL-22138,39.6313713,-88.0179711,51%,64%,41%,60%,57%,41.0,42,63,67,21,13.37,8.74,28.71%,30.77%,24.11%,9,94
Humboldt,Illinois,446,1312,Charleston-Mattoon,104219,$39875,9.62%,41,N/A,N/A,N/A,56,69.06%,$750,44.74%,N/A,N/A,12.73%,12.92%,72.95%,Coles County,33.30%,59.30%,0.0%,0.67%,93.27%,4.71%,1.57%,N/A,85,36,49,36.3,13.8,6.9,83,660,4.1,0.34,IL-36542,39.6046844,-88.3201204,54%,65%,46%,61%,58%,47.8,40,62,66,21,11.76,5.49,28.71%,30.77%,24.11%,10,89
Humboldt township,Illinois,446,1312,Charleston-Mattoon,104219,$39875,9.62%,41,N/A,N/A,N/A,56,69.06%,$750,44.74%,N/A,N/A,12.73%,12.92%,72.95%,Coles County,33.30%,59.30%,0.0%,0.67%,93.27%,4.71%,1.57%,N/A,85,36,49,36.3,13.8,6.9,82,660,4.1,0.34,IL-36542,39.6046844,-88.3201204,54%,65%,46%,61%,58%,47.8,40,62,66,21,11.76,5.49,28.71%,30.77%,24.11%,10,89
Hutton,Illinois,1091,20,Charleston-Mattoon,104219,$66397,N/A,N/A,N/A,N/A,N/A,35,88.10%,N/A,29.10%,N/A,N/A,N/A,4.70%,N/A,Coles County,33.30%,59.30%,N/A,2.15%,N/A,1.70%,N/A,N/A,88,39,49,45.89,13.8,6.9,82,639,4.1,54.55,IL-36880,39.4248644,-88.0870577,58%,72%,46%,58%,56%,42.8,45,65,67,21,13.37,8.74,30.41%,28.79%,29.44%,10,94
Lafayette township (Coles Cnty),Illinois,4722,130,Charleston-Mattoon,104219,$57035,N/A,N/A,N/A,N/A,N/A,42,58.80%,N/A,41.10%,N/A,N/A,N/A,4.70%,N/A,Coles County,33.30%,59.30%,N/A,N/A,N/A,1.00%,N/A,N/A,85,36,49,36.3,13.8,6.9,76,660,4.1,36.32,IL-40637,39.4773495,-88.3038382,58%,72%,46%,58%,56%,42.8,45,65,66,21,11.76,5.49,28.71%,30.77%,24.11%,10,88
Lerna,Illinois,251,2092,Charleston-Mattoon,104219,$44286,9.44%,39,N/A,N/A,N/A,55,75.7%,$613,45.93%,N/A,N/A,20.16%,10.83%,57.42%,Coles County,33.30%,59.30%,0.0%,0.0%,98.41%,0.4%,0.0%,N/A,85,36,49,36.3,13.8,6.9,81,660,4.1,0.12,IL-42938,39.4178759,-88.288783,58%,72%,46%,58%,56%,42.8,45,65,66,21,11.76,5.49,28.71%,30.77%,24.11%,10,88
Mattoon,Illinois,17273,1675,Charleston-Mattoon,104219,$40576,18.21%,42,N/A,N/A,N/A,64,56.52%,$627,61.47%,N/A,N/A,21.96%,7.62%,60.08%,Coles County,33.30%,59.30%,0.45%,2.34%,93.24%,2.89%,1.06%,N/A,85,36,49,44.79,13.8,6.9,73,642,4.1,10.31,IL-47553,39.4774508,-88.3623077,54%,65%,46%,61%,58%,47.8,40,62,66,21,12.87,8.34,32.41%,30.33%,31.0%,10,89
Mattoon township,Illinois,17273,1675,Charleston-Mattoon,104219,$40576,18.21%,42,N/A,N/A,N/A,64,56.52%,$627,61.47%,N/A,N/A,21.96%,7.62%,60.08%,Coles County,33.30%,59.30%,0.45%,2.34%,93.24%,2.89%,1.06%,N/A,85,36,49,44.79,13.8,6.9,73,642,4.1,10.31,IL-47553,39.4774508,-88.3623077,54%,65%,46%,61%,58%,47.8,40,62,66,21,12.87,8.34,32.41%,30.33%,31.0%,10,89
Morgan,Illinois,259,10,Charleston-Mattoon,104219,$65938,N/A,N/A,N/A,N/A,N/A,36,65.40%,N/A,49.80%,N/A,N/A,N/A,4.70%,N/A,Coles County,33.30%,59.30%,N/A,N/A,N/A,N/A,N/A,N/A,88,39,49,45.89,13.8,6.9,83,639,4.1,25.9,IL-50400,39.5966329,-88.1094699,51%,64%,41%,60%,57%,41.0,42,63,67,21,13.37,8.74,28.71%,30.77%,24.11%,10,94
North Okaw,Illinois,930,17,Charleston-Mattoon,104219,$62407,N/A,N/A,N/A,N/A,N/A,31,91.40%,N/A,25.00%,N/A,N/A,N/A,4.70%,N/A,Coles County,33.30%,59.30%,N/A,N/A,N/A,N/A,N/A,N/A,85,36,49,44.79,13.8,6.9,81,642,4.1,54.71,IL-54014,39.5864067,-88.4151858,54%,65%,46%,61%,58%,47.8,40,62,66,21,12.87,8.34,32.41%,30.33%,31.0%,10,89
Oakland,Illinois,1062,1362,Charleston-Mattoon,104219,$41806,15.33%,42,N/A,N/A,N/A,49,82.58%,$463,45.5%,N/A,N/A,15.4%,5.61%,63.91%,Coles County,33.30%,59.30%,0.0%,0.0%,98.96%,0.66%,0.38%,N/A,88,39,49,45.89,17.8,6.9,83,639,4.1,0.78,IL-54781,39.6574837,-88.0276579,51%,64%,41%,60%,57%,41.0,42,63,67,21,13.37,8.74,31.78%,30.88%,29.89%,9,94
Paradise,Illinois,967,41,Charleston-Mattoon,104219,$36048,4.98%,N/A,N/A,N/A,N/A,45,67.10%,N/A,30.00%,N/A,N/A,N/A,4.70%,N/A,Coles County,33.30%,59.30%,N/A,1.04%,N/A,N/A,N/A,N/A,87,37,50,44.79,13.8,6.9,81,588,4.1,23.59,IL-57615,39.4033233,-88.4153469,58%,72%,46%,58%,56%,42.8,45,65,65,20,12.87,8.34,32.41%,30.33%,31.0%,10,92
Pleasant Grove,Illinois,1521,37,Charleston-Mattoon,104219,$55134,22.38%,N/A,N/A,N/A,N/A,49,68.00%,N/A,40.80%,N/A,N/A,N/A,4.70%,N/A,Coles County,33.30%,59.30%,N/A,N/A,N/A,N/A,N/A,N/A,85,36,49,36.3,13.8,6.9,81,660,4.1,41.11,IL-60469,39.4043274,-88.2638649,58%,72%,46%,58%,56%,42.8,45,65,66,21,11.76,5.49,28.71%,30.77%,24.11%,10,88
