City,State,Population,People per sq mi,Metro Name,Metro population,Median household income,% with at least Bachelor's degree,Median age,Median home price,Median home sqft,Median home cost per sqft,Median home age,Homeownership Rate,Avg Apartment Monthly Rent,Single Population,Num Violent Crimes Per 100k residents,Num Property Crimes Per 100k residents,Poverty Rate,Unemployment rate,Labor Force Participation rate,County,% Democrat,% Republican,% Asian,% Black,% Non-Hispanic White,% Hispanic,Foreign Born %,Timezone,Hottest month's avg high (F),Coldest month's avg high (F),Hottest high minus coldest high,Annual rainfall (in),Annual days of precipitation,Annual snowfall (in),Average yearly windspeed (mph),Air quality Index,Elevation (ft),UV Index,Land Area (sq mi),Fips Code,Latitude,Longitude,Annual Sunshine - Percentage of Possible,Summer Sunshine - Percentage of Possible,Winter Sunshine - Percentage of Possible,Annual Relative Humidity (afternoon),Summer Relative Humidity (afternoon),Number of days with thunder per year,Annual dew point (F),Average summer dew point (F),Hottest month's avg low (F),Coldest month's avg low (F),Summer rainfall (in),Winter rainfall (in)
Athens,West Virginia,991,2478,Bluefield,105026,$52760,50.0%,24,N/A,N/A,N/A,55,76.59%,$700,66.25%,N/A,N/A,9.68%,13.27%,48.45%,Mercer County,20.30%,75.00%,0.0%,10.19%,88.5%,1.31%,4.94%,N/A,N/A,N/A,N/A,44.75,144,33,7.1,82,N/A,4,0.4,WV-03292,37.4231306,-81.0150712,59%,64%,54%,60%,61%,43.9,41,60,N/A,N/A,12.79,9.72
Bluefield,West Virginia,9776,1083,Bluefield,105026,$35650,27.49%,44,N/A,N/A,N/A,68,63.83%,$695,52.45%,N/A,N/A,18.7%,10.15%,47.84%,Mercer County,20.30%,75.00%,0.88%,23.89%,67.81%,2.87%,2.51%,N/A,N/A,N/A,N/A,47.23,146,30,7.1,73,N/A,4,9.03,WV-08524,37.2607728,-81.2142497,59%,64%,54%,60%,61%,43.9,41,60,N/A,N/A,12.44,11.07
Bluewell,West Virginia,2740,609,Bluefield,105026,$31511,11.44%,58,N/A,N/A,N/A,58,76.13%,$592,57.52%,N/A,N/A,14.64%,8.69%,28.75%,Mercer County,20.30%,75.00%,0.0%,0.95%,97.23%,0.0%,0.0%,N/A,N/A,N/A,N/A,41.51,146,30,7.1,79,N/A,4,4.5,WV-08764,37.3144111,-81.2580296,59%,64%,54%,60%,61%,43.9,41,60,N/A,N/A,11.45,8.76
Bramwell,West Virginia,313,559,Bluefield,105026,$49063,17.27%,53,N/A,N/A,N/A,78,90.73%,N/A,52.73%,N/A,N/A,18.53%,10.16%,46.55%,Mercer County,20.30%,75.00%,0.0%,10.22%,86.58%,1.28%,0.0%,N/A,N/A,N/A,N/A,41.51,146,30,7.1,80,N/A,4,0.56,WV-09796,37.3269831,-81.3128937,59%,64%,54%,60%,61%,43.9,41,60,N/A,N/A,11.45,8.76
Brush Fork,West Virginia,1025,539,Bluefield,105026,$34519,5.59%,42,N/A,N/A,N/A,46,67.51%,$737,49.22%,N/A,N/A,17.27%,11.31%,50.78%,Mercer County,20.30%,75.00%,0.0%,0.0%,98.44%,0.0%,0.0%,N/A,N/A,N/A,N/A,47.23,146,30,7.1,77,N/A,4,1.9,WV-10948,37.2805777,-81.2450364,59%,64%,54%,60%,61%,43.9,41,60,N/A,N/A,12.44,11.07
Lashmeet,West Virginia,473,631,Bluefield,105026,$37862,18.02%,61,N/A,N/A,N/A,37,78.86%,N/A,65.93%,N/A,N/A,8.03%,0.0%,54.06%,Mercer County,20.30%,75.00%,0.0%,0.0%,100.0%,0.0%,0.0%,N/A,N/A,N/A,N/A,44.75,146,30,7.1,80,N/A,4,0.75,WV-45292,37.422771,-81.1967327,59%,64%,54%,60%,61%,43.9,41,60,N/A,N/A,12.79,9.72
Matoaka,West Virginia,191,735,Bluefield,105026,$40000,2.42%,29,N/A,N/A,N/A,78,49.21%,$633,57.34%,N/A,N/A,26.98%,2.78%,51.8%,Mercer County,20.30%,75.00%,0.0%,0.0%,100.0%,0.0%,0.0%,N/A,N/A,N/A,N/A,41.51,146,30,7.1,81,N/A,4,0.26,WV-52420,37.4182004,-81.2418017,59%,64%,54%,60%,61%,43.9,41,60,N/A,N/A,11.45,8.76
Montcalm,West Virginia,582,213,Bluefield,105026,$31010,18.47%,43,N/A,N/A,N/A,46,68.9%,N/A,52.69%,N/A,N/A,34.73%,6.52%,51.57%,Mercer County,20.30%,75.00%,0.0%,0.0%,100.0%,0.0%,0.0%,N/A,N/A,N/A,N/A,41.51,146,30,7.1,81,N/A,4,2.73,WV-55372,37.3516158,-81.2513276,59%,64%,54%,60%,61%,43.9,41,60,N/A,N/A,11.45,8.76
Oakvale,West Virginia,201,479,Bluefield,105026,$21354,1.52%,12,N/A,N/A,N/A,8,23.38%,$725,79.75%,N/A,N/A,15.42%,22.0%,64.94%,Mercer County,20.30%,75.00%,0.0%,0.0%,99.5%,0.0%,0.0%,N/A,N/A,N/A,N/A,44.75,146,30,7.1,82,N/A,4,0.42,WV-60196,37.3323238,-80.9703568,59%,64%,54%,60%,61%,43.9,41,60,N/A,N/A,12.79,9.72
Princeton,West Virginia,5740,1907,Bluefield,105026,$41925,18.54%,45,N/A,N/A,N/A,62,57.32%,$714,52.32%,N/A,N/A,18.91%,8.77%,51.68%,Mercer County,20.30%,75.00%,1.53%,6.93%,85.96%,2.42%,1.24%,N/A,N/A,N/A,N/A,44.75,146,30,7.1,73,N/A,4,3.01,WV-65692,37.3688401,-81.0960702,59%,64%,54%,60%,61%,43.9,41,60,N/A,N/A,12.79,9.72
