City,Population,"Violent
crime","Murder and
nonnegligent
manslaughter",Rape1,Robbery,"Aggravated
assault","Property
crime",Burglary,"Larceny-
theft","Motor
vehicle
theft",Arson2
Alta,383,0,0,0,0,0,18,0,17,1,0
American Fork/Cedar Hills3,43610,18,0,2,4,12,817,51,736,30,2
Aurora,1053,0,0,0,0,0,0,0,0,0,0
Big Water,506,3,0,0,0,3,0,0,0,0,0
Bluffdale,15976,25,0,9,6,10,129,35,79,15,0
Bountiful,44280,36,0,14,1,21,447,55,372,20,0
Brigham City3,19592,41,0,18,1,22,338,63,247,28,1
Cedar City,33614,93,0,22,2,69,632,78,510,44,0
Centerville,18018,21,0,13,2,6,289,61,215,13,3
Clearfield,32217,56,0,12,5,39,369,38,292,39,3
Clinton,22544,17,0,1,1,15,300,15,266,19,0
Cottonwood Heights3,34183,54,0,16,10,28,806,90,688,28,2
Draper,49112,69,0,27,5,37,906,129,722,55,9
Enoch,7199,20,0,1,0,19,30,7,18,5,0
Ephraim,7449,21,0,18,0,3,46,4,41,1,0
Farmington,25409,19,0,9,0,10,350,28,296,26,1
Grantsville,11942,36,0,12,1,23,162,27,112,23,4
Harrisville,6845,11,0,5,4,2,237,40,188,9,1
Heber,17142,11,0,4,1,6,146,18,116,12,
Helper,2077,5,0,2,0,3,49,13,34,2,0
Hurricane,18850,36,0,12,1,23,267,40,209,18,0
Kanab,4850,8,0,2,0,6,55,5,46,4,0
Kaysville,32691,23,0,10,1,12,274,44,214,16,1
La Verkin,4442,8,0,4,0,4,57,7,47,3,0
Layton,78585,129,0,46,11,72,1558,238,1240,80,6
Logan,52029,113,3,35,5,70,691,105,549,37,1
Mapleton,10463,2,0,1,0,1,41,4,35,2,0
Moab,5349,42,0,20,2,20,132,21,109,2,3
Monticello,1998,7,0,1,0,6,14,1,10,3,0
Mount Pleasant,3517,4,0,4,0,0,44,4,40,0,1
Murray,49642,218,0,49,31,138,2890,423,2062,405,1
Naples,2113,2,0,1,0,1,12,3,9,0,0
Nephi,6207,5,0,3,0,2,74,12,57,5,0
North Ogden,20352,17,0,6,0,11,203,44,142,17,0
North Park,16411,10,1,7,0,2,207,11,184,12,
North Salt Lake,21501,25,1,10,4,10,343,48,260,35,0
Ogden,87875,384,6,84,63,231,3211,484,2382,345,22
Orem,98686,89,2,37,11,39,1970,156,1673,141,5
Park City,8620,54,0,3,2,49,276,15,252,9,0
Payson,19981,20,0,6,3,11,323,31,272,20,
Pleasant Grove,39066,39,0,10,1,28,365,50,291,24,0
Pleasant View,11137,4,0,1,0,3,85,19,56,10,0
Provo,117189,135,1,44,13,77,1767,163,1476,128,1
Richfield3,7952,6,0,0,0,6,245,47,190,8,1
Riverdale,8821,26,0,6,8,12,559,39,491,29,0
Roosevelt,7189,30,0,24,0,6,213,23,169,21,2
Roy,39001,55,0,20,8,27,466,62,345,59,1
Salem3,8760,0,0,0,0,0,29,2,27,0,0
Salina3,2573,4,0,0,0,4,78,14,58,6,1
Salt Lake City,202426,1442,13,234,403,792,11452,1290,8902,1260,30
Sandy,97797,187,3,48,35,101,2368,334,1841,193,6
Santa Clara/Ivins,17346,9,0,3,0,6,135,36,97,2,0
Santaquin/Genola,14288,8,1,3,1,3,71,11,57,3,0
Saratoga Springs,33647,53,0,21,4,28,259,96,152,11,0
South Jordan,77645,73,2,16,9,46,1124,167,879,78,1
South Ogden,17215,25,0,14,1,10,263,30,200,33,0
South Salt Lake,25599,205,1,24,49,131,1865,255,1260,350,4
Spanish Fork,40604,7,0,2,1,4,332,38,278,16,0
Springdale,620,0,0,0,0,0,16,2,13,1,0
Springville,33542,19,1,6,3,9,501,47,413,41,0
St. George,89160,181,2,48,13,118,1397,229,1023,145,3
Sunset,5364,12,0,0,0,12,57,13,40,4,0
Syracuse,31230,25,0,14,1,10,196,32,153,11,5
Tooele,35719,73,1,45,7,20,860,106,690,64,2
Tremonton,9038,14,0,6,0,8,140,40,90,10,
Washington,29047,29,0,8,2,19,432,52,361,19,0
West Bountiful,5790,11,0,7,0,4,102,10,77,15,1
West Jordan,117644,264,1,39,35,189,2555,268,2083,204,7
West Valley,137269,960,11,159,136,654,4378,644,3030,704,15
Woods Cross,11531,42,1,10,3,28,160,21,104,35,2
