City,Population,"Violent
crime","Murder and
nonnegligent
manslaughter",Rape1,Robbery,"Aggravated
assault","Property
crime",Burglary,"Larceny-
theft","Motor
vehicle
theft",Arson2
Apache Junction3,42531,95,2,12,14,67,,,453,88,6
Avondale,87117,251,1,21,82,147,3095,381,2467,247,16
Buckeye,77904,107,2,26,10,69,1265,146,1050,69,1
Bullhead City,40532,129,2,23,25,79,1352,235,981,136,9
Camp Verde,11286,46,0,3,0,43,265,62,187,16,1
Casa Grande4,58366,274,2,27,33,212,1336,149,1071,116,11
Chandler,259881,593,4,134,102,353,5382,547,4458,377,19
Chino Valley,12162,37,0,1,0,36,154,32,107,15,0
Clarkdale,4434,3,0,0,0,3,44,16,26,2,0
Coolidge4,13138,70,2,2,5,61,393,73,290,30,5
Cottonwood,12331,45,0,0,5,40,422,37,359,26,2
Douglas,15786,10,0,0,0,10,594,88,486,20,0
Eagar4,4897,11,0,3,1,7,21,7,13,1,0
El Mirage,36185,84,2,22,14,46,982,362,523,97,5
Flagstaff,75013,367,1,42,43,281,2371,140,2169,62,33
Florence,26385,44,1,5,1,37,74,9,58,7,0
Fredonia,1296,1,0,0,0,1,13,3,8,2,0
Gilbert,253619,245,1,48,45,151,3050,403,2493,154,11
Glendale,253951,863,17,63,233,550,8083,1416,5857,810,
Globe,7323,134,0,0,4,130,525,70,424,31,1
Goodyear,85305,172,1,33,19,119,2045,330,1608,107,0
Hayden,979,8,0,0,1,7,35,19,13,3,2
Holbrook,5098,39,0,1,6,32,324,86,212,26,3
Huachuca City,1723,6,1,4,0,1,20,6,12,2,0
Jerome,459,1,0,0,0,1,19,7,12,0,0
Kearny,2170,1,0,1,0,0,14,7,6,1,1
Kingman,30600,100,0,9,12,79,1342,208,1039,95,28
Lake Havasu City,55413,87,1,29,3,54,670,108,519,43,2
Mammoth,1669,3,0,0,1,2,14,0,12,2,0
Marana,48816,35,0,7,9,19,1132,70,1020,42,2
Maricopa,50881,85,1,11,4,69,604,58,491,55,2
Mesa,518160,1953,11,286,390,1266,9683,1518,7326,839,27
Miami,1768,27,0,0,3,24,31,30,1,0,1
Nogales,20112,41,0,0,0,41,608,66,409,133,0
Oro Valley,45970,22,1,8,3,10,588,49,515,24,0
Page,7588,126,1,9,9,107,537,53,456,28,0
Paradise Valley,14733,10,0,5,2,3,161,35,119,7,0
Parker,3219,2,0,0,1,1,81,20,56,5,0
Payson,15760,59,0,1,4,54,288,60,208,20,3
Peoria,174571,407,4,70,83,250,3273,438,2592,243,9
Phoenix,1688722,11803,131,1139,3197,7336,55974,9471,39427,7076,201
Pima,2530,0,0,0,0,0,36,10,21,5,0
Pinetop-Lakeside,4452,21,0,4,1,16,143,32,104,7,0
Prescott,43781,214,1,20,11,182,684,134,518,32,5
Prescott Valley,46700,93,3,11,6,73,474,51,404,19,2
Safford,9916,21,0,0,0,21,363,33,311,19,0
Sahuarita,30928,43,1,11,6,25,345,44,272,29,3
San Luis4,34192,33,0,0,2,31,420,53,262,105,2
Scottsdale,260464,415,3,136,110,166,5099,662,4173,264,15
Show Low,11401,59,0,6,2,51,332,38,277,17,0
Sierra Vista,44310,116,2,7,16,91,987,124,800,63,3
Snowflake-Taylor,10173,53,1,0,1,51,151,51,85,15,0
Somerton4,16771,36,6,1,4,25,129,25,80,24,0
Springerville,1984,0,0,0,0,0,11,4,7,0,0
St. Johns,3520,12,1,4,1,6,59,29,29,1,1
Surprise,140962,138,4,28,46,60,2083,217,1729,137,10
Tempe,196499,889,8,141,209,531,7420,922,5891,607,19
Thatcher,5177,3,0,0,0,3,112,12,99,1,0
Tolleson,7399,68,0,4,20,44,666,206,390,70,0
Tucson,548374,3775,40,527,1105,2103,17943,2497,13196,2250,142
Wellton,3048,5,0,1,0,4,31,9,20,2,0
Wickenburg,7054,17,0,4,0,13,148,32,93,23,0
Willcox,3507,7,0,0,0,7,127,29,89,9,1
Williams,3251,26,0,0,0,26,66,8,52,6,0
Winslow,9393,126,0,4,9,113,445,35,380,30,2
Yuma,98769,376,11,27,29,309,2302,483,1586,233,14
