City,Population,"Violent
crime","Murder and
nonnegligent
manslaughter",Rape1,Robbery,"Aggravated
assault","Property
crime",Burglary,"Larceny-
theft","Motor
vehicle
theft",Arson
Adel,5136,11,0,3,0,8,110,23,73,14,0
Albia,3725,14,0,3,0,11,64,22,36,6,1
Algona,5413,21,0,0,0,21,30,6,19,5,0
Ames,68237,135,1,44,21,69,1171,138,975,58,2
Atlantic,6514,22,0,2,0,20,182,31,144,7,2
Audubon,1883,6,0,4,0,2,31,4,26,1,0
Bettendorf,36972,46,1,8,7,30,474,62,375,37,0
Bloomfield,2700,4,0,0,0,4,21,4,14,3,0
Boone,12448,36,0,2,0,34,141,23,107,11,2
Carlisle,4334,7,0,2,0,5,42,9,32,1,0
Carroll,9775,9,0,2,1,6,175,27,142,6,2
Cedar Rapids,134007,345,2,27,83,233,4470,837,3268,365,13
Centerville,5459,13,0,2,1,10,129,35,88,6,0
Charles City,7334,8,1,2,1,4,71,15,55,1,0
Clarinda,5352,24,0,5,1,18,83,12,59,12,0
Clarion,2729,2,0,0,0,2,32,10,15,7,0
Clear Lake,7555,31,0,0,0,31,132,29,100,3,0
Clinton,24982,77,0,11,12,54,911,182,685,44,3
Clive,17305,7,0,1,2,4,121,10,93,18,0
Coralville,22035,69,3,10,15,41,689,49,613,27,3
Council Bluffs,62427,493,6,39,57,391,3649,529,2629,491,22
Creston,7784,26,0,2,0,24,164,40,117,7,1
Davenport,102392,609,2,84,124,399,3918,745,2830,343,17
Decorah,7529,9,0,4,0,5,74,2,70,2,1
Denison,8415,19,0,5,0,14,58,10,35,13,0
Des Moines,218384,1555,14,117,283,1141,8933,2284,5336,1313,53
DeWitt,5153,8,0,3,0,5,104,24,65,15,1
Dubuque,57973,110,0,34,9,67,949,138,747,64,12
Dyersville,4245,5,0,0,0,5,29,12,16,1,0
Eldridge,6972,2,0,0,1,1,42,10,27,5,0
Emmetsburg,3691,8,0,0,0,8,32,16,15,1,0
Estherville,5609,9,0,0,0,9,31,9,18,4,0
Evansdale,4758,18,0,1,0,17,101,29,59,13,0
Forest City,4036,7,0,3,0,4,9,3,5,1,0
Fort Dodge,23973,101,2,15,12,72,724,117,566,41,6
Fort Madison,10392,69,0,8,0,61,205,38,152,15,2
Glenwood,5321,26,0,4,0,22,65,15,43,7,0
Grinnell,9333,39,0,24,0,15,167,16,149,2,0
Hampton,4207,4,0,0,0,4,16,2,14,0,0
Harlan,4796,7,0,2,0,5,9,2,6,1,2
Hawarden,2479,8,0,3,0,5,6,3,3,0,1
Hiawatha,7441,28,0,1,0,27,113,24,81,8,3
Humboldt,4578,0,0,0,0,0,48,3,41,4,0
Independence,6086,22,0,0,2,20,80,20,53,7,1
Indianola,16235,115,0,28,2,85,316,57,238,21,6
Iowa City,77390,167,1,40,25,101,1252,314,867,71,2
Iowa Falls,5006,11,0,3,0,8,83,4,73,6,0
Jefferson,4123,3,0,0,0,3,42,4,38,0,0
Johnston,22708,29,0,6,1,22,272,55,194,23,4
Lake City,1649,8,0,0,0,8,16,1,15,0,0
Lansing,941,1,0,0,0,1,22,4,17,1,0
Le Mars,10018,24,0,5,0,19,166,30,122,14,1
Manchester,4958,10,0,2,0,8,86,17,63,6,1
Maquoketa,5972,15,0,2,0,13,138,27,98,13,1
Marion,40612,68,0,9,4,55,519,119,350,50,1
Marshalltown,27002,105,0,19,4,82,674,176,445,53,12
Mason City,26976,176,0,20,1,155,789,116,617,56,3
Missouri Valley,2609,13,0,2,0,11,45,10,33,2,0
Monticello,3898,6,0,3,1,2,51,11,37,3,0
Mount Pleasant,8749,12,0,0,0,12,155,38,110,7,0
Mount Vernon,4449,2,0,2,0,0,29,8,19,2,1
Muscatine,23823,47,0,6,2,39,320,71,221,28,4
Nevada,6744,28,0,3,1,24,85,25,52,8,0
North Liberty,20086,70,0,20,0,50,121,21,97,3,0
Norwalk,11871,4,0,1,0,3,89,12,72,5,1
Oelwein,5886,18,0,0,0,18,91,24,62,5,0
Onawa,2762,11,0,4,0,7,33,6,20,7,1
Osage,3538,4,0,1,0,3,7,4,3,0,0
Osceola,5224,24,0,5,0,19,125,30,84,11,0
Oskaloosa,11415,54,0,7,4,43,204,54,131,19,0
Ottumwa,24488,134,2,18,5,109,1009,182,748,79,11
Pella,10334,10,0,8,0,2,128,7,110,11,0
Perry,7421,20,0,3,1,16,91,17,70,4,0
Polk City,5013,1,0,0,0,1,25,2,20,3,0
Postville,2065,4,0,1,1,2,43,5,37,1,0
Prairie City,1736,1,0,0,0,1,3,2,1,0,0
Red Oak,5287,33,0,7,0,26,123,39,75,9,0
Sac City,2056,2,0,1,0,1,35,5,28,2,0
Sergeant Bluff,4993,9,0,0,0,9,43,9,30,4,0
Shenandoah,4859,7,1,0,0,6,41,12,26,3,0
Sioux Center,7688,3,0,2,0,1,21,1,19,1,0
Sioux City,82339,366,2,50,57,257,3203,645,2310,248,15
Spencer,11008,7,0,6,1,0,183,42,135,6,0
Spirit Lake,5097,30,0,4,0,26,72,13,53,6,0
Storm Lake,10430,41,0,7,0,34,169,27,131,11,6
Story City,3362,7,0,2,0,5,41,3,33,5,0
Tama,2730,21,0,2,0,19,22,8,11,3,0
Urbandale,44541,28,0,7,3,18,455,54,365,36,1
Vinton,5074,10,0,1,0,9,32,8,21,3,0
Washington,7315,48,0,8,0,40,132,22,102,8,0
Waterloo,67723,306,1,12,38,255,1682,515,1038,129,14
Waukee,24255,15,0,8,1,6,184,28,143,13,1
Waukon,3654,10,0,0,0,10,77,15,60,2,0
Waverly2,10187,44,0,5,0,39,,,83,6,0
Webster City,7684,32,0,5,1,26,84,20,48,16,1
West Burlington2,2882,16,0,0,2,14,,,189,5,1
Williamsburg,3159,4,0,0,0,4,25,8,17,0,0
Windsor Heights,4896,13,0,5,2,6,265,13,240,12,0
