City,Population,"Violent
crime","Murder and
nonnegligent
manslaughter",Rape1,Robbery,"Aggravated
assault","Property
crime",Burglary,"Larceny-
theft","Motor
vehicle
theft",Arson
Afton,2017,0,0,0,0,0,12,1,11,0,0
Buffalo,4571,8,0,1,0,7,52,13,30,9,0
Casper,57752,169,2,58,18,91,1677,285,1271,121,2
Cheyenne,64501,220,5,43,27,145,1999,211,1613,175,11
Cody2,9865,17,0,7,1,9,107,10,94,3,2
Diamondville,756,1,0,0,0,1,1,0,1,0,0
Douglas,6294,8,1,0,1,6,87,8,72,7,0
Evanston2,11624,29,0,21,1,7,183,22,152,9,1
Evansville,2977,7,0,0,3,4,73,13,52,8,0
Gillette,31960,43,1,9,0,33,626,62,529,35,2
Glenrock,2544,3,0,0,0,3,20,1,18,1,0
Green River,11927,22,0,0,0,22,97,11,84,2,0
Greybull,1857,0,0,0,0,0,5,1,4,0,0
Hanna,766,0,0,0,0,0,1,0,0,1,0
Kemmerer,2745,1,0,0,0,1,8,0,8,0,0
Lander,7489,0,0,0,0,0,253,15,226,12,0
Laramie,32669,58,0,17,2,39,318,50,252,16,6
Lusk,1537,5,0,2,0,3,8,0,7,1,0
Mills,3975,3,0,0,2,1,71,22,39,10,4
Moorcroft,1068,1,0,0,0,1,4,2,1,1,0
Newcastle,3386,10,0,5,0,5,49,12,31,6,0
Pine Bluffs,1170,2,0,1,1,0,5,2,3,0,0
Powell2,6310,22,0,12,0,10,76,12,58,6,2
Rawlins,8589,26,0,4,1,21,122,31,84,7,0
Riverton,11004,38,3,19,1,15,426,52,332,42,6
Rock Springs,23092,44,0,14,1,29,309,36,259,14,1
Saratoga,1615,1,0,0,0,1,6,1,4,1,0
Sheridan,17895,9,0,4,0,5,369,75,278,16,3
Thermopolis2,2830,13,0,0,0,13,34,7,22,5,0
Torrington,6709,13,0,4,1,8,48,8,40,0,0
Wheatland,3544,7,0,1,0,6,72,24,45,3,0
Worland,5026,8,0,5,0,3,36,6,30,0,0
