City,Population,"Violent
crime","Murder and
nonnegligent
manslaughter",Rape1,Robbery,"Aggravated
assault","Property
crime",Burglary,"Larceny-
theft","Motor
vehicle
theft",Arson
Adairville,873,0,0,0,0,0,0,0,0,0,0
Albany,2001,0,0,0,0,0,3,0,1,2,0
Alexandria,9692,7,2,0,0,5,112,10,95,7,0
Anchorage,2443,0,0,0,0,0,10,0,7,3,0
Ashland,20222,59,3,11,14,31,740,96,608,36,2
Auburn,1376,1,0,0,0,1,10,4,6,0,1
Audubon Park,1504,1,0,0,0,1,27,5,20,2,0
Augusta,1135,1,0,0,0,1,11,2,8,1,0
Barbourville,3090,8,0,0,2,6,67,33,25,9,0
Bardstown,13239,15,1,7,2,5,348,62,263,23,5
Bardwell,671,0,0,0,0,0,3,2,1,0,0
Beattyville,1194,3,0,1,0,2,3,1,1,1,0
Beaver Dam,3600,1,0,0,0,1,51,0,47,4,0
Bellefonte,827,0,0,0,0,0,0,0,0,0,0
Bellevue,5749,6,0,1,2,3,78,4,67,7,0
Benton,4461,4,0,1,1,2,168,16,148,4,0
Berea,16074,19,0,9,1,9,208,36,141,31,0
Bloomfield,1063,0,0,0,0,0,1,0,0,1,0
Bowling Green,69627,203,4,63,55,81,3250,386,2610,254,1
Brandenburg,2902,3,0,0,2,1,62,6,30,26,0
Brodhead,1182,1,0,0,0,1,7,4,2,1,0
Brownsville,835,0,0,0,0,0,0,0,0,0,0
Burgin,981,0,0,0,0,0,3,0,3,0,0
Burkesville,1459,0,0,0,0,0,0,0,0,0,0
Burnside,905,1,0,0,1,0,14,2,11,1,0
Cadiz,2673,5,0,0,2,3,64,14,47,3,0
Calvert City,2492,0,0,0,0,0,43,9,30,4,0
Campbellsville,11488,29,0,3,14,12,417,101,286,30,1
Carlisle,1954,2,0,1,0,1,5,0,5,0,0
Carrollton,3817,3,0,0,0,3,32,5,21,6,0
Catlettsburg,1746,2,0,1,0,1,42,5,31,6,0
Cave City,2451,3,0,2,0,1,33,9,18,6,0
Centertown,432,0,0,0,0,0,0,0,0,0,0
Central City,5726,9,0,4,1,4,88,7,75,6,0
Clarkson,882,0,0,0,0,0,1,0,1,0,0
Clay City,1107,0,0,0,0,0,10,2,5,3,0
Clinton,1249,2,0,0,1,1,5,2,3,0,0
Coal Run Village,1486,0,0,0,0,0,22,4,17,1,0
Cold Spring,6509,3,0,0,0,3,90,5,80,5,0
Columbia,4645,4,0,2,1,1,26,12,11,3,0
Corbin,7255,9,0,0,2,7,133,27,88,18,0
Covington,40350,188,2,40,67,79,1175,199,809,167,3
Crab Orchard,831,0,0,0,0,0,0,0,0,0,0
Cumberland,1936,0,0,0,0,0,10,9,0,1,0
Cynthiana,6354,6,0,3,1,2,92,9,77,6,0
Danville,16873,26,0,8,6,12,277,62,182,33,1
Dawson Springs,2633,2,0,0,0,2,46,15,27,4,1
Dayton,5527,5,0,1,2,2,75,19,44,12,0
Dry Ridge,2229,0,0,0,0,0,42,4,37,1,0
Eddyville,2525,0,0,0,0,0,32,2,29,1,0
Edgewood,8749,4,0,1,1,2,60,6,48,6,0
Edmonton,1567,0,0,0,0,0,28,20,7,1,0
Elizabethtown,30383,49,3,13,15,18,452,140,239,73,3
Elkhorn City,889,0,0,0,0,0,0,0,0,0,0
Elkton,2115,1,0,0,0,1,35,7,22,6,0
Elsmere,8673,9,0,1,3,5,83,14,58,11,0
Eminence,2594,1,1,0,0,0,22,3,14,5,0
Erlanger,23116,16,0,5,2,9,155,23,108,24,2
Eubank,331,0,0,0,0,0,0,0,0,0,0
Evarts,808,0,0,0,0,0,2,1,1,0,0
Falmouth,2089,4,1,0,1,2,27,4,21,2,0
Ferguson,945,0,0,0,0,0,10,2,6,2,0
Flatwoods,7041,1,0,1,0,0,26,7,12,7,0
Fleming-Neon,673,0,0,0,0,0,0,0,0,0,0
Flemingsburg,2801,2,0,1,0,1,41,7,32,2,0
Florence,32848,55,1,12,29,13,1415,141,1202,72,1
Fort Mitchell,8252,7,0,2,2,3,70,7,54,9,1
Fort Thomas,16386,5,0,1,3,1,84,9,65,10,0
Fort Wright,5744,4,0,1,2,1,72,7,58,7,0
Frankfort,27723,81,3,11,23,44,950,181,698,71,5
Franklin,9036,21,0,9,3,9,250,20,212,18,0
Fulton,2145,6,0,2,2,2,118,17,100,1,1
Georgetown,35106,41,0,14,11,16,999,90,821,88,0
Glasgow,14475,26,0,8,4,14,433,64,339,30,4
Graymoor-Devondale,2976,1,0,0,0,1,40,5,28,7,1
Grayson,3923,5,0,3,0,2,73,15,51,7,0
Greensburg,2087,2,0,1,0,1,28,5,20,3,0
Greenup,1107,0,0,0,0,0,9,1,4,4,0
Greenville,4224,5,0,2,1,2,19,4,10,5,0
Guthrie,1398,0,0,0,0,0,6,2,2,2,0
Hardinsburg,2346,2,0,0,0,2,28,15,11,2,0
Harlan,1507,6,0,0,3,3,47,7,38,2,1
Harrodsburg,8509,9,0,2,0,7,115,43,57,15,1
Hartford,2749,0,0,0,0,0,16,5,11,0,0
Hawesville,993,0,0,0,0,0,6,2,4,0,0
Hazard,4938,14,1,3,1,9,144,20,110,14,3
Henderson,28368,65,2,19,9,35,698,112,490,96,4
Heritage Creek,1148,0,0,0,0,0,10,0,10,0,0
Hickman,2128,0,0,0,0,0,2,2,0,0,0
Highland Heights,7114,5,0,3,0,2,65,5,55,5,1
Hillview,9235,8,0,2,1,5,112,14,74,24,0
Hodgenville,3239,4,0,2,1,1,74,26,44,4,0
Hopkinsville,30895,90,3,19,28,40,1083,236,783,64,1
Horse Cave,2402,1,0,0,1,0,12,1,9,2,0
Hurstbourne Acres,1910,0,0,0,0,0,20,2,17,1,0
Hyden,334,0,0,0,0,0,0,0,0,0,0
Independence,28541,13,0,5,3,5,125,20,90,15,2
Indian Hills,2998,0,0,0,0,0,28,2,25,1,0
Irvine,2307,2,0,0,0,2,9,4,5,0,0
Irvington,1187,2,0,0,0,2,13,2,4,7,0
Jackson,1954,0,0,0,0,0,52,8,40,4,0
Jamestown,1787,0,0,0,0,0,34,9,24,1,0
Jeffersontown,28015,31,0,7,19,5,596,94,414,88,0
Jenkins,1930,0,0,0,0,0,0,0,0,0,0
Junction City,2315,0,0,0,0,0,18,7,9,2,0
La Center,970,0,0,0,0,0,0,0,0,0,0
La Grange,9080,10,0,1,4,5,157,27,117,13,1
Lakeside Park-Crestview Hills,6046,3,0,0,2,1,73,3,68,2,0
Lancaster,3862,8,0,0,0,8,82,25,49,8,0
Lawrenceburg,11538,4,0,1,0,3,123,35,56,32,1
Lebanon,5716,12,0,4,1,7,88,20,58,10,1
Lebanon Junction,1973,1,0,0,1,0,1,0,1,0,0
Leitchfield,6852,13,0,2,1,10,176,28,132,16,0
Lewisburg,802,0,0,0,0,0,2,1,1,0,0
Lewisport,1698,0,0,0,0,0,4,2,2,0,0
Lexington,326070,967,26,175,362,404,9776,1537,7333,906,43
Liberty,2113,3,0,0,0,3,8,2,5,1,0
Livingston,218,0,0,0,0,0,1,0,1,0,0
London,8050,5,0,0,2,3,375,63,268,44,0
Louisa,2365,5,0,0,1,4,11,3,3,5,0
Louisville Metro,675501,4640,94,201,1008,3337,26287,4316,18037,3934,7
Loyall,606,0,0,0,0,0,3,2,1,0,0
Ludlow,4495,9,0,5,2,2,80,17,54,9,0
Madisonville,18711,17,1,6,5,5,266,62,175,29,5
Manchester,1318,3,0,1,0,2,23,7,11,5,1
Marion,2853,2,0,0,0,2,41,1,38,2,0
Martin,552,0,0,0,0,0,3,0,2,1,0
Mayfield,9851,40,2,11,8,19,433,79,328,26,0
Maysville,8750,19,0,6,6,7,258,36,207,15,2
McKee,785,0,0,0,0,0,0,0,0,0,0
Meadow Vale,766,0,0,0,0,0,1,1,0,0,0
Middlesboro,9223,24,0,4,3,17,366,50,284,32,2
Middletown,7957,6,0,1,3,2,139,14,113,12,0
Millersburg,799,0,0,0,0,0,6,0,6,0,0
Monticello,6015,9,0,0,4,5,120,24,83,13,1
Morehead,7736,7,0,5,2,0,166,19,139,8,0
Morganfield,3387,2,0,0,1,1,49,12,35,2,0
Morgantown,2402,2,0,2,0,0,15,5,8,2,0
Mount Sterling,7326,15,0,6,4,5,285,24,247,14,1
Mount Vernon,2442,0,0,0,0,0,8,2,5,1,2
