City,Population,"Violent
crime","Murder and
nonnegligent
manslaughter",Rape1,Robbery,"Aggravated
assault","Property
crime",Burglary,"Larceny-
theft","Motor
vehicle
theft",Arson
Ansonia,18656,36,1,10,11,14,277,14,220,43,1
Avon,18320,4,0,0,1,3,209,15,182,12,0
Berlin,20500,19,0,2,5,12,251,40,196,15,1
Bethel,19855,6,2,1,1,2,125,13,108,4,0
Bloomfield,21406,27,1,5,5,16,500,21,431,48,0
Branford,28002,9,0,2,4,3,386,30,326,30,0
Bridgeport,144908,843,17,71,392,363,2465,555,1292,618,13
Bristol,59977,53,1,8,21,23,822,113,603,106,2
Brookfield,17071,4,0,1,1,2,143,6,134,3,0
Canton,10267,5,0,1,0,4,56,4,45,7,0
Cheshire,29167,13,1,4,2,6,207,14,172,21,0
Clinton,12914,12,0,5,3,4,232,21,207,4,0
Coventry,12411,12,0,6,1,5,132,16,103,13,0
Cromwell,13894,5,0,1,2,2,363,21,326,16,3
Danbury,85167,97,1,15,28,53,1045,132,827,86,4
Darien,21880,3,0,0,1,2,267,29,206,32,0
Derby,12468,24,0,4,11,9,240,39,179,22,2
East Hampton,12842,3,0,0,3,0,104,10,84,10,0
East Hartford,49842,76,1,18,31,26,775,109,525,141,8
East Haven,28635,36,0,7,11,18,572,58,454,60,0
East Lyme,18588,8,0,1,1,6,83,12,54,17,1
Easton,7519,0,0,0,0,0,42,13,21,8,0
East Windsor,11399,14,1,1,4,8,275,39,219,17,0
Enfield2,44443,49,1,12,6,30,606,59,497,50,2
Fairfield,62239,31,1,3,13,14,941,96,791,54,0
Farmington,25525,6,0,2,3,1,599,107,464,28,1
Glastonbury,34497,22,0,3,5,14,327,35,270,22,1
Granby,11386,0,0,0,0,0,64,3,58,3,0
Greenwich,62905,22,0,4,4,14,471,65,348,58,0
Groton,8967,16,0,4,0,12,99,26,70,3,2
Groton Long Point,509,0,0,0,0,0,3,1,2,0,0
Groton Town,29046,34,1,10,2,21,304,37,249,18,2
Guilford,22194,10,0,4,1,5,201,14,176,11,3
Hamden,60855,199,2,9,45,143,1328,109,1047,172,1
Hartford,122245,1049,21,31,271,726,3424,427,2464,533,50
Ledyard,14698,6,0,4,0,2,73,15,53,5,1
Madison,18087,0,0,0,0,0,65,3,50,12,1
Manchester2,57630,100,1,16,46,37,1376,143,1135,98,1
Meriden,59378,157,3,19,38,97,1020,178,719,123,7
Middlebury,7750,2,0,0,0,2,64,9,47,8,0
Middletown,45963,38,0,5,10,23,613,62,474,77,0
Milford,54898,29,1,0,16,12,1028,95,853,80,1
Monroe,19466,3,0,2,1,0,84,12,66,6,1
Naugatuck,31214,30,0,10,9,11,441,48,372,21,3
New Britain2,72354,306,3,44,66,193,1195,188,826,181,7
New Canaan,20268,2,0,0,0,2,101,14,80,7,0
New Haven,130494,1168,13,45,321,789,4958,659,3580,719,28
Newington,30060,24,0,2,14,8,646,65,530,51,0
New London,26856,79,0,19,32,28,461,90,329,42,4
New Milford,26835,15,0,9,0,6,181,2,173,6,1
Newtown,27795,6,0,0,1,5,57,11,45,1,1
North Branford,14127,8,0,4,3,1,99,10,79,10,0
North Haven,23642,11,0,0,5,6,361,57,268,36,1
Norwalk,89440,183,1,8,29,145,1247,133,989,125,4
Norwich,38964,149,0,26,22,101,533,112,368,53,5
Old Saybrook,10069,2,0,0,0,2,69,5,59,5,0
Orange,13948,4,0,0,3,1,370,25,326,19,0
Plainfield,15145,18,1,9,1,7,37,3,29,5,0
Plainville,17610,33,0,1,3,29,348,18,309,21,0
Plymouth,11573,2,0,0,1,1,110,10,84,16,0
Portland,9281,4,0,1,0,3,38,3,26,9,0
Putnam,9374,18,0,9,0,9,72,9,56,7,2
Redding,9120,2,0,1,1,0,35,9,26,0,0
Ridgefield,25050,1,0,0,0,1,72,12,53,7,0
Rocky Hill,20199,12,1,7,2,2,212,21,166,25,0
Seymour,16505,9,0,2,4,3,104,20,73,11,2
Shelton,41287,22,0,8,7,7,304,61,219,24,1
Simsbury,25169,3,0,1,2,0,146,5,121,20,0
Southington,43886,26,0,2,6,18,542,87,407,48,1
South Windsor,26097,13,0,5,4,4,332,50,255,27,2
Stamford,130678,264,5,27,87,145,1803,196,1446,161,1
Stonington,18439,15,2,3,0,10,159,31,126,2,0
Stratford,52034,71,1,13,25,32,859,97,654,108,4
Suffield,15740,5,0,2,1,2,62,13,39,10,0
Thomaston,7521,4,0,1,1,2,58,6,46,6,0
Torrington,33972,36,0,12,5,19,372,53,289,30,2
Trumbull,35772,45,0,7,15,23,778,53,692,33,1
Vernon,29318,16,0,5,3,8,307,50,211,46,0
Wallingford,44457,17,0,6,1,10,291,35,237,19,1
Waterbury,107812,325,5,53,124,143,3263,450,2272,541,12
Waterford,18812,8,0,4,1,3,189,10,174,5,0
Watertown,21534,13,3,3,2,5,284,26,221,37,0
West Hartford,62875,36,0,1,30,5,1406,130,1192,84,1
West Haven,54794,85,1,21,29,34,1091,96,828,167,3
Weston,10254,0,0,0,0,0,15,1,14,0,0
Westport,28332,4,0,0,2,2,193,20,152,21,0
Wethersfield,26009,23,0,4,8,11,351,39,272,40,1
Willimantic,17660,22,0,7,6,9,119,18,85,16,1
Wilton,18439,4,0,0,0,4,109,13,89,7,0
Winchester,10585,7,0,3,3,1,85,24,56,5,0
Windsor,28717,12,0,3,2,7,605,43,502,60,1
Windsor Locks,12924,8,1,1,6,0,140,16,98,26,0
Wolcott,16642,7,0,3,4,0,195,30,139,26,0
Woodbridge,8782,6,1,3,1,1,89,13,66,10,0
