City,Population,"Violent
crime","Murder and
nonnegligent
manslaughter",Rape1,Robbery,"Aggravated
assault","Property
crime",Burglary,"Larceny-
theft","Motor
vehicle
theft",Arson
Adams,1886,9,0,6,1,2,67,4,60,3,1
Albany2,994,1,0,0,0,1,9,0,8,1,0
Algoma,3030,2,0,2,0,0,17,0,17,0,0
Altoona,7939,9,0,4,0,5,109,16,90,3,0
Amery,2792,8,0,2,1,5,37,4,31,2,0
Appleton,74757,206,2,32,23,149,1073,107,910,56,10
Arcadia,3044,4,0,0,0,4,5,0,5,0,0
Ashland,7859,25,0,4,0,21,291,29,240,22,1
Ashwaubenon,17311,21,0,9,1,11,477,20,445,12,0
Athens,1078,3,0,2,0,1,8,0,8,0,0
Avoca,625,0,0,0,0,0,0,0,0,0,0
Bangor,1468,0,0,0,0,0,2,1,1,0,0
Baraboo,12151,28,0,15,2,11,345,43,284,18,0
Barneveld,1256,1,0,0,0,1,7,0,7,0,0
Barron2,3306,10,0,2,0,8,25,3,20,2,0
Bayfield,476,1,0,0,0,1,19,6,12,1,0
Bayside,4342,3,0,0,0,3,17,3,13,1,0
Beaver Dam,16375,27,1,5,0,21,260,27,224,9,2
Belleville,2459,2,0,1,0,1,16,0,15,1,0
Beloit2,37025,154,4,19,31,100,1114,122,921,71,11
Beloit Town,7707,7,0,2,2,3,126,23,95,8,0
Berlin,5401,1,0,0,0,1,68,8,53,7,0
Big Bend,1460,0,0,0,0,0,26,3,19,4,0
Birchwood,433,0,0,0,0,0,2,1,1,0,0
Black River Falls,3454,5,0,3,1,1,76,2,70,4,0
Blair,1345,2,0,1,0,1,3,2,1,0,0
Blanchardville,791,1,0,1,0,0,3,0,2,1,0
Bloomer2,3499,11,0,2,0,9,29,2,24,3,0
Bloomfield,6342,10,0,2,1,7,35,5,30,0,0
Boyceville,1130,3,0,2,1,0,14,3,11,0,0
Brandon-Fairwater,1212,0,0,0,0,0,0,0,0,0,0
Brillion,3100,5,0,3,0,2,14,1,13,0,0
Brodhead2,3240,0,0,0,0,0,22,1,19,2,0
Brookfield,38879,31,0,6,14,11,691,72,604,15,0
