City,Population,"Violent
crime","Murder and
nonnegligent
manslaughter",Rape1,Robbery,"Aggravated
assault","Property
crime",Burglary,"Larceny-
theft","Motor
vehicle
theft",Arson
Adelanto,34491,276,1,20,42,213,459,136,209,114,14
Agoura Hills,20490,21,0,6,4,11,306,66,223,17,0
Alameda,78907,162,0,7,94,61,2579,218,1958,403,29
Albany,20083,40,0,8,21,11,685,105,534,46,1
Alhambra,84837,161,2,11,89,59,1749,259,1303,187,8
Aliso Viejo,52247,27,1,3,13,10,433,57,351,25,1
Alturas,2471,10,0,2,1,7,30,14,13,3,0
American Canyon,20452,53,0,7,7,39,454,59,368,27,3
Anaheim,353915,1120,8,141,396,575,8258,1123,5904,1231,44
Anderson,10545,61,1,5,12,43,363,63,208,92,1
Angels Camp,3909,6,0,2,1,3,74,19,45,10,0
Antioch,112641,648,12,55,238,343,3199,511,2078,610,59
Apple Valley,74051,339,4,19,68,248,1105,230,660,215,11
Arcadia,58899,84,1,10,35,38,1348,301,973,74,3
Arcata,18332,72,1,12,16,43,605,122,425,58,21
Arroyo Grande,18188,27,0,2,7,18,275,35,219,21,3
Artesia,16779,72,1,2,28,41,284,90,161,33,0
Arvin,21811,196,3,3,16,174,437,115,178,144,16
Atascadero,30579,65,0,7,7,51,493,96,360,37,3
Atherton,7222,12,0,2,4,6,110,32,74,4,0
Atwater,29632,206,1,10,22,173,1031,140,708,183,0
Auburn,14201,50,0,8,5,37,237,72,146,19,5
Avalon,3722,10,0,2,0,8,40,7,28,5,0
Avenal,12991,69,0,7,3,59,58,26,28,4,0
Azusa,50405,144,5,17,46,76,959,174,646,139,12
Bakersfield,388080,1766,34,116,701,915,16074,3888,9277,2909,470
Baldwin Park,75862,188,1,24,50,113,1110,196,606,308,5
Banning,31450,136,2,16,27,91,532,179,210,143,0
Barstow,24121,274,5,10,82,177,986,285,527,174,37
Bear Valley,5507,11,0,7,0,4,44,6,36,2,0
Beaumont,50990,92,2,14,38,38,922,178,548,196,11
Bell,35759,168,0,11,37,120,441,127,224,90,0
Bellflower,77196,327,1,29,107,190,1506,326,860,320,7
Bell Gardens,42366,147,0,4,69,74,630,78,334,218,4
Belmont,27272,45,1,8,1,35,392,50,312,30,2
Belvedere,2114,1,0,0,0,1,15,2,13,0,0
Benicia,28471,16,0,1,13,2,377,72,250,55,2
Berkeley,122788,618,0,74,369,175,6256,771,4993,492,17
Beverly Hills,34211,103,1,6,52,44,1499,257,1197,45,6
Big Bear,5311,76,0,7,4,65,135,30,92,13,0
Biggs,1726,3,0,1,0,2,17,3,10,4,0
Bishop,3731,34,0,9,6,19,183,29,150,4,0
Blythe,19889,92,0,7,29,56,644,177,434,33,44
Bradbury,1089,1,0,0,1,0,10,2,6,2,0
Brawley,26379,121,2,4,8,107,618,95,468,55,15
Brea,44155,72,0,10,29,33,1450,169,1209,72,3
Brentwood,65483,166,0,16,67,83,1335,142,1095,98,11
Brisbane,4746,10,0,2,0,8,137,64,52,21,1
Broadmoor,4446,11,0,2,7,2,82,15,55,12,0
Buellton,5142,3,0,0,0,3,54,15,31,8,0
Buena Park,82627,246,1,15,91,139,2061,230,1567,264,1
Burbank,103738,189,1,11,54,123,2617,299,2107,211,4
Burlingame,30677,74,0,9,25,40,1185,162,937,86,4
Calabasas,24016,35,1,6,15,13,331,81,226,24,1
Calexico,40327,94,0,3,21,70,894,244,470,180,56
California City,14319,83,0,13,15,55,281,102,120,59,3
Calimesa,9073,22,0,0,7,15,280,51,193,36,0
Calistoga,5341,6,0,0,0,6,70,7,54,9,0
Camarillo,69628,58,0,22,16,20,817,100,676,41,2
Campbell,42697,89,0,22,21,46,1357,209,990,158,13
Canyon Lake,11353,15,0,0,1,14,74,15,47,12,0
Capitola,10101,30,0,3,6,21,528,53,454,21,2
Carlsbad,117220,240,3,40,39,158,2135,297,1671,167,11
Carmel,3877,11,0,0,0,11,103,20,81,2,0
Carpinteria,13514,11,1,0,3,7,155,19,116,20,0
Carson,91947,444,5,31,122,286,2004,328,1277,399,14
Cathedral City,55346,144,7,19,48,70,602,182,227,193,4
Central Marin,34793,32,0,6,10,16,1094,360,684,50,0
Ceres,49134,209,1,12,59,137,1158,239,628,291,20
Cerritos,50642,127,1,10,65,51,1634,314,1198,122,0
Chico,95826,557,0,100,104,353,2406,272,1753,381,48
Chino,93348,329,3,35,96,195,2224,376,1649,199,5
Chino Hills,84577,95,1,10,20,64,891,222,606,63,5
