City,Population,"Violent
crime","Murder and
nonnegligent
manslaughter",Rape1,Robbery,"Aggravated
assault","Property
crime",Burglary,"Larceny-
theft","Motor
vehicle
theft",Arson
Aberdeen,16627,71,1,25,14,31,680,123,519,38,6
Airway Heights,9545,27,0,8,5,14,408,58,304,46,2
Algona,3247,6,0,2,2,2,52,8,39,5,1
Anacortes,17483,20,1,2,6,11,387,67,306,14,0
Arlington,20043,47,1,7,5,34,703,93,570,40,3
Bainbridge Island,25080,10,0,3,0,7,226,42,179,5,0
Battle Ground,21375,17,0,8,5,4,444,53,365,26,0
Beaux Arts,331,0,0,0,0,0,2,1,1,0,0
Bellevue,150200,185,1,28,76,80,4263,426,3498,339,3
Bellingham,91906,251,4,28,61,158,2689,323,2251,115,6
Bingen,740,1,0,0,0,1,9,4,5,0,0
Bonney Lake,21574,35,0,10,7,18,362,62,268,32,2
Bothell,47565,30,0,11,8,11,964,102,776,86,5
Bremerton,41675,168,1,26,34,107,1358,234,984,140,6
Brier,7070,2,0,1,0,1,68,5,58,5,0
Buckley,5534,10,0,3,0,7,77,32,40,5,3
Burien,52388,180,3,21,56,100,1744,341,964,439,12
Burlington,9219,19,1,8,5,5,597,56,513,28,2
Camas,24388,10,1,4,2,3,221,30,180,11,0
Castle Rock,2291,1,0,0,0,1,43,7,32,4,0
Centralia,17603,60,1,14,13,32,670,102,525,43,1
Chehalis,7682,22,0,3,7,12,377,46,309,22,0
Cheney,12632,39,0,16,5,18,204,56,137,11,0
Chewelah,2673,1,0,0,0,1,33,4,28,1,0
Cle Elum,2989,5,0,1,1,3,77,17,57,3,1
Clyde Hill,3436,0,0,0,0,0,38,4,32,2,1
College Place,9428,11,0,1,1,9,161,27,129,5,1
Connell,5772,11,0,3,0,8,39,14,24,1,0
Covington,21698,36,0,5,10,21,582,88,447,47,0
Darrington,1429,4,0,0,0,4,11,4,7,0,0
Des Moines,32708,86,1,17,31,37,1007,139,691,177,6
Dupont,9672,20,0,0,0,20,123,26,88,9,3
Duvall,8244,5,0,4,0,1,46,0,43,3,0
East Wenatchee,14293,8,1,0,1,6,192,13,171,8,1
Eatonville,3061,19,0,2,0,17,31,4,20,7,0
Edgewood,11981,24,0,2,4,18,202,83,101,18,4
Edmonds,43152,87,1,10,24,52,909,138,723,48,2
Ellensburg,21324,45,0,11,5,29,652,79,545,28,2
Enumclaw,11975,6,0,1,0,5,208,29,146,33,3
Ephrata,8253,17,0,4,1,12,394,105,258,31,2
Everett,112302,341,6,40,87,208,3991,498,2669,824,13
Everson,4428,1,0,0,0,1,40,2,38,0,1
Federal Way,98025,330,4,35,147,144,4164,519,3041,604,13
Fife,10324,78,1,10,23,44,664,89,401,174,3
Fircrest,6852,11,0,2,0,9,98,23,72,3,2
Forks,3903,11,0,1,0,10,65,11,51,3,0
Gig Harbor,10931,14,0,2,5,7,447,44,383,20,1
Gold Bar,2370,5,0,3,1,1,40,16,21,3,0
Goldendale,3508,9,0,1,1,7,145,24,109,12,1
Grand Coulee,2079,8,0,5,0,3,62,21,33,8,0
Grandview,11179,10,0,1,3,6,204,29,137,38,0
Ilwaco,967,2,0,0,0,2,4,1,2,1,0
Issaquah,40651,20,0,9,2,9,1138,78,980,80,2
Kalama,2766,3,0,0,0,3,30,4,24,2,0
Kelso,12354,33,1,11,6,15,392,47,330,15,5
Kenmore,23430,18,0,4,6,8,242,42,171,29,0
Kennewick,84072,253,2,54,49,148,2487,378,1907,202,12
Kent,131003,486,4,94,242,146,5200,754,3598,848,14
La Center,3324,3,0,0,1,2,41,11,29,1,6
Lacey,51816,105,0,29,17,59,1436,180,1136,120,3
Lake Forest Park,13690,3,0,0,2,1,196,30,147,19,0
Lake Stevens,34081,44,0,10,4,30,284,74,170,40,2
Lakewood,60916,461,2,49,101,309,2296,385,1607,304,8
Liberty Lake,11043,8,0,0,2,6,166,22,135,9,0
Long Beach,1441,1,0,0,0,1,15,1,13,1,0
Longview,38282,101,1,30,19,51,1102,159,841,102,8
Lynden,15116,14,0,4,2,8,263,30,229,4,1
Lynnwood,38847,113,0,15,38,60,1855,145,1499,211,4
Maple Valley,27705,15,1,4,4,6,311,77,208,26,4
Marysville,71081,144,0,27,38,79,1404,206,973,225,7
Medina,3337,0,0,0,0,0,53,14,36,3,0
Mercer Island,26408,8,1,2,1,4,371,64,287,20,1
Mill Creek,21360,17,0,2,2,13,290,26,238,26,0
Milton,8381,32,0,3,6,23,210,57,126,27,2
Monroe,19630,58,1,15,1,41,559,58,449,52,3
Montesano,4033,3,0,0,1,2,37,8,25,4,0
Mountlake Terrace,21617,37,0,6,13,18,466,92,311,63,0
Mount Vernon,36274,55,0,13,17,25,1140,126,899,115,5
Moxee,4151,1,0,1,0,0,21,5,13,3,0
Mukilteo,21704,22,0,5,3,14,351,62,259,30,1
Newcastle,12015,10,0,2,2,6,196,45,123,28,1
Newport,2156,2,0,0,1,1,44,0,41,3,0
Normandy Park,6699,1,0,1,0,0,124,20,98,6,0
North Bend,7314,5,1,1,0,3,199,12,182,5,1
Oak Harbor,23554,31,0,8,2,21,134,26,95,13,0
Oakville,690,2,0,1,0,1,9,4,4,1,0
Olympia,53286,254,2,25,70,157,1854,244,1409,201,10
Orting,8629,12,0,2,3,7,129,17,99,13,1
Othello,8388,7,0,2,1,4,145,27,91,27,1
Pacific,7297,6,0,3,2,1,133,21,80,32,0
Port Angeles,20207,117,0,38,14,65,719,127,529,63,3
Port Orchard,14684,66,0,7,14,45,492,74,376,42,0
Port Townsend,9780,41,0,8,1,32,172,39,124,9,6
Poulsbo,11154,19,0,6,5,8,265,48,196,21,0
Prosser,6388,7,0,0,2,5,124,38,76,10,2
Pullman,34585,42,0,14,5,23,273,44,213,16,2
Puyallup,42509,133,0,16,55,62,2187,284,1652,251,18
Quincy,7977,13,0,0,2,11,144,38,78,28,0
Raymond,2976,6,0,1,0,5,31,11,16,4,0
Redmond,69501,71,1,11,17,42,1846,163,1563,120,4
Renton,103452,325,2,44,109,170,4182,456,2913,813,10
Richland,58514,100,2,24,9,65,1199,195,949,55,10
Ridgefield,8955,10,0,3,1,6,74,16,58,0,0
Ritzville,1645,1,0,1,0,0,57,18,38,1,0
Roy,828,3,0,0,0,3,6,1,5,0,0
Royal City,2240,2,0,1,0,1,21,8,9,4,0
Ruston,855,1,0,0,0,1,39,5,28,6,0
Sammamish,66820,23,2,5,3,13,404,68,312,24,2
SeaTac,29533,130,3,22,52,53,1098,175,624,299,3
Seattle,763706,4471,28,358,1339,2746,34333,7210,23478,3645,98
Sedro Woolley,12184,11,0,1,0,10,219,29,174,16,0
Selah,8110,7,0,2,2,3,127,24,90,13,0
Sequim,7599,16,2,4,0,10,316,45,263,8,2
Shelton,10432,53,0,20,5,28,583,66,485,32,1
Shoreline,57216,95,0,17,25,53,1104,229,737,138,4
Skykomish,225,0,0,0,0,0,2,2,0,0,0
Snoqualmie,14183,6,0,1,3,2,170,15,145,10,1
Soap Lake,1613,4,0,0,1,3,59,14,43,2,0
South Bend,1680,0,0,0,0,0,1,0,0,1,0
Spokane,220432,1520,6,230,311,973,13048,1743,10026,1279,45
Spokane Valley,100983,311,1,38,82,190,4465,483,3626,356,4
Stanwood,7330,11,0,0,1,10,155,20,124,11,0
Steilacoom,6423,13,0,0,1,12,77,19,51,7,2
Sultan,5266,8,0,0,2,6,73,9,54,10,0
Sumas,1529,1,0,1,0,0,8,1,7,0,0
Sumner,10270,34,0,6,9,19,451,104,282,65,9
Sunnyside,16839,24,0,3,6,15,540,51,379,110,0
Tacoma,218650,1848,16,160,422,1250,11415,1768,8021,1626,91
Tenino,1873,3,0,0,0,3,26,4,18,4,0
Toledo,765,0,0,0,0,0,12,1,11,0,0
Toppenish,8886,54,1,6,13,34,541,100,311,130,2
