City,Population,"Violent
crime","Murder and
nonnegligent
manslaughter",Rape2,Robbery,"Aggravated
assault","Property
crime",Burglary,"Larceny-
theft","Motor
vehicle
theft",Arson
Aberdeen,7892,41,0,3,7,31,301,54,229,18,0
Ahoskie,4772,56,2,1,20,33,253,68,174,11,2
Albemarle,16134,146,1,4,23,118,882,179,667,36,14
Apex,56276,53,0,13,3,37,527,79,432,16,0
Asheville,93641,695,6,59,163,467,5923,833,4552,538,20
Atlantic Beach,1506,9,0,3,1,5,114,43,66,5,1
Bailey,560,2,1,1,0,0,15,7,8,0,0
Bald Head Island,182,0,0,0,0,0,24,4,19,1,0
Banner Elk,1101,5,0,1,1,3,11,2,8,1,0
Beech Mountain,324,0,0,0,0,0,15,6,9,0,0
Belhaven,1567,0,0,0,0,0,21,3,16,2,1
Benson,3901,31,0,4,5,22,200,51,136,13,1
Bessemer City,5552,13,0,0,2,11,85,18,58,9,2
Biltmore Forest,1410,0,0,0,0,0,16,4,12,0,0
Biscoe,1724,6,0,0,2,4,186,9,175,2,0
Black Mountain,8187,8,0,0,3,5,189,32,137,20,2
Boiling Spring Lakes,6238,10,1,3,0,6,83,19,63,1,1
Boone,19893,26,0,6,5,15,261,34,214,13,3
Brevard,7928,18,0,6,4,8,188,23,162,3,1
Bunn,377,1,0,0,0,1,18,2,14,2,0
Burgaw,4176,13,0,5,3,5,130,17,111,2,2
Burlington,54108,460,10,42,66,342,2490,534,1815,141,5
Butner,7847,33,0,4,4,25,113,19,91,3,0
Canton,4349,16,0,3,0,13,226,71,132,23,0
Cape Carteret,2076,4,0,0,0,4,30,3,25,2,0
Carolina Beach,6437,29,0,4,2,23,187,27,153,7,0
Carthage,2524,4,0,1,2,1,72,15,52,5,0
Cary,172525,114,1,12,34,67,1560,185,1298,77,1
Chapel Hill,61457,58,0,10,17,31,926,184,706,36,4
Charlotte-Mecklenburg,944260,6982,103,317,1975,4587,37070,5426,28304,3340,151
Cherryville,6062,16,0,2,1,13,153,30,117,6,0
Chocowinity,794,6,0,2,1,3,23,1,21,1,0
Clayton,23842,40,1,7,8,24,497,49,434,14,1
Cleveland,882,4,0,1,1,2,14,2,11,1,0
Columbus,995,1,0,0,0,1,47,9,33,5,1
Concord,96138,117,4,1,28,84,1586,149,1338,99,8
Cooleemee,969,0,0,0,0,0,20,4,14,2,1
Creedmoor,4636,10,0,2,0,8,55,19,33,3,0
Dallas,4787,20,0,2,5,13,153,24,109,20,1
Davidson,13193,8,0,2,1,5,121,17,94,10,0
Drexel,1849,0,0,0,0,0,33,9,15,9,0
Duck,390,0,0,0,0,0,21,7,14,0,0
Dunn,9768,56,1,5,23,27,514,111,374,29,2
Durham,280282,2046,37,121,626,1262,10672,1972,7942,758,39
East Spencer,1550,7,1,0,1,5,25,3,16,6,0
Eden,14773,88,4,9,9,66,513,154,339,20,3
Edenton,4631,39,2,3,5,29,145,37,99,9,0
Elizabeth City,17424,89,1,10,16,62,762,243,468,51,3
