City,Population,"Violent
crime","Murder and
nonnegligent
manslaughter",Rape1,Robbery,"Aggravated
assault","Property
crime",Burglary,"Larceny-
theft","Motor
vehicle
theft",Arson
Albany,54993,70,1,10,16,43,1467,128,1242,97,17
Ashland2,21415,29,0,4,5,20,,,460,23,4
Astoria,10040,75,0,9,11,55,336,66,255,15,3
Baker City,9750,22,0,2,8,12,324,28,283,13,3
Banks,2055,1,0,1,0,0,21,4,17,0,0
Beaverton,100130,217,1,53,49,114,1988,185,1601,202,14
Bend,100588,154,0,30,21,103,1919,135,1678,106,14
Boardman,3425,13,0,3,0,10,43,9,31,3,1
Burns,2781,13,0,2,6,5,45,5,39,1,0
Canby,17962,32,0,8,0,24,187,17,156,14,3
Cannon Beach,1756,0,0,0,0,0,23,1,21,1,0
Carlton,2206,2,0,2,0,0,41,6,35,0,1
Central Point,18753,31,1,9,2,19,362,48,297,17,4
Coburg,1156,4,0,1,1,2,21,11,8,2,0
Columbia City,2048,1,0,0,0,1,11,0,10,1,0
Coos Bay,16471,76,0,20,14,42,795,172,587,36,10
Coquille,3933,19,0,2,2,15,87,19,66,2,0
Cornelius,12827,35,0,5,7,23,271,35,218,18,3
Dallas,16983,48,0,7,1,40,326,35,273,18,2
Eagle Point,9530,16,0,1,1,14,224,22,197,5,1
Eugene,173183,675,2,123,180,370,6184,964,4614,606,42
Florence,9183,17,1,4,1,11,227,20,202,5,5
Forest Grove,25063,52,0,10,3,39,466,57,366,43,2
Gearhart,1612,0,0,0,0,0,20,1,19,0,0
Gervais,2783,2,0,1,1,0,13,0,11,2,0
Gladstone,12340,24,0,7,3,14,245,38,177,30,6
Grants Pass,38475,121,0,24,21,76,1235,151,958,126,7
Gresham,110692,490,3,77,113,297,3442,407,1992,1043,29
Hermiston,17780,47,0,3,8,36,541,67,443,31,1
Hillsboro,110549,274,0,77,56,141,2164,175,1779,210,19
Hines,1549,1,0,0,0,1,17,0,15,2,0
Hood River,7876,13,0,2,3,8,229,9,201,19,0
Hubbard,3598,7,0,0,1,6,42,5,31,6,1
Independence,10367,19,0,2,1,16,145,14,123,8,3
Jacksonville,2919,3,0,0,0,3,67,2,62,3,2
Keizer,40109,61,0,9,9,43,648,78,508,62,2
King City,4072,1,0,0,0,1,64,21,40,3,0
Klamath Falls,22447,105,4,18,15,68,741,117,543,81,11
La Grande,13294,14,1,4,2,7,321,68,233,20,4
Lake Oswego,39888,24,1,7,6,10,481,55,380,46,2
Lebanon,17304,29,0,11,0,18,372,22,323,27,4
Madras,7028,21,1,2,4,14,250,33,192,25,1
McMinnville,34935,69,1,22,7,39,758,88,632,38,6
Milton-Freewater,7051,14,1,2,3,8,163,25,113,25,1
Molalla,9328,9,0,4,1,4,67,10,55,2,2
Monmouth,10630,15,0,4,2,9,128,13,106,9,2
Mount Angel,3621,4,0,0,0,4,42,5,33,4,1
Myrtle Creek,3508,4,0,2,0,2,125,23,94,8,0
Newberg-Dundee,27378,33,0,14,1,18,381,29,331,21,4
Newport,10772,37,1,8,1,27,279,16,239,24,3
North Bend,9775,16,1,2,3,10,444,43,380,21,2
North Plains,2226,3,0,0,0,3,31,1,29,1,0
Ontario,11044,82,2,10,11,59,673,75,541,57,5
Oregon City,37723,107,0,13,10,84,644,54,516,74,9
Pendleton,16796,54,0,9,7,38,483,33,405,45,5
Phoenix,4627,15,2,1,3,9,248,14,226,8,1
Pilot Rock,1510,5,0,1,0,4,12,4,8,0,0
Portland,662114,3606,29,368,979,2230,34452,4200,23820,6432,252
Prineville,10479,38,0,5,3,30,223,26,187,10,0
Rainier,2017,2,0,1,0,1,48,7,40,1,0
Redmond,31558,71,0,7,7,57,1113,86,954,73,10
Reedsport,4123,16,0,3,1,12,145,17,116,12,1
Rockaway Beach,1415,6,0,0,0,6,24,11,12,1,0
Rogue River,2365,7,1,3,0,3,103,6,87,10,2
Roseburg,23447,78,0,18,20,40,1345,151,1084,110,9
Salem,175867,670,0,35,152,483,6488,680,4966,842,43
Scappoose,7592,11,0,3,0,8,65,3,57,5,1
Sherwood,19865,12,0,0,0,12,217,19,188,10,0
Silverton,10831,16,0,5,3,8,229,30,183,16,2
Springfield,63438,190,1,34,32,123,1978,169,1640,169,16
Stanfield,2094,6,0,0,1,5,42,12,26,4,1
Stayton,8318,16,0,0,1,15,236,26,186,24,1
St. Helens,13900,41,0,9,4,28,139,14,111,14,4
Sunriver,,1,0,0,0,1,54,9,43,2,0
Sutherlin,8136,24,0,4,1,19,223,30,173,20,1
Talent,6604,9,0,1,0,8,160,7,142,11,1
The Dalles,15752,28,0,9,0,19,491,81,358,52,5
Tigard,55621,119,0,13,29,77,1410,137,1158,115,9
Toledo,3648,1,0,0,0,1,41,3,37,1,1
Tualatin,27788,63,0,8,17,38,765,62,641,62,2
Umatilla,7202,8,0,2,0,6,88,14,62,12,0
Vernonia,2288,2,0,0,0,2,7,2,5,0,0
Warrenton,5772,21,0,3,8,10,407,23,374,10,4
West Linn,26962,19,0,9,2,8,231,21,196,14,2
Winston,5515,10,0,1,0,9,145,19,89,37,0
Woodburn,26338,90,0,19,20,51,918,137,640,141,3
