City,Population,"Violent
crime","Murder and
nonnegligent
manslaughter",Rape1,Robbery,"Aggravated
assault","Property
crime",Burglary,"Larceny-
theft","Motor
vehicle
theft",Arson
Ashland,1206,2,0,0,0,2,2,0,2,0,0
Auburn,23214,34,1,13,5,15,511,56,445,10,1
Augusta,18629,49,0,20,12,17,587,59,519,9,2
Baileyville,1442,15,0,1,1,13,11,5,5,1,0
Bangor,31872,35,1,1,15,18,1168,64,1076,28,4
Bar Harbor,7682,3,0,1,0,2,62,10,49,3,0
Bath2,8309,4,0,0,0,4,136,8,126,2,0
Belfast2,6720,3,0,0,0,3,38,8,27,3,0
Berwick2,7860,5,0,1,1,3,60,22,35,3,0
Biddeford,21545,92,0,24,9,59,578,53,511,14,1
Boothbay Harbor,2204,3,0,2,0,1,13,0,12,1,0
Brewer,9000,3,0,0,0,3,302,11,286,5,0
Bridgton,5388,6,0,2,0,4,44,6,38,0,0
Brunswick,20510,10,0,6,1,3,319,16,297,6,0
Bucksport,4926,2,0,0,0,2,55,5,46,4,1
Buxton,8345,12,0,3,0,9,40,4,34,2,0
Calais,2973,6,0,2,0,4,61,9,50,2,0
Camden,4823,0,0,0,0,0,3,0,3,0,0
Cape Elizabeth,9352,1,0,1,0,0,46,11,34,1,1
Caribou,7548,8,0,0,2,6,126,19,97,10,0
Carrabassett Valley,777,1,0,0,0,1,10,1,9,0,0
Clinton,3329,12,0,8,0,4,15,0,14,1,0
Cumberland,8295,0,0,0,0,0,17,2,14,1,0
Damariscotta,2151,1,0,1,0,0,46,1,44,1,0
Dexter,3671,1,0,0,1,0,44,10,33,1,0
Dixfield,2465,3,0,3,0,0,25,13,10,2,0
Dover-Foxcroft,4033,2,0,0,0,2,43,8,34,1,0
East Millinocket,2919,0,0,0,0,0,43,12,28,3,0
Eastport,1251,3,0,1,0,2,7,2,5,0,0
Eliot,6817,7,0,4,1,2,23,5,17,1,0
Ellsworth,8088,6,0,5,0,1,174,11,153,10,0
Fairfield,6534,11,0,6,1,4,108,27,75,6,0
Falmouth,12378,3,0,0,0,3,136,5,130,1,0
Farmington,7603,8,0,4,0,4,90,15,74,1,0
Fort Fairfield,3256,1,0,1,0,0,11,5,3,3,0
Fort Kent,3816,0,0,0,0,0,20,0,20,0,0
Freeport,8593,1,0,1,0,0,93,6,85,2,0
Fryeburg,3398,1,0,1,0,0,49,7,41,1,0
Gardiner,5645,4,1,0,1,2,42,2,37,3,0
Gorham,17818,7,0,2,0,5,131,7,121,3,1
Gouldsboro,1745,0,0,0,0,0,6,1,5,0,0
Greenville,1595,0,0,0,0,0,21,1,18,2,0
Hallowell2,2371,4,0,0,2,2,12,3,9,0,0
Hampden,7352,1,0,1,0,0,52,6,46,0,0
Holden,3081,3,0,0,0,3,21,3,15,3,0
Houlton,5720,20,0,4,0,16,160,18,134,8,1
Islesboro2,565,0,0,0,0,0,13,1,12,0,0
Jay,4586,7,0,3,0,4,30,4,23,3,0
Kennebunk,11622,8,0,4,0,4,46,2,43,1,1
Kennebunkport,3660,2,0,1,0,1,29,5,24,0,0
Kittery,9890,8,0,7,0,1,92,12,78,2,1
Lewiston,35865,107,0,31,18,58,716,122,555,39,3
Limestone,2200,2,0,0,0,2,18,5,12,1,0
Lincoln,4886,1,0,0,1,0,113,14,94,5,0
Lisbon,8975,10,0,6,1,3,55,4,46,5,1
Livermore Falls,3134,16,0,6,0,10,32,3,28,1,0
Machias,2055,2,0,1,0,1,35,6,28,1,0
Madawaska,3662,0,0,0,0,0,35,1,33,1,0
Mechanic Falls,2973,5,0,4,0,1,26,3,22,1,0
Mexico,2605,6,0,6,0,0,118,20,97,1,0
