City,Population,"Violent
crime","Murder and
nonnegligent
manslaughter",Rape1,Robbery,"Aggravated
assault","Property
crime",Burglary,"Larceny-
theft","Motor
vehicle
theft",Arson2
"Abington Township, Montgomery County",55476,53,0,6,15,32,934,32,883,19,2
Adamstown,1855,5,0,1,2,2,4,1,2,1,0
"Adams Township, Butler County",14330,13,0,0,1,12,20,4,16,0,0
Akron,4033,2,0,0,0,2,16,0,15,1,0
Aleppo Township,1867,0,0,0,0,0,13,1,11,1,0
"Allegheny Township, Blair County",6512,22,0,2,1,19,114,12,102,0,0
Allentown,121855,471,7,64,170,230,2782,521,2018,243,5
Altoona,43429,264,0,83,22,159,675,142,481,52,9
Armagh Township,3794,2,0,0,0,2,8,2,6,0,0
Ashland,2670,4,0,0,0,4,5,0,5,0,0
Athens,3191,5,0,0,0,5,24,3,21,0,0
Athens Township,5077,12,0,2,1,9,168,6,159,3,0
Avalon,4539,18,0,2,1,15,51,8,41,2,0
Baldwin Borough,19426,18,0,3,3,12,105,18,81,6,0
Baldwin Township,1926,4,0,0,0,4,9,0,8,1,0
Bangor,5234,15,0,1,1,13,38,7,29,2,0
Bedford,2691,6,0,2,1,3,22,4,18,0,0
Bellwood,1741,1,0,0,0,1,18,3,14,1,0
Ben Avon Heights,362,0,0,0,0,0,3,0,3,0,0
"Bethel Township, Berks County",4178,1,0,0,0,1,23,1,19,3,0
Bigler Township Regional,1225,0,0,0,0,0,12,0,10,2,0
Birmingham Township,4210,3,0,0,0,3,9,1,8,0,0
Blacklick Township,1877,0,0,0,0,0,0,0,0,0,0
Blair Township,4500,6,0,0,1,5,35,6,28,1,0
Blawnox,1379,2,0,0,0,2,1,0,1,0,0
Blossburg,1489,2,0,0,0,2,4,1,2,1,0
Blythe Township,887,0,0,0,0,0,0,0,0,0,0
Bonneauville,1838,1,0,0,0,1,3,0,3,0,0
Brackenridge,3140,7,0,1,1,5,33,1,29,3,0
Braddock,2107,3,0,0,1,2,48,13,26,9,0
"Brecknock Township, Berks County",4669,0,0,0,0,0,11,3,7,1,0
Brentwood,9291,20,0,1,2,17,96,17,73,6,0
Bristol Township,53508,93,1,20,42,30,752,77,583,92,10
Buckingham Township,20279,0,0,0,0,0,55,13,39,3,1
Butler,12901,49,0,0,9,40,229,38,181,10,2
"Butler Township, Butler County",16447,24,0,8,2,14,236,6,227,3,0
"Caernarvon Township, Berks County",4174,8,0,0,1,7,73,5,67,1,0
Caln Township,14363,28,0,1,3,24,261,10,242,9,0
Cambridge Springs,2648,5,0,1,0,4,16,5,11,0,0
Canonsburg,8789,7,0,0,1,6,31,1,30,0,2
Carnegie,7828,26,0,0,8,18,180,13,154,13,0
