City,Population,"Violent
crime","Murder and
nonnegligent
manslaughter",Rape2,Robbery,"Aggravated
assault","Property
crime",Burglary,"Larceny-
theft","Motor
vehicle
theft",Arson3
Acworth,22921,16,0,2,1,13,437,24,399,14,0
Adairsville,4953,7,0,2,0,5,83,15,59,9,0
Albany,74989,790,12,32,165,581,3452,729,2489,234,17
Alma,3438,10,0,0,2,8,111,36,69,6,0
Alpharetta,67411,75,1,7,11,56,991,97,849,45,0
Americus,15110,127,4,13,27,83,835,124,677,34,3
Bainbridge,11986,81,1,4,13,63,469,100,351,18,2
Barnesville,6714,18,0,0,2,16,138,12,124,2,1
Blackshear,3471,10,0,2,1,7,169,17,147,5,0
Blakely,4573,41,0,2,3,36,120,24,89,7,0
Braselton,12297,8,0,0,2,6,128,15,99,14,0
Braswell,382,0,0,0,0,0,0,0,0,0,0
Brookhaven,54734,212,2,10,74,126,1338,221,976,141,3
Calhoun,17069,51,0,2,3,46,369,33,320,16,0
Canon,837,0,0,0,0,0,1,0,1,0,0
Centerville,7854,22,0,0,1,21,192,19,160,13,2
Clarkston,12840,73,4,2,37,30,377,78,246,53,1
Claxton,2218,19,0,2,1,16,90,19,68,3,0
College Park,15278,177,6,8,64,99,1038,114,712,212,0
Coolidge,525,0,0,0,0,0,2,1,0,1,0
Dillard,370,0,0,0,0,0,4,0,4,0,0
Donalsonville,2539,11,0,0,1,10,48,11,36,1,1
Douglasville,34609,182,0,17,37,128,2013,135,1805,73,6
Dunwoody,49868,64,2,6,25,31,1915,201,1611,103,0
Eatonton,6625,15,0,1,1,13,142,28,110,4,0
Edison,1430,3,0,0,1,2,8,1,6,1,0
Elberton,4321,27,0,4,5,18,228,47,170,11,0
Ellijay,1722,2,0,0,0,2,29,7,22,0,0
Emerson,1603,7,0,0,2,5,37,3,27,7,1
Eton,917,0,0,0,0,0,14,0,14,0,0
Fairburn,16264,77,0,6,15,56,496,42,385,69,1
Folkston,4662,31,0,0,1,30,87,9,74,4,0
Forest Park,20273,146,2,9,66,69,903,131,654,118,3
Franklin Springs,1232,0,0,0,0,0,1,0,0,1,0
Glennville,5084,5,0,0,1,4,76,12,63,1,0
Grantville,3295,24,0,2,2,20,42,6,30,6,0
Grovetown,14918,22,0,6,3,13,168,17,132,19,0
Hampton,8044,8,0,1,2,5,64,5,52,7,0
Homerville,2348,2,0,0,1,1,87,22,62,3,0
Kennesaw,34641,48,1,8,8,31,484,34,417,33,1
Lake City,2858,5,0,0,2,3,106,18,70,18,0
Lavonia,2162,15,0,2,3,10,68,6,57,5,0
Lilburn,12769,23,0,3,8,12,354,52,266,36,0
Manchester,3958,16,1,0,2,13,143,30,105,8,2
Marietta,61324,262,1,14,84,163,1930,221,1518,191,6
Maysville,2033,0,0,0,0,0,11,2,9,0,0
McDonough,26277,72,2,5,12,53,731,103,565,63,3
McIntyre,602,0,0,0,0,0,12,1,10,1,0
Millen,2718,31,0,2,4,25,59,12,45,2,0
Milton,40067,15,0,10,1,4,291,29,254,8,1
Monroe,13662,72,0,7,12,53,354,56,277,21,
Morrow,7636,32,0,5,16,11,692,33,608,51,0
Mount Zion,1826,6,0,0,0,6,7,0,4,3,0
Nahunta,1109,0,0,0,0,0,15,2,13,0,0
Nashville,4799,36,0,1,4,31,285,57,225,3,1
Newnan,40720,222,3,18,18,183,1090,116,894,80,9
Oxford,2337,2,0,0,0,2,11,4,6,1,0
Palmetto,4743,13,2,1,3,7,109,13,80,16,
Pelham,3474,20,1,1,4,14,150,24,116,10,3
Pine Mountain,1411,9,0,1,1,7,38,4,30,4,0
Pooler,24917,45,2,9,6,28,628,42,528,58,3
Rincon,10260,21,0,2,5,14,144,26,116,2,0
Sandersville,5420,22,0,0,2,20,200,18,174,8,0
Sandy Springs,110760,143,1,11,39,92,1972,286,1527,159,4
Shiloh,485,1,0,0,0,1,5,0,5,0,0
Snellville,20113,55,0,2,8,45,641,32,585,24,
Sparta,1209,7,0,0,1,6,10,3,7,0,0
Springfield,4260,4,0,0,0,4,50,12,34,4,0
Suwanee,21331,39,0,10,6,23,393,35,334,24,1
Sylvania,2427,7,0,0,1,6,102,22,77,3,0
Tallapoosa,3154,14,0,1,0,13,85,19,59,7,0
Thomasville,18533,52,2,3,11,36,733,152,546,35,1
Thunderbolt,2677,4,0,0,0,4,30,5,22,3,0
Tyrone,7451,5,0,0,2,3,66,18,45,3,0
Warner Robins,76623,420,3,44,104,269,3609,626,2744,239,13
Waynesboro,5387,23,3,2,5,13,211,42,162,7,0
Woodstock,33470,39,0,5,7,27,438,11,405,22,0
