City,Population,"Violent
crime","Murder and
nonnegligent
manslaughter",Rape1,Robbery,"Aggravated
assault","Property
crime",Burglary,"Larceny-
theft","Motor
vehicle
theft",Arson
Aberdeen,1946,4,0,0,0,4,21,4,14,3,1
American Falls,4354,2,0,1,0,1,73,7,64,2,0
Ashton,1052,6,0,1,0,5,9,1,8,0,0
Bellevue,2441,7,0,1,0,6,11,3,8,0,0
Blackfoot,11938,42,0,11,4,27,253,59,180,14,2
Boise,231314,649,4,164,44,437,3653,470,2952,231,23
Bonners Ferry,2606,1,0,0,0,1,48,16,30,2,0
Buhl,4440,16,0,4,0,12,56,13,36,7,0
Caldwell,57940,203,0,18,3,182,997,154,718,125,6
Challis,1087,2,0,1,0,1,8,1,7,0,0
Chubbuck,15490,37,0,4,6,27,553,41,497,15,1
Coeur d'Alene,52256,132,0,38,8,86,712,83,579,50,10
Cottonwood,935,0,0,0,0,0,2,1,1,0,0
Emmett,6950,25,0,4,0,21,73,15,55,3,2
Fruitland,5472,3,0,1,1,1,36,10,25,1,0
Garden City,12033,53,0,7,3,43,268,50,203,15,4
Gooding,3457,2,0,0,0,2,45,12,30,3,1
Grangeville,3205,7,0,1,0,6,5,1,4,0,0
Hagerman,883,1,0,0,0,1,5,2,2,1,0
Hailey,8575,20,0,1,0,19,29,8,18,3,0
Heyburn,3460,2,0,1,0,1,30,4,24,2,0
Idaho Falls,62088,172,1,37,11,123,940,264,608,68,8
Jerome,11921,42,1,17,0,24,157,30,119,8,0
Kellogg,2117,4,0,0,0,4,38,14,20,4,2
Ketchum,2843,12,0,1,0,11,19,3,15,1,0
Kimberly,4052,5,0,2,0,3,26,13,13,0,0
Lewiston,32931,42,0,15,2,25,955,145,755,55,2
McCall,3541,13,0,2,0,11,51,15,30,6,0
Meridian,111196,177,4,48,7,118,1188,182,964,42,12
Middleton,8395,11,0,1,0,10,75,12,54,9,0
Montpelier,2514,5,0,2,0,3,35,4,29,2,0
Moscow,26018,7,0,1,0,6,345,53,285,7,1
Mountain Home,14476,54,0,9,0,45,229,17,196,16,3
Nampa,98208,306,0,87,18,201,1767,304,1323,140,8
Osburn,1549,1,0,0,0,1,7,3,2,2,0
Parma,2152,7,0,2,0,5,35,4,26,5,0
Payette,7535,23,0,7,1,15,122,14,95,13,5
Pinehurst,1616,1,0,0,0,1,14,0,11,3,0
Pocatello,56514,233,1,30,9,193,1326,226,1012,88,7
Ponderay,1145,2,0,1,0,1,51,5,45,1,0
Post Falls,35649,68,0,14,3,51,585,61,486,38,5
Preston,5533,5,1,4,0,0,51,21,30,0,0
Priest River,1868,6,0,2,0,4,30,4,24,2,0
Rathdrum,8968,8,0,1,1,6,69,14,53,2,0
Rexburg,29109,6,0,0,0,6,121,8,112,1,0
Rigby,4225,3,0,0,0,3,35,10,24,1,0
Rupert,5791,4,0,0,0,4,71,19,51,1,0
Salmon,3141,17,0,0,0,17,17,3,14,0,0
Sandpoint,8873,16,1,1,1,13,185,59,116,10,0
Shelley,4423,1,0,1,0,0,50,8,35,7,0
Soda Springs,3029,7,0,1,1,5,20,4,16,0,1
Spirit Lake,2596,5,0,0,0,5,26,5,19,2,1
St. Anthony,3572,4,0,1,0,3,24,4,20,0,0
Sun Valley,1482,2,0,0,0,2,7,0,7,0,0
Twin Falls,50463,201,1,27,10,163,1034,152,827,55,8
Weiser,5369,0,0,0,0,0,0,0,0,0,0
Wendell,2707,5,0,3,0,2,21,5,11,5,0
