City,Population,"Violent
crime","Murder and
nonnegligent
manslaughter",Rape1,Robbery,"Aggravated
assault","Property
crime",Burglary,"Larceny-
theft","Motor
vehicle
theft",Arson2
Alamogordo,31832,109,0,6,4,99,796,103,618,75,
Albuquerque3,561920,7596,84,486,1699,5327,,,20634,5425,98
Angel Fire,1072,2,0,0,0,2,23,4,18,1,
Anthony,9284,32,0,3,0,29,67,40,19,8,
Artesia,12366,65,0,10,4,51,376,79,264,33,
Bayard,2137,20,0,0,0,20,27,12,13,2,
Belen,7094,144,0,1,8,135,372,64,262,46,
Bernalillo,10353,85,1,0,10,74,232,65,137,30,
Bosque Farms,3809,18,0,0,1,17,42,9,19,14,
Capitan,1417,3,0,0,0,3,10,6,2,2,
Carrizozo,935,3,0,0,0,3,8,3,5,0,
Clayton,2691,3,0,0,0,3,9,2,7,0,
Cloudcroft,700,1,0,0,0,1,6,3,2,1,
Clovis,38734,261,2,54,28,177,1474,300,979,195,
Corrales,8715,12,0,1,1,10,62,18,36,8,
Cuba,756,11,0,0,1,10,2,1,0,1,
Deming,14011,135,1,17,16,101,722,218,457,47,
Dexter,1236,0,0,0,0,0,2,0,1,1,
Edgewood,6161,20,1,1,8,10,76,18,52,6,
Estancia,1586,1,0,0,0,1,6,6,0,0,
Eunice,2997,1,0,0,0,1,56,30,14,12,
Gallup,21935,437,1,20,84,332,1397,250,987,160,
Grants,8937,49,2,1,2,44,185,82,88,15,
Hatch,1605,16,0,0,0,16,31,11,19,1,
Hope,106,0,0,0,0,0,2,1,1,0,
Hurley,1181,3,0,0,0,3,5,1,4,0,
Jal,2097,14,0,1,1,12,34,5,21,8,
Las Cruces,103520,514,10,64,57,383,3707,654,2746,307,3
Logan,959,4,0,0,0,4,12,2,10,0,
Lordsburg,2385,12,0,0,0,12,43,16,23,4,
Los Alamos4,19220,,0,10,1,,72,8,59,5,
Los Lunas,15929,205,0,4,16,185,649,134,415,100,
Lovington,11322,12,3,0,3,6,260,86,140,34,
Magdalena,873,3,1,0,0,2,13,3,9,1,
Mesilla,1826,0,0,0,0,0,0,0,0,0,
Milan,3632,4,0,0,0,4,4,2,2,0,
Moriarty,1792,5,0,2,0,3,54,20,25,9,
Peralta,3586,22,0,0,0,22,37,11,23,3,
Portales,11675,55,1,6,2,46,305,92,179,34,
Questa,1753,3,0,1,2,0,10,0,10,0,
Raton,5939,16,0,0,0,16,50,10,39,1,
Rio Rancho,99359,189,3,32,20,134,1474,261,1084,129,
Roswell,47533,404,9,61,36,298,1793,301,1362,130,27
Ruidoso,7826,31,2,4,1,24,206,77,120,9,
Ruidoso Downs,2575,19,0,0,1,18,112,32,73,7,
Santa Clara,1765,5,0,0,0,5,12,4,7,1,
Santa Rosa,2639,18,0,0,0,18,60,18,39,3,
San Ysidro,199,1,0,0,0,1,0,0,0,0,
Springer,898,7,0,0,0,7,12,3,6,3,
Sunland Park,18103,65,0,9,2,54,189,58,114,17,1
Taos,5963,19,0,0,4,15,317,50,249,18,
Taos Ski Valley,69,0,0,0,0,0,5,1,4,0,
Tatum,823,0,0,0,0,0,0,0,0,0,
Texico,1078,0,0,0,0,0,4,2,2,0,
Truth or Consequences,5791,20,0,0,0,20,65,16,46,3,
Tularosa,2988,7,1,0,0,6,56,21,34,1,
