City,Population,"Violent
crime","Murder and
nonnegligent
manslaughter",Rape1,Robbery,"Aggravated
assault","Property
crime",Burglary,"Larceny-
theft","Motor
vehicle
theft",Arson
Barrington,16090,4,0,2,1,1,89,14,74,1,0
Bristol,22070,16,0,7,0,9,103,6,94,3,1
Burrillville,16859,9,1,2,0,6,79,17,57,5,2
Central Falls,19423,82,1,11,13,57,289,44,192,53,2
Charlestown,7819,6,0,1,1,4,48,14,32,2,1
Coventry,34751,31,0,11,0,20,386,73,294,19,3
Cranston,81471,127,1,26,20,80,1110,113,912,85,13
Cumberland,35206,25,0,8,5,12,252,30,203,19,2
East Greenwich,13119,5,0,0,2,3,91,9,78,4,0
East Providence,47590,62,0,20,6,36,498,75,353,70,3
Foster,4730,3,0,1,0,2,27,9,18,0,0
Glocester,10281,4,0,0,0,4,26,5,17,4,1
Hopkinton,8110,4,0,3,0,1,39,7,31,1,0
Jamestown,5508,4,0,2,0,2,24,2,21,1,0
Johnston,29424,32,0,8,6,18,326,62,225,39,0
Lincoln,21891,25,0,6,8,11,380,33,325,22,0
Little Compton,3488,2,0,0,0,2,21,6,14,1,0
Middletown,15934,11,0,5,0,6,151,14,129,8,2
Narragansett,15411,14,0,6,1,7,103,13,84,6,2
Newport,24584,68,0,19,8,41,537,79,437,21,3
New Shoreham,1032,3,0,0,0,3,23,7,15,1,0
North Kingstown,26286,23,0,15,0,8,214,29,180,5,2
North Providence,32655,44,1,6,2,35,208,48,117,43,2
North Smithfield,12568,6,0,2,0,4,272,12,251,9,1
Pawtucket,72030,293,1,57,47,188,1640,315,1146,179,13
Portsmouth,17330,11,0,4,0,7,76,16,57,3,1
Providence,179762,892,13,106,241,532,5413,715,4224,474,5
Richmond,7701,3,0,0,0,3,37,4,30,3,0
Scituate,10707,6,0,4,0,2,38,2,34,2,1
Smithfield,21790,6,0,3,0,3,195,21,171,3,1
South Kingstown,30656,19,0,8,1,10,214,31,172,11,1
Tiverton,15745,11,0,5,2,4,180,21,148,11,1
Warren,10419,18,0,5,1,12,133,24,104,5,0
Warwick,80749,76,2,29,8,37,1239,108,1073,58,2
Westerly,22475,15,1,9,0,5,243,36,193,14,1
West Greenwich,6375,4,0,0,1,3,37,10,24,3,0
West Warwick,28847,54,0,14,2,38,238,58,161,19,2
Woonsocket,41709,237,2,34,40,161,865,197,580,88,15
