City,Population,"Violent
crime","Murder and
nonnegligent
manslaughter",Rape1,Robbery,"Aggravated
assault","Property
crime",Burglary,"Larceny-
theft","Motor
vehicle
theft",Arson
Abbeville,5017,47,9,4,4,30,123,29,89,5,0
Aiken,30922,178,4,23,32,119,1499,162,1239,98,6
Allendale,2924,76,1,2,4,69,136,52,68,16,5
Aynor,994,3,0,0,1,2,27,0,23,4,0
Bamberg,3195,16,2,2,3,9,147,37,99,11,1
Barnwell,4321,89,0,8,5,76,206,55,140,11,1
Batesburg-Leesville,5389,61,2,6,3,50,221,23,189,9,0
Beaufort,13485,58,3,3,22,30,460,58,391,11,0
Belton,4434,15,1,1,2,11,156,34,100,22,0
Bennettsville,7726,53,2,0,3,48,311,39,263,9,0
Bishopville,2927,86,1,2,11,72,194,40,142,12,0
Blacksburg,1883,10,0,0,0,10,68,9,53,6,0
Blackville,2194,23,2,1,2,18,130,62,61,7,0
Bluffton,24812,46,1,9,10,26,220,35,175,10,3
Bowman,904,16,0,0,5,11,38,16,17,5,0
Branchville,952,1,0,0,0,1,19,6,13,0,0
Burnettown,2751,1,0,0,0,1,23,5,15,3,0
Calhoun Falls,1912,14,2,0,0,12,31,11,17,3,0
Camden,7242,86,2,4,7,73,385,39,318,28,2
Cameron,396,0,0,0,0,0,8,3,3,2,0
Cayce,14211,138,0,11,12,115,804,64,644,96,1
Central,5380,1,0,1,0,0,136,3,126,7,0
Chapin,1653,3,0,0,1,2,56,9,41,6,0
Charleston,138254,516,8,51,95,362,3124,292,2335,497,7
Cheraw,5589,61,0,3,8,50,413,57,343,13,2
Chesnee,948,3,0,1,0,2,53,15,34,4,0
Chester,5368,82,5,5,2,70,213,29,174,10,0
Chesterfield,1415,4,0,0,0,4,57,13,44,0,0
Clemson,17547,32,0,7,5,20,425,27,298,100,0
Clinton,8412,66,0,6,6,54,349,57,270,22,3
Clio,660,2,0,0,1,1,13,4,8,1,0
Clover,6575,19,0,0,2,17,157,13,124,20,1
Columbia,133790,1037,29,88,220,700,7027,916,5216,895,15
Conway,26127,111,1,14,11,85,884,90,739,55,2
Coward,767,4,0,2,0,2,16,4,12,0,0
Cowpens,2408,4,0,0,1,3,57,7,47,3,0
Darlington,5886,87,1,7,12,67,505,73,416,16,2
Denmark,2924,31,3,0,4,24,132,64,60,8,0
Due West,1240,0,0,0,0,0,18,3,15,0,0
Duncan,3573,7,0,1,3,3,67,7,53,7,0
Easley,21390,98,0,3,9,86,1098,128,910,60,3
Edisto Beach,406,1,0,0,0,1,10,1,8,1,0
Ehrhardt,481,3,0,0,0,3,13,0,12,1,0
Elgin,1612,6,0,0,0,6,76,7,68,1,0
Estill,1855,37,2,0,3,32,93,37,50,6,1
Eutawville,292,2,0,0,1,1,7,0,5,2,0
Florence,37640,447,7,29,58,353,2496,388,1909,199,4
Forest Acres,10320,64,0,5,9,50,637,87,508,42,0
