City,Population,"Violent
crime","Murder and
nonnegligent
manslaughter",Rape1,Robbery,"Aggravated
assault","Property
crime",Burglary,"Larceny-
theft","Motor
vehicle
theft",Arson
Aberdeen Township,18700,15,0,3,5,7,164,7,145,12,0
Absecon,8436,8,0,1,2,5,236,24,207,5,0
Allendale,6795,0,0,0,0,0,38,8,26,4,0
Allenhurst,484,0,0,0,0,0,11,1,9,1,0
Allentown,1784,0,0,0,0,0,8,2,6,0,0
Alpha,2262,1,0,0,0,1,37,7,30,0,0
Alpine,1856,1,0,0,0,1,15,4,2,9,0
Andover Township,5870,0,0,0,0,0,17,3,13,1,0
Asbury Park,15437,179,2,10,47,120,525,59,457,9,0
Atlantic City,37593,323,11,29,182,101,1738,130,1519,89,2
Atlantic Highlands,4308,3,0,0,1,2,50,2,48,0,0
Audubon,8601,5,0,0,2,3,296,21,268,7,0
Audubon Park,997,1,0,0,0,1,5,0,5,0,0
Avalon,1236,5,0,0,0,5,157,12,145,0,0
Avon-by-the-Sea,1766,1,0,0,0,1,36,5,31,0,0
Barnegat Light,587,0,0,0,0,0,6,1,5,0,0
Barnegat Township,23399,12,0,0,4,8,124,13,108,3,0
Barrington,6620,3,0,1,1,1,62,8,49,5,0
Bay Head,976,0,0,0,0,0,15,3,12,0,0
Bayonne,65032,145,2,11,52,80,704,120,519,65,4
Beach Haven,1191,0,0,0,0,0,141,5,136,0,0
Beachwood,11275,5,0,3,0,2,79,14,65,0,0
Bedminster Township,8043,2,0,0,0,2,39,6,29,4,0
Belleville,36531,78,1,9,24,44,508,70,351,87,1
Bellmawr,11294,13,0,0,2,11,133,28,97,8,1
Belmar,5562,8,0,0,0,8,86,4,78,4,0
Belvidere,2564,8,0,1,0,7,32,13,19,0,0
Bergenfield,27432,15,1,1,0,13,75,11,62,2,0
Berkeley Heights Township,13592,4,0,3,1,0,58,12,36,10,0
Berkeley Township,41738,44,0,9,10,25,385,68,310,7,1
Berlin,7510,10,0,0,2,8,126,21,100,5,1
Berlin Township,5651,3,0,0,3,0,126,11,111,4,1
Bernards Township,27228,0,0,0,0,0,83,15,54,14,0
Bernardsville,7670,2,0,0,0,2,43,3,34,6,0
Beverly,2476,11,0,0,1,10,35,9,20,6,0
Blairstown Township,5703,5,0,1,0,4,19,8,10,1,0
Bloomfield,50307,32,0,0,11,21,567,58,447,62,0
Bloomingdale,8089,5,0,3,0,2,32,3,29,0,0
Bogota,8403,2,0,0,2,0,33,5,26,2,0
Boonton,8157,11,0,1,2,8,82,8,70,4,0
Boonton Township,4279,2,0,1,0,1,18,4,12,2,0
Bordentown City,3786,2,0,0,1,1,26,1,24,1,0
Bordentown Township,12018,11,0,0,0,11,66,3,53,10,2
Bound Brook,10257,16,1,0,6,9,112,11,98,3,0
Bradley Beach,4158,6,0,0,0,6,68,7,60,1,0
Branchburg Township,14551,4,0,2,1,1,83,13,63,7,1
Brick Township,75592,83,3,18,9,53,805,128,665,12,4
Bridgeton,24331,223,2,17,114,90,848,261,549,38,1
Bridgewater Township,44610,7,0,0,3,4,435,32,382,21,1
Brielle,4683,2,0,1,0,1,15,3,11,1,0
Brigantine,8684,1,0,0,0,1,165,31,129,5,0
Brooklawn,1899,16,0,1,5,10,149,13,134,2,0
Buena,4316,4,0,1,0,3,47,16,28,3,0
Burlington City,9877,51,2,2,14,33,150,40,94,16,0
Burlington Township,22516,31,0,7,6,18,261,30,210,21,1
Butler,7613,1,0,0,0,1,26,3,22,1,0
Byram Township,7875,10,0,4,1,5,63,9,48,6,0
Caldwell,7943,7,0,1,0,6,57,15,41,1,0
Califon,1055,0,0,0,0,0,3,1,1,1,0
Camden County Police Department,73270,1159,25,67,302,765,2101,372,1194,535,41
Cape May,3428,4,0,1,0,3,94,3,86,5,0
Cape May Point,274,0,0,0,0,0,4,3,1,0,0
Carlstadt,6170,8,0,0,2,6,73,4,61,8,0
Carney's Point Township,7664,17,0,10,3,4,104,18,80,6,1
Carteret,23645,32,0,5,11,16,265,40,201,24,0
Cedar Grove Township,12508,6,0,0,1,5,56,4,50,2,0
Chatham,8696,0,0,0,0,0,63,5,52,6,0
Chatham Township,10219,0,0,0,0,0,24,1,20,3,0
