City,Population,"Violent
crime","Murder and
nonnegligent
manslaughter",Rape1,Robbery,"Aggravated
assault","Property
crime",Burglary,"Larceny-
theft","Motor
vehicle
theft",Arson
Adamsville,2171,6,0,2,0,4,27,2,22,3,1
Alamo,2294,12,0,3,0,9,89,13,66,10,0
Alcoa,10798,85,2,17,7,59,431,27,361,43,0
Alexandria,1006,4,0,0,1,3,4,2,2,0,0
Algood,4549,13,0,3,0,10,172,7,157,8,0
Ardmore,1229,0,0,0,0,0,28,1,23,4,0
Ashland City,4708,12,0,0,0,12,264,13,243,8,0
Athens,13879,116,0,7,9,100,881,120,688,73,1
Atoka,9510,12,0,2,1,9,67,5,58,4,0
Baileyton,445,2,0,0,0,2,12,1,10,1,0
Bartlett,59610,188,1,12,30,145,1046,100,878,68,2
Baxter,1514,4,0,0,2,2,38,7,27,4,0
Bean Station,3085,8,0,0,0,8,33,8,20,5,0
Belle Meade,2879,1,0,0,0,1,27,5,20,2,0
Bells,2455,7,0,0,2,5,31,11,16,4,0
Benton,1258,4,0,1,0,3,34,3,29,2,0
Berry Hill,515,15,0,0,7,8,120,19,97,4,0
Big Sandy,522,0,0,0,0,0,10,3,5,2,0
Blaine,1871,0,0,0,0,0,30,2,24,4,0
Bluff City,1661,4,0,0,0,4,25,6,15,4,0
Bolivar,4888,73,0,3,4,66,141,45,87,9,1
Bradford,983,3,0,0,1,2,12,1,10,1,1
Brentwood,43217,38,0,12,12,14,374,38,318,18,1
Brighton,2926,4,0,0,1,3,9,4,5,0,0
Bristol,26900,135,1,15,12,107,813,138,604,71,3
Brownsville,9336,151,2,13,9,127,329,63,251,15,0
Bruceton,1400,4,0,0,0,4,25,5,16,4,0
Burns,1456,0,0,0,0,0,10,1,6,3,0
Calhoun,498,0,0,0,0,0,3,0,3,0,0
Camden,3573,2,0,0,0,2,31,3,28,0,0
Carthage,2276,6,0,0,0,6,49,0,45,4,0
Caryville,2146,3,0,1,0,2,42,8,23,11,0
Celina,1453,4,0,0,0,4,25,3,19,3,0
Centerville,3564,10,0,0,0,10,61,12,46,3,0
Chapel Hill,1532,6,0,0,0,6,12,6,6,0,0
Charleston,695,0,0,0,0,0,3,0,0,3,0
Chattanooga,181848,1946,33,161,196,1556,10106,1098,7694,1314,25
Church Hill,6671,0,0,0,0,0,10,1,8,1,0
Clarksburg,376,0,0,0,0,0,0,0,0,0,0
Clarksville,159996,926,14,103,116,693,4467,543,3457,467,12
Cleveland,45453,464,2,35,42,385,2403,371,1845,187,2
Clifton,2665,2,0,0,0,2,15,4,11,0,0
Clinton,10062,45,0,2,6,37,324,39,249,36,0
Collegedale,11929,10,0,1,4,5,222,14,198,10,0
Collierville,51273,119,3,9,22,85,688,49,610,29,1
Collinwood,939,0,0,0,0,0,8,0,6,2,0
Columbia,40001,257,0,13,19,225,1202,124,980,98,3
Cookeville,34373,121,1,28,7,85,1047,140,779,128,1
Coopertown,4590,4,0,0,0,4,44,12,28,4,1
Cornersville,1271,3,0,0,0,3,8,1,7,0,0
Covington,8755,126,0,6,8,112,479,64,357,58,1
Cowan,1657,1,0,0,0,1,16,3,13,0,0
Cross Plains,1827,0,0,0,0,0,5,0,4,1,0
Crossville,11643,42,0,16,0,26,499,88,380,31,1
Cumberland City,308,2,0,1,0,1,5,1,4,0,0
Dandridge,3168,12,0,1,0,11,68,15,50,3,1
Dayton,7408,20,0,2,0,18,197,34,156,7,0
Decatur,1646,11,1,1,1,8,37,5,29,3,0
Decaturville,860,0,0,0,0,0,10,6,4,0,0
Decherd,2386,19,1,2,0,16,87,8,72,7,0
Dickson,15703,112,1,15,4,92,672,60,557,55,1
Dover,1489,2,1,0,0,1,18,3,13,2,0
Dresden,2908,2,0,0,1,1,30,9,17,4,0
Dunlap,5155,23,0,0,0,23,150,31,102,17,0
Dyer,2204,4,0,0,0,4,32,2,28,2,0
Dyersburg,16300,180,3,7,30,140,905,235,618,52,5
Eagleville,714,0,0,0,0,0,0,0,0,0,0
East Ridge,21027,91,0,10,10,71,714,97,555,62,0
Elizabethton,13409,81,0,5,1,75,639,103,471,65,2
Elkton,528,0,0,0,0,0,4,1,3,0,0
Englewood,1524,14,0,0,0,14,31,4,24,3,0
Erin,1287,2,0,0,0,2,16,3,12,1,0
Erwin,5826,30,0,4,0,26,89,12,61,16,0
Estill Springs,2030,16,0,0,0,16,23,4,15,4,0
Ethridge,489,2,0,0,0,2,10,1,7,2,0
Etowah,3482,15,0,0,0,15,87,10,65,12,0
Fairview,9153,18,0,3,0,15,127,15,99,13,0
Fayetteville,7047,53,0,4,2,47,224,24,189,11,1
Franklin,83517,138,0,15,10,113,926,58,814,54,3
Friendship,670,5,0,1,0,4,3,0,3,0,1
Gadsden,461,0,0,0,0,0,7,3,3,1,0
Gainesboro,944,0,0,0,0,0,1,0,1,0,0
Gallatin,41918,117,4,6,10,97,451,33,387,31,1
Gallaway,644,1,0,0,0,1,7,0,5,2,0
Gates,621,2,0,1,0,1,17,7,9,1,0
Gatlinburg,4163,20,0,3,0,17,192,25,152,15,0
Germantown,39127,36,0,8,5,23,492,44,422,26,1
Gibson,394,0,0,0,0,0,2,0,2,0,0
Gleason,1364,5,0,0,0,5,21,4,14,3,0
Goodlettsville,16976,53,0,3,16,34,517,39,422,56,1
Gordonsville,1239,3,0,0,0,3,10,3,7,0,0
Grand Junction,266,1,0,0,0,1,1,0,1,0,0
Graysville,1564,11,0,0,0,11,31,4,22,5,0
Greenbrier,6887,23,0,2,2,19,57,12,37,8,0
Greeneville,14881,50,1,4,1,44,521,51,405,65,4
Greenfield,2063,9,0,0,0,9,43,6,36,1,0
Halls,2079,3,0,0,0,3,12,4,4,4,1
Harriman,6121,29,0,1,1,27,180,30,130,20,0
Henderson,6314,41,0,6,2,33,104,16,78,10,0
Hendersonville,58388,100,0,2,12,86,652,44,574,34,0
Henry,466,0,0,0,0,0,3,1,0,2,0
Hohenwald,3680,22,0,4,0,18,125,8,106,11,0
Hollow Rock,675,0,0,0,0,0,4,3,1,0,0
Hornbeak,394,0,0,0,0,0,0,0,0,0,0
Humboldt,8165,63,1,2,5,55,272,65,189,18,1
Huntingdon,3805,1,0,0,0,1,49,7,39,3,0
Huntland,839,0,0,0,0,0,0,0,0,0,0
Jacksboro,1919,5,0,0,0,5,95,0,94,1,0
Jackson,66915,650,17,30,97,506,2473,374,1904,195,15
Jamestown,1960,10,0,0,1,9,72,7,64,1,0
Jasper,3361,8,1,0,0,7,63,10,44,9,0
Jefferson City,8193,14,0,2,1,11,207,28,167,12,3
Jellico,2161,7,0,0,0,7,61,13,44,4,0
Johnson City,67197,286,1,28,38,219,2390,301,1904,185,8
Jonesborough,5487,20,1,2,1,16,105,17,74,14,0
Kenton,1195,4,0,1,0,3,28,3,25,0,0
Kimball,1421,5,0,0,0,5,58,5,49,4,1
Kingsport,54218,332,3,22,35,272,2829,324,2232,273,5
Kingston,5809,7,0,2,1,4,72,13,55,4,1
Kingston Springs,2750,1,0,0,0,1,11,3,8,0,0
Knoxville,188666,1259,22,146,232,859,8207,1157,6067,983,10
Lafayette,5309,34,0,0,3,31,115,21,80,14,1
La Follette,6651,52,0,3,4,45,339,84,232,23,0
La Vergne,36227,142,4,17,22,99,650,103,472,75,1
Lawrenceburg,10877,50,0,10,3,37,427,62,339,26,1
Lebanon,36337,149,2,24,9,114,929,106,763,60,1
Lenoir City,9392,37,0,2,2,33,272,33,215,24,0
Lexington,7723,45,0,1,2,42,238,25,201,12,0
Livingston,4014,12,0,1,1,10,65,18,45,2,0
Lookout Mountain,1866,0,0,0,0,0,20,1,18,1,0
Loretto,1789,7,0,0,0,7,9,3,5,1,0
Loudon,5869,5,0,2,0,3,52,6,42,4,0
Madisonville,4949,21,0,0,2,19,199,20,163,16,0
Manchester,11020,61,0,6,1,54,435,65,351,19,0
Martin,10488,18,1,0,1,16,327,38,279,10,0
Maryville,29415,44,1,4,1,38,463,53,375,35,1
Mason,1549,2,0,0,1,1,2,2,0,0,0
Maury City,664,1,0,0,0,1,14,2,10,2,0
Maynardville,2397,7,0,0,1,6,42,5,34,3,0
McEwen,1733,4,0,0,0,4,33,11,22,0,1
McKenzie,5509,23,0,0,1,22,86,21,61,4,3
McMinnville,13696,130,2,13,8,107,478,87,350,41,0
Medina,4334,13,0,0,0,13,14,6,8,0,0
Memphis,650410,12367,190,468,2432,9277,39860,7833,27981,4046,336
Metropolitan Nashville Police Department,687361,7376,83,438,1978,4877,27777,3374,21655,2748,60
Middleton,637,0,0,0,0,0,2,1,1,0,0
Milan,7613,42,0,4,3,35,194,48,136,10,0
Millersville,6829,29,1,3,0,25,85,26,51,8,1
Millington,10669,105,2,6,13,84,552,97,397,58,3
Minor Hill,532,0,0,0,0,0,0,0,0,0,0
Monteagle,1225,8,0,0,1,7,41,15,19,7,0
Monterey,2888,9,0,0,0,9,51,14,32,5,0
Morristown,30044,255,2,16,18,219,1423,169,1140,114,1
Moscow,559,4,0,1,0,3,11,1,9,1,0
Mountain City,2407,1,0,0,0,1,34,3,31,0,0
Mount Carmel,5295,2,0,0,0,2,29,7,14,8,0
Mount Juliet,37359,59,1,2,9,47,523,24,456,43,0
Mount Pleasant,4934,8,0,1,0,7,45,8,33,4,0
Munford,6083,17,1,3,1,12,81,18,58,5,0
Murfreesboro,145929,611,4,96,106,405,4228,510,3454,264,6
Newbern,3312,11,0,1,1,9,58,12,42,4,0
New Johnsonville,1900,4,0,0,0,4,31,9,16,6,0
New Market,1372,1,0,0,1,0,8,0,7,1,0
Newport,6786,66,0,6,1,59,593,52,480,61,1
New Tazewell,2702,7,0,0,0,7,76,6,64,6,0
Niota,727,2,0,0,0,2,15,3,8,4,0
Nolensville,9488,16,0,1,3,12,94,23,61,10,2
Norris,1609,6,0,0,0,6,16,3,11,2,0
