City,Population,"Violent
crime","Murder and
nonnegligent
manslaughter",Rape1,Robbery,"Aggravated
assault","Property
crime",Burglary,"Larceny-
theft","Motor
vehicle
theft",Arson2
Ashland,2604,2,0,0,0,2,11,3,8,0,
Aurora,4539,4,0,1,0,3,28,3,24,1,0
Beatrice,12227,22,0,12,0,10,194,28,150,16,0
Bellevue,53880,110,2,37,26,45,961,99,697,165,7
Blair,7836,10,0,5,2,3,119,11,87,21,2
Boys Town,579,8,0,6,0,2,8,0,8,0,
Broken Bow,3532,7,0,1,0,6,20,2,17,1,0
Central City,2868,6,0,1,0,5,6,0,5,1,0
Chadron,5446,10,0,4,1,5,104,7,82,15,0
Columbus,23406,28,0,12,3,13,359,38,288,33,1
Cozad,3757,6,0,0,0,6,12,1,10,1,0
Crete,7094,46,0,16,0,30,127,12,106,9,0
Emerson,796,0,0,0,0,0,3,0,3,0,0
Falls City,4130,8,0,2,0,6,44,2,36,6,0
Fremont,26523,49,0,24,7,18,589,127,414,48,4
Gering,8189,9,0,2,2,5,95,7,82,6,0
Gothenburg,3433,0,0,0,0,0,47,2,41,4,0
Grand Island,51821,236,1,55,14,166,1323,189,1034,100,12
Hastings,24778,45,0,17,2,26,727,119,557,51,4
Holdrege,5394,14,2,10,0,2,75,7,63,5,0
Imperial,2074,0,0,0,0,0,4,0,4,0,0
La Vista,17223,19,0,6,2,11,181,19,128,34,0
Lexington,10108,20,1,5,0,14,164,18,139,7,0
Lincoln,291128,1115,5,323,166,621,8008,988,6566,454,
Madison,2378,2,0,2,0,0,13,4,7,2,0
McCook,7533,11,0,5,0,6,168,41,109,18,0
Minden,2985,3,0,2,0,1,45,2,41,2,1
Nebraska City,7273,18,0,2,0,16,306,68,227,11,5
Norfolk,24698,32,1,11,1,19,381,32,323,26,2
North Platte,23705,89,0,23,4,62,800,106,643,51,12
Ogallala,4476,10,0,2,0,8,111,9,100,2,0
Omaha,470481,2883,23,379,519,1962,17144,1684,12307,3153,
O'Neill3,3615,8,0,5,0,3,17,3,12,2,
Ord,2087,5,0,1,0,4,10,1,9,0,0
Papillion,20580,40,1,10,2,27,433,17,394,22,10
Plattsmouth,6478,17,0,9,0,8,85,14,64,7,0
Ralston,7468,12,0,9,2,1,108,12,76,20,0
Ravenna,1369,0,0,0,0,0,20,3,15,2,1
Schuyler,6396,3,0,0,0,3,25,5,19,1,0
Scottsbluff,15862,53,0,13,4,36,433,55,359,19,2
Seward,7250,2,0,1,0,1,40,3,34,3,0
Sidney,6331,22,0,2,1,19,151,15,124,12,0
South Sioux City,12771,30,0,3,3,24,359,29,289,41,1
Superior,1812,2,0,1,0,1,18,2,16,0,
Tekamah3,1692,2,0,0,0,2,13,4,9,0,
Tilden,934,0,0,0,0,0,0,0,0,0,
Valentine,2751,9,1,1,0,7,27,1,23,3,0
Valley,2904,1,0,0,0,1,16,4,11,1,0
Wahoo,4513,2,0,1,0,1,18,0,16,2,0
West Point,3307,1,0,0,0,1,17,4,11,2,0
York,7877,13,0,9,2,2,179,27,145,7,
