City,Population,"Violent
crime","Murder and
nonnegligent
manslaughter",Rape1,Robbery,"Aggravated
assault","Property
crime",Burglary,"Larceny-
theft","Motor
vehicle
theft",Arson2
Adrian,1220,0,0,0,0,0,5,1,2,2,0
Aitkin3,1985,2,0,0,0,2,45,2,40,3,0
Akeley,442,2,0,0,0,2,22,5,16,1,0
Albany,2752,1,0,0,0,1,9,0,9,0,0
Albert Lea,17597,38,0,5,4,29,506,101,381,24,3
Alexandria,13914,29,0,7,2,20,385,26,346,13,1
Annandale,3415,3,0,0,0,3,44,2,41,1,0
Anoka3,17591,44,0,4,8,32,323,36,259,28,1
Appleton,1322,6,0,0,0,6,38,4,30,4,0
Apple Valley,54779,51,0,24,10,17,1062,58,963,41,3
Arlington,2163,0,0,0,0,0,5,0,5,0,0
Atwater,1110,0,0,0,0,0,1,0,1,0,0
Austin,25224,54,0,6,6,42,487,80,378,29,1
Avon,1597,1,0,0,0,1,18,2,10,6,0
Babbitt,1498,0,0,0,0,0,8,2,6,0,0
Barnesville,2608,3,0,0,0,3,0,0,0,0,0
Battle Lake,938,0,0,0,0,0,5,0,5,0,0
Baxter,8401,11,0,4,0,7,303,13,281,9,1
Bayport,3834,1,0,1,0,0,19,0,14,5,0
Becker,4957,8,0,4,0,4,39,13,26,0,1
Belgrade/Brooten,1524,0,0,0,0,0,13,0,10,3,0
Belle Plaine,7232,2,0,0,0,2,66,3,59,4,0
Bemidji,15550,83,0,13,11,59,1187,91,1039,57,2
Benson,3050,0,0,0,0,0,0,0,0,0,0
Big Lake,11236,5,0,0,0,5,55,7,38,10,1
Blackduck,838,2,0,1,0,1,10,2,8,0,0
Blaine3,66260,61,1,20,16,24,1586,126,1369,91,3
Blooming Prairie,1956,0,0,0,0,0,5,1,2,2,0
Bloomington,85902,203,3,54,61,85,3079,183,2731,165,17
Blue Earth,3113,2,0,1,0,1,24,13,10,1,0
Braham,1791,1,0,0,0,1,1,1,0,0,0
Brainerd,13449,63,0,19,2,42,461,57,383,21,0
Breckenridge,3175,6,0,2,0,4,69,13,54,2,1
Breezy Point,2418,0,0,0,0,0,5,0,5,0,0
Breitung Township,612,1,0,0,0,1,0,0,0,0,0
Brooklyn Center,31000,108,1,21,45,41,1223,79,944,200,2
Brooklyn Park,81211,299,2,52,97,148,2760,299,2160,301,7
Brownton,723,0,0,0,0,0,4,0,4,0,0
Buffalo,16421,16,0,8,1,7,268,16,244,8,0
Buffalo Lake,680,1,0,1,0,0,8,2,6,0,0
Burnsville,61306,103,1,12,27,63,1621,130,1379,112,5
Caledonia3,2718,0,0,0,0,0,3,0,3,0,0
Cambridge,9008,6,0,1,1,4,361,19,331,11,0
Canby,1674,0,0,0,0,0,0,0,0,0,0
Cannon Falls,4063,1,0,0,1,0,74,9,62,3,0
Centennial Lakes3,11025,15,0,6,0,9,111,13,89,9,1
Champlin,25636,25,0,7,5,13,231,20,203,8,0
Chaska,27143,16,0,4,2,10,253,26,220,7,1
