City,Population,"Violent
crime","Murder and
nonnegligent
manslaughter",Rape1,Robbery,"Aggravated
assault","Property
crime",Burglary,"Larceny-
theft","Motor
vehicle
theft",Arson
Addison Township,6653,6,0,2,2,2,15,4,9,2,0
Adrian,20334,140,0,37,12,91,477,94,366,17,1
Adrian Township,6239,2,0,1,0,1,20,14,6,0,0
Akron,374,0,0,0,0,0,4,1,3,0,0
Albion,8462,80,1,6,8,65,299,75,210,14,1
Allegan,5038,10,0,4,1,5,47,1,42,4,1
Allen Park,26945,48,0,10,10,28,496,54,399,43,2
Alma,8866,20,0,5,2,13,109,12,94,3,0
Almont,2814,11,0,2,0,9,29,7,19,3,0
Alpena,9901,58,0,20,1,37,159,30,122,7,0
Ann Arbor,122893,309,2,77,46,184,2124,197,1789,138,8
Argentine Township,6506,3,0,1,0,2,19,3,13,3,1
Auburn Hills,24393,82,0,25,11,46,536,32,487,17,2
Au Gres,834,0,0,0,0,0,0,0,0,0,0
Augusta,902,3,0,2,1,0,14,0,14,0,0
Bad Axe,2923,7,0,5,1,1,42,1,40,1,0
Bancroft,494,0,0,0,0,0,1,0,1,0,0
Bangor,1823,20,0,3,0,17,24,6,15,3,1
Baroda-Lake Township,3859,6,0,1,0,5,41,6,30,5,0
Barryton,353,0,0,0,0,0,0,0,0,0,0
Barry Township,3510,1,0,0,0,1,13,4,9,0,0
Bath Township,13131,14,0,7,0,7,114,18,86,10,0
Battle Creek,60607,568,5,60,67,436,1969,460,1377,132,27
Bay City,32793,271,2,35,20,214,654,135,476,43,4
Beaverton,1176,1,0,0,0,1,7,0,7,0,0
Belding,5747,6,0,3,1,2,66,8,56,2,0
Bellaire,1067,0,0,0,0,0,0,0,0,0,0
Belleville,3873,12,0,3,1,8,47,9,35,3,0
Bellevue,1291,0,0,0,0,0,0,0,0,0,0
Benton Harbor,9801,190,3,18,19,150,320,73,198,49,1
Benton Township,14372,287,2,32,25,228,813,105,621,87,7
Berkley,15482,9,0,3,1,5,54,6,48,0,0
Berrien Springs-Oronoko Township,8940,12,0,5,1,6,88,15,64,9,0
Beverly Hills,10429,2,0,0,0,2,78,10,60,8,0
Big Rapids,10389,26,0,6,0,20,135,18,114,3,1
Birch Run,1462,3,0,0,0,3,55,3,52,0,0
Birmingham,21479,10,0,2,1,7,127,20,100,7,0
Blackman Township,37002,85,1,34,8,42,1236,94,1073,69,2
Blissfield,3250,7,0,3,0,4,21,5,15,1,0
Bloomfield Hills,4027,5,0,1,1,3,25,4,19,2,0
Bloomfield Township,42326,11,0,1,1,9,324,41,267,16,0
Boyne City,3752,13,0,3,0,10,26,0,25,1,0
Brandon Township,16121,12,0,2,0,10,50,10,36,4,0
Breckenridge,1261,0,0,0,0,0,7,0,6,1,0
Bridgeport Township,9778,49,0,5,3,41,124,36,80,8,0
Bridgman,2224,3,0,0,0,3,16,0,14,2,0
Brighton,7684,9,1,4,0,4,154,8,143,3,0
Bronson,2308,11,0,5,1,5,50,6,39,5,0
Brown City,1240,2,0,0,0,2,15,0,14,1,0
Brownstown Township,32083,75,0,12,4,59,296,49,210,37,7
Buchanan,4274,21,0,7,0,14,108,13,88,7,2
Buena Vista Township,8095,92,2,8,8,74,171,59,98,14,0
Burton2,28496,136,2,20,18,96,,,524,88,0
Cadillac,10466,52,0,17,1,34,355,30,310,15,4
Calumet,691,0,0,0,0,0,3,1,2,0,0
Cambridge Township,5657,5,0,3,0,2,27,6,18,3,0
Canton Township,93406,120,1,30,6,83,1086,113,919,54,5
Capac,1822,5,0,0,0,5,23,8,14,1,0
Caro,3969,12,0,4,0,8,77,4,68,5,0
Carrollton Township,5626,10,2,0,0,8,64,22,41,1,1
Carson City,1117,3,0,3,0,0,3,0,3,0,0
Caseville,731,0,0,0,0,0,14,2,12,0,0
Caspian-Gaastra,1165,4,0,0,0,4,3,1,2,0,1
Cass City,2268,1,0,1,0,0,38,3,35,0,0
Cassopolis,1695,2,0,2,0,0,14,1,11,2,0
Center Line,8232,28,0,4,4,20,135,13,112,10,0
Central Lake,938,0,0,0,0,0,0,0,0,0,0
Charlevoix,2498,10,0,6,0,4,36,6,27,3,1
