City,Population,"Violent
crime","Murder and
nonnegligent
manslaughter",Rape1,Robbery,"Aggravated
assault","Property
crime",Burglary,"Larceny-
theft","Motor
vehicle
theft",Arson
Alexander,3315,15,0,6,0,9,73,16,54,3,0
Alma,5888,35,0,18,2,15,228,36,181,11,0
Altus,729,0,0,0,0,0,22,10,12,0,0
Amity,675,1,0,0,0,1,2,0,2,0,0
Ashdown,4370,13,0,3,0,10,102,22,74,6,0
Ash Flat,1095,5,0,0,0,5,40,3,36,1,0
Atkins,3037,11,0,6,0,5,76,7,60,9,0
Augusta,1939,12,0,5,0,7,31,4,25,2,0
Austin,3973,4,0,0,0,4,21,7,13,1,0
Bald Knob,2872,23,0,9,2,12,118,23,89,6,1
Barling,5010,28,0,9,0,19,75,5,66,4,0
Batesville,10889,29,0,5,2,22,262,37,212,13,0
Bay,1805,3,0,0,1,2,24,5,17,2,0
Bearden,859,1,0,0,0,1,7,1,5,1,0
Beebe,8242,23,0,9,0,14,273,38,218,17,0
Bella Vista,28931,49,0,17,0,32,188,39,144,5,1
Benton,37161,212,4,18,27,163,1328,202,1000,126,6
Bentonville,53434,119,1,21,9,88,734,80,623,31,1
Berryville,5547,25,0,11,4,10,193,48,135,10,2
Bethel Heights,2810,4,0,4,0,0,18,3,14,1,0
Blytheville,13468,109,10,5,16,78,629,98,528,3,0
Bono,2444,6,0,3,0,3,28,6,19,3,0
Booneville,3829,17,1,2,0,14,107,34,70,3,0
Bradford,732,2,0,0,0,2,8,0,7,1,0
Brinkley,2623,29,0,1,1,27,80,25,42,13,2
Brookland,3759,7,0,5,0,2,60,9,50,1,1
Bryant,21214,32,1,5,3,23,888,45,783,60,3
Bull Shoals,1971,2,0,0,0,2,21,6,14,1,0
Cabot,26875,100,0,39,3,58,371,62,256,53,2
Caddo Valley,588,1,0,1,0,0,34,2,30,2,0
Camden,10742,113,0,8,10,95,373,84,274,15,4
Cammack Village,720,0,0,0,0,0,14,1,12,1,0
Carlisle,2184,4,0,1,2,1,51,11,39,1,0
Cave Springs,5580,3,0,2,0,1,20,3,16,1,0
Cedarville,1413,10,0,2,1,7,19,2,12,5,0
Centerton,16542,53,2,21,1,29,139,35,96,8,0
Charleston,2454,7,0,2,0,5,24,8,16,0,0
Cherokee Village,4634,10,0,2,0,8,78,31,45,2,0
Cherry Valley,583,1,0,0,0,1,8,4,4,0,0
Clarksville,9813,29,0,15,3,11,240,15,215,10,0
Clinton,2489,8,0,3,1,4,113,22,85,6,0
Conway,67336,324,2,49,51,222,1842,177,1567,98,8
Corning,3093,10,0,2,0,8,41,13,22,6,0
Cotter,940,3,0,1,0,2,17,6,10,1,0
Crossett,4846,30,0,3,2,25,187,78,102,7,0
Damascus,377,0,0,0,0,0,4,0,4,0,0
Dardanelle,4555,28,1,10,1,16,114,35,69,10,0
Decatur,1813,17,0,8,0,9,46,9,34,3,0
De Queen,6593,33,0,10,0,23,172,64,104,4,0
Des Arc,1580,8,0,0,0,8,20,9,11,0,0
DeWitt,3019,28,0,6,1,21,84,28,51,5,4
Diaz,1197,1,0,0,0,1,14,5,4,5,0
Dover,1434,8,0,0,0,8,30,4,24,2,1
Dumas,4084,15,1,1,1,12,33,14,18,1,0
Earle,2201,15,0,1,1,13,46,20,24,2,0
El Dorado,17820,239,3,16,23,197,996,524,431,41,4
Elkins,3246,24,0,9,0,15,27,3,22,2,1
England,2723,21,0,4,2,15,87,28,57,2,0
Etowah,317,0,0,0,0,0,4,1,3,0,0
Eudora,1930,4,0,1,2,1,32,12,20,0,0
Eureka Springs,2092,22,0,4,3,15,95,28,60,7,0
Fairfield Bay,2202,10,1,4,0,5,40,9,29,2,2
Farmington,7387,33,0,14,3,16,67,8,53,6,3
Fayetteville,88500,396,3,56,52,285,3966,398,3146,422,2
Flippin,1340,5,0,2,0,3,61,11,47,3,0
Fordyce,3745,42,0,6,6,30,213,63,138,12,2
Forrest City,13887,129,2,8,20,99,668,85,457,126,4
Fort Smith,88041,863,4,97,90,672,5127,812,3929,386,11
Gassville,2156,9,2,2,1,4,51,6,42,3,0
Gentry,3924,15,0,1,0,14,21,1,18,2,0
Glenwood,2095,2,0,0,0,2,24,9,12,3,0
Gosnell,3148,14,0,2,1,11,46,19,25,2,0
Gravette,3443,14,0,1,1,12,77,13,59,5,0
Greenbrier,5660,10,0,7,0,3,16,0,11,5,0
Green Forest,2763,18,0,6,0,12,66,18,46,2,0
Greenland,1450,6,0,1,0,5,15,0,12,3,0
Greenwood,9436,23,0,1,0,22,36,11,25,0,1
Gurdon,2069,19,0,5,0,14,32,8,19,5,0
Hamburg,2636,18,1,1,0,16,16,7,8,1,1
Harrisburg,2368,18,0,8,0,10,37,5,28,4,0
Harrison,13107,50,0,9,2,39,350,50,272,28,3
Haskell,4715,16,0,5,0,11,75,14,58,3,1
Hazen,1336,5,0,1,0,4,26,10,11,5,0
Heber Springs,6912,24,0,8,1,15,231,45,180,6,0
Helena-West Helena,10187,187,11,17,17,142,578,167,364,47,11
Highland,1100,4,0,0,0,4,17,5,11,1,0
Hope,9666,70,0,12,4,54,396,96,278,22,0
Hot Springs,37263,241,10,38,42,151,2674,755,1710,209,8
Hoxie,2588,5,0,0,0,5,24,8,15,1,1
Jacksonville,28273,271,0,26,42,203,1484,281,1027,176,1
Jericho,106,0,0,0,0,0,0,0,0,0,0
Johnson,3781,6,0,1,1,4,85,32,41,12,0
Jonesboro,78261,537,13,74,58,392,2982,1092,1758,132,2
Judsonia,1981,12,0,3,1,8,29,6,23,0,0
Kensett,1618,7,0,1,0,6,18,3,14,1,1
Lake City,2598,4,0,1,1,2,19,8,9,2,0
Lakeview,715,4,1,0,0,3,12,2,8,2,0
Lake Village,2241,20,2,4,4,10,68,16,50,2,1
Lamar,1740,0,0,0,0,0,25,4,21,0,0
Lincoln,2500,9,0,4,0,5,51,12,34,5,0
Little Flock,2791,10,0,2,1,7,35,8,24,3,0
Little Rock,198382,3009,38,209,391,2371,12145,1760,9316,1069,45
Lonoke,4261,22,0,4,2,16,127,15,108,4,1
Lowell,9723,28,0,3,1,24,117,38,71,8,0
Luxora,1016,1,0,0,1,0,3,2,1,0,0
Madison,685,3,0,0,1,2,5,2,3,0,0
Magnolia,11440,14,0,2,1,11,295,95,198,2,2
Marianna,3398,28,2,5,2,19,154,52,89,13,2
Marion,12344,122,0,12,11,99,379,61,291,27,1
Marked Tree,2462,17,0,0,0,17,50,13,31,6,0
Marmaduke,1264,6,0,0,1,5,47,11,35,1,0
Marshall,1297,3,0,1,0,2,12,3,8,1,1
Maumelle,18223,28,2,3,5,18,301,64,218,19,2
Mayflower,2489,10,0,2,1,7,66,16,46,4,0
McCrory,1513,11,0,2,0,9,33,9,19,5,0
McGehee,3681,31,0,8,0,23,95,34,59,2,0
McRae,661,1,0,0,0,1,4,2,2,0,0
Mena,5508,3,0,2,0,1,223,29,186,8,2
Menifee,316,0,0,0,0,0,2,2,0,0,0
Mineral Springs,1148,1,0,0,0,1,13,5,6,2,0
Monette,1603,1,0,1,0,0,22,6,16,0,0
Monticello,9438,38,0,10,5,23,289,45,229,15,6
Morrilton,6631,26,0,11,2,13,240,9,225,6,1
Mountainburg,608,7,0,2,0,5,28,5,21,2,0
Mountain Home,12458,32,0,19,1,12,486,48,423,15,0
Mountain View,2850,9,0,1,0,8,99,30,66,3,0
Mulberry,1644,14,0,3,0,11,61,10,50,1,0
Murfreesboro,1533,4,0,1,0,3,12,3,9,0,0
Nashville,4403,27,0,13,0,14,130,18,108,4,0
Newport,7485,92,1,12,3,76,369,70,289,10,1
Norfork,533,0,0,0,0,0,1,0,1,0,0
North Little Rock,66604,562,12,23,106,421,2479,380,1723,376,17
Osceola,6653,172,4,15,7,146,316,151,144,21,7
Ozark,3573,29,0,6,1,22,86,44,40,2,0
Paragould,29245,307,0,29,13,265,1378,188,1083,107,4
Paris,3392,22,0,3,2,17,94,32,59,3,1
Pea Ridge,6230,24,0,4,0,20,69,9,52,8,0
Perryville,1454,3,2,0,0,1,29,3,20,6,0
Piggott,3569,17,0,7,0,10,52,13,36,3,0
Pine Bluff2,41505,644,23,23,96,502,,,1448,271,39
Plumerville,773,0,0,0,0,0,11,2,9,0,0
Pocahontas,6647,43,0,21,1,21,216,31,171,14,1
Pottsville,3332,13,0,1,0,12,18,7,11,0,1
Prairie Grove,6595,16,1,6,0,9,134,27,103,4,0
Prescott2,2985,6,0,3,0,3,,,34,4,1
Quitman,711,2,0,0,0,2,22,1,21,0,0
Ravenden,443,2,0,0,0,2,5,0,5,0,0
Redfield,1564,4,0,2,0,2,23,11,11,1,0
Rogers,69168,330,1,87,21,221,1968,166,1699,103,6
Rose Bud,483,0,0,0,0,0,11,2,8,1,0
Russellville,29446,140,0,13,9,118,897,109,729,59,2
Salem,1637,2,0,1,0,1,15,7,7,1,0
Searcy,23873,199,4,15,21,159,1042,230,756,56,0
Shannon Hills,4017,17,0,5,1,11,62,27,21,14,1
Sheridan2,4954,14,0,4,1,9,,20,,7,0
Sherwood,31435,195,1,17,13,164,928,214,625,89,4
Siloam Springs,17235,70,0,15,4,51,458,96,307,55,4
Star City,2058,17,1,2,2,12,48,12,30,6,0
St. Charles,208,0,0,0,0,0,3,1,2,0,0
Stuttgart,8589,101,1,10,5,85,302,69,219,14,5
Sulphur Springs,534,10,0,1,0,9,7,3,4,0,0
Swifton,727,1,0,0,0,1,7,1,6,0,0
Texarkana,29971,183,4,13,27,139,1130,215,847,68,3
Trumann,7043,41,0,15,4,22,321,72,236,13,0
Tuckerman,1671,9,0,3,0,6,34,13,17,4,0
Van Buren,23800,117,0,14,7,96,752,149,541,62,0
Vilonia,4762,5,0,0,1,4,55,9,43,3,0
Waldron,3332,15,0,4,0,11,112,37,74,1,2
Walnut Ridge,5019,11,0,2,0,9,69,20,41,8,0
Ward,5454,64,0,12,1,51,103,31,69,3,1
Warren,5634,24,0,4,1,19,146,55,86,5,0
Weiner,679,4,0,1,0,3,12,4,7,1,0
West Fork,2672,5,0,1,1,3,34,7,26,1,0
West Memphis,24442,485,8,33,57,387,1225,336,756,133,9
White Hall,5014,5,0,0,2,3,69,26,34,9,0
Wilson,819,0,0,0,0,0,12,0,12,0,0
Wynne,7812,79,1,8,4,66,292,80,194,18,4
