City,Population,"Violent
crime","Murder and
nonnegligent
manslaughter",Rape1,Robbery,"Aggravated
assault","Property
crime",Burglary,"Larceny-
theft","Motor
vehicle
theft",Arson
Abernathy2,2713,2,0,0,0,2,20,5,12,3,0
Abilene,123665,458,6,87,68,297,3112,576,2330,206,7
Addison2,16339,80,1,10,18,51,702,89,499,114,1
Alamo,19903,91,1,11,10,69,979,108,842,29,2
Alamo Heights2,8808,7,0,1,2,4,157,19,134,4,0
Alba,539,0,0,0,0,0,7,1,5,1,0
Alice,18858,103,0,7,7,89,830,149,653,28,8
Allen,105961,88,0,19,15,54,1154,95,997,62,0
Alpine,6021,12,1,1,0,10,36,21,11,4,1
Alvarado,4468,17,0,5,4,8,71,19,43,9,0
Alvin2,27159,65,1,25,12,27,666,80,513,73,7
Amarillo,201036,1447,15,161,246,1025,7835,1439,5425,971,39
Andrews2,14133,59,0,10,1,48,219,47,151,21,1
Angleton,19660,50,0,15,8,27,278,39,218,21,1
Anna,15253,18,1,3,2,12,135,16,110,9,0
Anthony,5738,16,0,0,3,13,98,11,75,12,0
Archer City,1732,6,0,3,0,3,2,2,0,0,0
Arcola,2627,1,0,0,1,0,53,12,28,13,0
Arlington,402304,2055,16,241,402,1396,11291,1305,8738,1248,14
Athens,12807,47,0,10,8,29,283,75,170,38,0
Atlanta,5497,45,0,14,4,27,158,26,130,2,0
Aubrey,3786,7,0,0,1,6,12,5,7,0,0
Austin2,986062,3953,32,534,971,2416,36588,4344,29216,3028,103
Azle,13691,14,0,0,4,10,236,41,177,18,5
Baird,1508,2,0,0,0,2,17,10,5,2,1
Balch Springs,25511,165,2,14,33,116,905,100,581,224,2
Balcones Heights,3366,38,1,0,8,29,304,23,244,37,0
Ballinger2,3615,2,0,0,0,2,30,12,17,1,0
Bangs,1540,1,0,1,0,0,4,1,2,1,0
Bartonville2,1752,2,0,0,1,1,8,1,6,1,0
Baytown,77707,325,3,49,91,182,2838,447,2005,386,5
Beaumont,118562,1241,19,97,323,802,4287,950,2999,338,28
Bedford,49771,145,1,34,30,80,1010,94,823,93,2
Bee Cave,7217,5,0,1,1,3,155,15,126,14,0
Beeville,12866,28,2,0,5,21,347,98,239,10,3
Bellaire,19233,21,1,5,11,4,341,56,266,19,1
Bellmead,10817,99,0,13,13,73,640,68,514,58,3
Bellville,4288,12,0,3,1,8,40,2,38,0,0
Belton,22741,44,0,20,9,15,431,57,365,9,5
Benbrook,23872,38,0,5,10,23,368,44,290,34,2
Beverly Hills,1989,5,0,0,2,3,60,14,39,7,0
Big Sandy,1385,1,0,0,0,1,3,1,0,2,0
Big Spring,28278,152,3,11,21,117,1049,173,731,145,7
Bishop,3069,2,0,0,0,2,50,12,32,6,0
Blanco,2040,3,0,0,1,2,13,4,4,5,0
Blue Mound2,2485,5,0,0,0,5,29,9,13,7,1
