City,Population,"Violent
crime","Murder and
nonnegligent
manslaughter",Rape1,Robbery,"Aggravated
assault","Property
crime",Burglary,"Larceny-
theft","Motor
vehicle
theft",Arson2
Adams Village,1735,0,0,0,0,0,0,0,0,0,0
Addison Town and Village,2471,3,0,0,0,3,5,0,5,0,0
Afton Village,796,0,0,0,0,0,0,0,0,0,0
Akron Village,2851,1,0,0,0,1,5,1,4,0,0
Albany,97221,736,4,60,189,483,2919,445,2315,159,16
Albion Village,5802,17,0,2,1,14,147,27,115,5,2
Alfred Village,3988,1,0,0,0,1,23,5,18,0,0
Allegany Village,1707,1,0,0,0,1,9,0,8,1,0
Amherst Town,120864,141,2,11,42,86,1840,157,1640,43,5
Amityville Village,9430,3,1,0,0,2,68,12,52,4,0
Amsterdam,17773,40,1,3,7,29,220,49,158,13,3
Angelica Village,818,0,0,0,0,0,0,0,0,0,0
Arcade Village,1933,2,0,0,0,2,6,1,5,0,0
Ardsley Village,4538,1,0,1,0,0,21,3,17,1,0
Asharoken Village,644,0,0,0,0,0,0,0,0,0,0
Attica Village,2411,0,0,0,0,0,5,0,5,0,0
Baldwinsville Village,7931,0,0,0,0,0,46,4,41,1,3
Ballston Spa Village,5257,2,0,1,0,1,31,3,27,1,0
Barker,505,0,0,0,0,0,0,0,0,0,0
Bath Village,5446,12,0,2,3,7,73,14,59,0,0
Beacon,14510,24,1,4,6,13,150,15,128,7,0
Bedford Town,17791,1,0,0,0,1,57,4,52,1,0
Belmont Village,904,0,0,0,0,0,3,0,3,0,0
Bethlehem Town,35275,29,0,11,2,16,438,41,391,6,0
Binghamton,44475,355,2,42,66,245,1907,417,1429,61,16
Black River,1253,0,0,0,0,0,8,0,8,0,0
Blasdell Village,2665,5,0,0,2,3,39,7,30,2,0
Blooming Grove Town,11816,6,0,1,0,5,54,8,45,1,0
Bolton Town,2251,0,0,0,0,0,10,1,8,1,0
Boonville Village,1995,1,0,1,0,0,11,2,8,1,
Brant Town,2055,0,0,0,0,0,5,0,4,1,0
Brewster,2345,0,0,0,0,0,5,0,5,0,0
Briarcliff Manor Village,8267,0,0,0,0,0,30,1,29,0,0
Brighton Town,36036,25,0,5,4,16,611,85,507,19,0
Brockport Village,8241,10,0,3,1,6,59,5,52,2,0
Bronxville Village,6459,0,0,0,0,0,34,5,28,1,0
Brownville Village,1093,0,0,0,0,0,1,0,1,0,0
Buchanan Village,2243,2,0,1,1,0,6,0,6,0,0
Buffalo,255686,2533,47,121,802,1563,8298,1610,6009,679,143
Cairo Town,6413,1,0,0,0,1,30,5,24,1,0
Cambridge Village,1794,0,0,0,0,0,19,2,17,0,0
Camden Village,2164,0,0,0,0,0,24,1,22,1,0
Camillus Town and Village,24160,17,0,7,2,8,277,22,245,10,2
Canajoharie Village,2136,1,0,1,0,0,15,2,12,1,0
Canandaigua,10217,45,0,22,3,20,178,22,148,8,0
Canastota Village,4513,7,0,3,1,3,33,7,24,2,1
Canisteo Village,2131,4,0,2,0,2,3,0,3,0,0
Canton Village,6407,3,0,1,0,2,18,2,16,0,0
Cape Vincent Village,702,0,0,0,0,0,0,0,0,0,0
Carmel Town,34251,8,0,0,0,8,76,5,69,2,0
Carroll Town,3329,0,0,0,0,0,19,5,14,0,0
Carthage Village,3336,1,0,1,0,0,45,3,41,1,0
Catskill Village,3797,6,0,0,1,5,71,18,52,1,0
Cattaraugus Village,907,0,0,0,0,0,0,0,0,0,0
Cayuga Heights Village,3666,0,0,0,0,0,7,1,6,0,0
Cazenovia Village,2842,2,0,1,0,1,18,3,15,0,0
Central Square Village,1749,0,0,0,0,0,63,1,62,0,1
Centre Island Village,410,0,0,0,0,0,1,1,0,0,0
Chatham Village,1619,0,0,0,0,0,3,0,3,0,0
Cheektowaga Town,76821,187,2,15,57,113,2153,208,1856,89,4
Chester Town,8043,8,0,1,3,4,7,0,7,0,0
Chester Village,4120,0,0,0,0,0,16,0,16,0,0
Chittenango Village,4835,1,0,0,0,1,19,1,16,2,0
Cicero Town,28732,5,0,1,1,3,174,18,150,6,0
Clarkstown Town,80599,56,0,12,11,33,985,33,918,34,2
Clayton Village,1828,0,0,0,0,0,12,1,11,0,0
Clyde Village,1937,3,0,0,1,2,23,8,15,0,0
Cobleskill Village,4329,15,0,2,1,12,51,2,48,1,1
Coeymans Town,7297,17,0,2,1,14,71,4,65,2,0
Cohocton Town,2452,0,0,0,0,0,0,0,0,0,0
Cohoes,16717,37,2,5,3,27,153,14,127,12,1
Colchester Town,1965,5,0,1,1,3,14,3,9,2,0
Cold Spring Village,1955,1,0,0,0,1,2,1,1,0,0
Colonie Town,79509,62,0,10,19,33,1870,120,1716,34,5
Cornwall-on-Hudson Village,2914,1,0,0,0,1,15,1,14,0,0
Cornwall Town,9502,2,0,1,0,1,7,2,5,0,0
Cortland,18655,55,0,27,6,22,325,77,246,2,1
Coxsackie Village,2653,0,0,0,0,0,1,0,1,0,0
Crawford Town,9171,1,0,0,1,0,64,13,49,2,1
Croton-on-Hudson Village,8131,3,0,0,0,3,36,2,32,2,0
Cuba Town,3083,1,0,0,0,1,27,3,24,0,0
Dansville Village,4389,1,0,0,0,1,52,7,44,1,0
Deerpark Town,7714,11,0,2,0,9,49,8,35,6,0
Delhi Village,3094,8,0,1,0,7,22,6,16,0,0
Depew Village,15008,15,0,5,2,8,193,27,156,10,1
Deposit Village,1524,1,0,0,1,0,10,1,8,1,0
DeWitt Town,25000,36,0,3,12,21,608,62,514,32,1
Dexter Village,1011,0,0,0,0,0,1,0,1,0,0
Dobbs Ferry Village,10990,4,0,0,2,2,44,2,38,4,0
Dryden Village,2121,4,0,2,1,1,24,3,21,0,0
Dunkirk,11712,21,1,0,5,15,210,37,168,5,0
Durham Town,2659,0,0,0,0,0,3,0,3,0,0
East Aurora-Aurora Town,13785,2,0,0,1,1,67,10,52,5,0
Eastchester Town,20073,3,0,0,2,1,67,8,52,7,0
East Greenbush Town,16324,10,0,1,2,7,400,37,358,5,0
East Rochester Village,6522,6,0,0,1,5,69,18,47,4,0
Eden Town,7621,2,0,1,0,1,36,8,25,3,0
Ellenville Village,3980,9,0,0,1,8,50,4,44,2,0
Ellicott Town,5014,13,0,2,2,9,241,30,210,1,0
Ellicottville,1575,0,0,0,0,0,9,2,7,0,0
Elmira,26958,83,1,0,40,42,831,172,643,16,0
Elmira Heights Village,3819,4,0,0,1,3,73,13,58,2,0
Elmira Town,5589,0,0,0,0,0,2,1,1,0,0
Elmsford Village,5295,3,0,0,1,2,11,3,8,0,0
Evans Town,16118,20,0,6,4,10,171,8,154,9,1
Fairport Village,5334,2,0,0,1,1,24,1,22,1,0
Fishkill Town,21307,8,0,0,2,6,190,5,184,1,
Fishkill Village,2071,1,0,0,0,1,20,1,19,0,0
Floral Park Village,15927,8,0,0,4,4,26,2,22,2,0
Florida Village,2851,0,0,0,0,0,5,3,2,0,0
Fort Edward Village,3253,2,0,2,0,0,4,2,2,0,0
Fort Plain Village,2224,9,0,4,0,5,53,7,46,0,0
Frankfort Town,4817,3,0,1,0,2,20,3,16,1,1
Frankfort Village,2432,6,0,1,0,5,12,1,9,2,0
