City,Population,"Violent
crime","Murder and
nonnegligent
manslaughter",Rape1,Robbery,"Aggravated
assault","Property
crime",Burglary,"Larceny-
theft","Motor
vehicle
theft",Arson
Abbeville,12142,101,1,2,23,75,315,91,222,2,0
Addis,5747,9,0,0,0,9,1,0,1,0,0
Alexandria,46630,732,9,16,132,575,4180,892,3056,232,0
Baker,13240,51,1,6,8,36,326,45,271,10,0
Bastrop,10156,102,0,4,14,84,827,302,499,26,1
Baton Rouge,220648,2066,70,52,645,1299,11673,2258,8616,799,133
Bernice,1611,6,0,0,1,5,34,16,15,3,0
Berwick,4416,4,0,1,2,1,64,17,46,1,0
Blanchard,3147,0,0,0,0,0,39,6,30,3,0
Bogalusa,11681,147,2,16,14,115,539,128,374,37,1
Bossier City,69044,546,2,52,72,420,3225,461,2382,382,1
Breaux Bridge,8237,42,1,2,10,29,605,73,516,16,0
Broussard,12985,32,0,3,6,23,429,100,315,14,0
Brusly,2737,11,0,1,0,10,24,5,18,1,0
Carencro,9387,34,3,0,0,31,216,43,173,0,0
Church Point,4424,39,1,1,0,37,78,18,57,3,0
Crowley,12621,158,1,8,14,135,528,132,372,24,0
Cullen,1069,2,0,0,0,2,3,0,3,0,0
Epps,819,0,0,0,0,0,0,0,0,0,0
Erath,2059,7,0,0,0,7,25,5,19,1,0
Eunice,9939,51,2,3,5,41,550,104,417,29,0
Farmerville,3725,19,0,0,2,17,174,46,125,3,1
Franklinton,3761,44,0,0,4,40,140,32,98,10,0
French Settlement,1182,1,0,0,0,1,11,1,9,1,0
Georgetown,326,0,0,0,0,0,0,0,0,0,0
Gonzales,10940,61,2,4,13,42,933,39,849,45,0
Gramercy,3307,4,0,0,0,4,79,7,65,7,0
Greensburg,653,3,0,1,0,2,12,3,9,0,0
Greenwood,3141,8,0,0,0,8,77,15,52,10,0
Gretna,17729,119,2,5,7,105,717,84,580,53,1
Harahan,9298,12,0,0,0,12,82,6,68,8,2
Houma,32771,209,4,17,22,166,1489,169,1260,60,6
Ida,205,0,0,0,0,0,0,0,0,0,0
Independence,1921,26,0,1,1,24,99,25,69,5,1
Iowa,3262,11,0,2,0,9,133,31,93,9,0
Jena,3370,3,0,0,0,3,3,0,3,0,0
Kaplan,4465,32,0,3,0,29,43,11,29,3,0
Kenner,66653,149,4,28,37,80,1955,123,1689,143,2
Kinder,2388,10,0,2,3,5,94,12,76,6,0
Krotz Springs,1208,8,0,2,0,6,35,1,32,2,0
Lafayette,126694,664,14,16,148,486,5454,1032,4101,321,31
Lake Arthur,2778,7,0,2,0,5,46,7,35,4,0
Lake Charles,78733,413,11,52,83,267,2907,1212,1467,228,0
Leesville,5617,55,0,13,4,38,243,55,177,11,0
Lutcher,3192,4,0,0,0,4,36,8,26,2,0
Mandeville,12331,18,2,1,3,12,224,23,195,6,0
Many,2704,0,0,0,0,0,4,1,3,0,0
Marksville,5369,119,0,1,4,114,333,90,242,1,0
Minden,11984,105,1,5,19,80,397,110,273,14,2
Monroe,47746,843,9,37,171,626,3141,623,2339,179,11
Natchitoches,17747,177,4,12,23,138,1221,441,741,39,3
New Orleans2,394498,4516,121,774,1013,2608,20879,2143,15785,2951,
Norwood,295,0,0,0,0,0,0,0,0,0,0
Oil City,980,1,0,0,0,1,18,2,16,0,0
Olla,1349,0,0,0,0,0,2,0,0,2,0
Opelousas,16049,394,6,25,48,315,1287,405,831,51,2
Pearl River,2631,19,0,0,1,18,48,10,33,5,0
Pineville,14261,114,0,11,6,97,736,138,554,44,0
Ponchatoula,7478,78,0,5,23,50,523,118,379,26,0
Port Allen,4940,33,2,0,1,30,131,23,100,8,0
Port Vincent,751,2,0,0,0,2,8,4,3,1,0
Rayne,8088,20,0,0,3,17,186,24,157,5,2
Rayville,3492,0,0,0,0,0,2,0,1,1,0
Ruston,22148,85,3,0,10,72,677,105,565,7,0
Scott,8725,12,0,2,0,10,259,61,179,19,0
Shreveport,187556,1462,35,133,294,1000,9189,1626,6915,648,73
Sibley,1144,0,0,0,0,0,0,0,0,0,0
Slidell,27768,75,1,4,11,59,791,73,674,44,0
Springhill,4792,19,0,0,0,19,67,9,53,5,0
Sulphur,20200,66,0,7,15,44,885,107,707,71,0
Tallulah,6701,35,0,2,2,31,35,9,25,1,0
Thibodaux,14587,81,4,5,0,72,515,63,432,20,2
Vidalia,3871,16,0,7,1,8,174,17,154,3,0
Ville Platte,7029,9,0,0,9,0,410,112,282,16,0
Vinton,3291,17,0,2,2,13,100,20,73,7,0
Walker,6296,33,0,4,2,27,328,33,292,3,0
Welsh,3254,20,1,1,1,17,74,16,56,2,0
Westlake,4959,3,0,0,0,3,124,70,43,11,0
West Monroe,12350,113,0,8,17,88,905,146,718,41,1
Westwego,8415,20,0,3,6,11,179,25,144,10,1
Winnfield,4307,24,0,0,3,21,130,37,84,9,1
Youngsville,15020,14,0,3,1,10,157,34,122,1,0
Zachary,18009,79,0,5,3,71,635,39,562,34,0
