City,Population,"Violent
crime","Murder and
nonnegligent
manslaughter",Rape1,Robbery,"Aggravated
assault","Property
crime",Burglary,"Larceny-
theft","Motor
vehicle
theft",Arson
Baker,1928,3,0,0,0,3,7,1,6,0,0
Belgrade,9204,35,0,10,1,24,175,8,153,14,1
Billings2,110198,,,75,98,499,4499,608,3266,625,15
Boulder,1278,2,0,0,0,2,10,0,9,1,0
Bozeman2,50152,,,46,10,67,849,57,747,45,4
Bridger,760,0,0,0,0,0,6,1,4,1,0
Colstrip,2271,2,0,0,0,2,5,0,3,2,0
Columbia Falls,5695,11,0,1,2,8,69,7,61,1,0
Cut Bank,3038,36,0,4,0,32,114,9,97,8,0
Deer Lodge,2888,7,0,1,1,5,17,2,14,1,0
Dillon,4276,8,0,1,0,7,13,3,9,1,0
East Helena,2098,11,0,2,0,9,55,7,35,13,0
Ennis,1019,3,0,0,0,3,4,0,4,0,0
Eureka,1125,1,0,0,0,1,8,0,8,0,0
Glasgow,3334,14,0,4,0,10,35,3,30,2,1
Glendive,4964,5,0,0,0,5,14,4,9,1,0
Great Falls,58637,302,0,39,18,245,3405,318,2826,261,11
Hamilton,4879,18,1,6,0,11,148,14,128,6,0
Havre2,9738,,,3,0,49,360,38,275,47,0
Helena,32806,190,0,57,8,125,1400,125,1201,74,6
Hot Springs,570,0,0,0,0,0,3,1,2,0,0
Kalispell,24473,102,1,14,2,85,821,68,698,55,1
Laurel,6768,28,0,3,1,24,177,7,163,7,5
Libby,2750,4,0,1,0,3,62,5,56,1,1
Manhattan,1865,7,0,0,0,7,20,2,18,0,0
Miles City,8393,22,0,2,0,20,244,11,230,3,0
Missoula,75422,310,3,75,27,205,3082,342,2565,175,6
Polson,5075,26,0,2,0,24,197,13,162,22,1
Red Lodge,2316,5,0,0,0,5,23,2,20,1,0
Ronan City,2113,19,0,1,0,18,50,3,42,5,0
Sidney,6376,30,2,5,0,23,76,18,51,7,1
Stevensville,2051,9,0,1,0,8,24,3,21,0,0
Troy,936,1,0,0,0,1,13,0,13,0,0
West Yellowstone,1396,8,0,0,0,8,25,5,20,0,0
Wolf Point,2761,26,0,0,2,24,54,9,44,1,0
