City,Population,"Violent
crime","Murder and
nonnegligent
manslaughter",Rape1,Robbery,"Aggravated
assault","Property
crime",Burglary,"Larceny-
theft","Motor
vehicle
theft",Arson
Alachua,10070,41,0,4,7,30,230,32,191,7,1
Altamonte Springs,44582,107,0,14,31,62,1408,111,1212,85,1
Altha,504,0,0,0,0,0,0,0,0,0,0
Apopka,55072,206,0,25,41,140,1931,375,1406,150,1
Arcadia,8274,55,3,2,7,43,106,30,70,6,2
Astatula,2091,3,0,0,0,3,10,2,6,2,0
Atlantic Beach,13983,36,1,2,6,27,197,37,145,15,1
Atlantis,2126,6,0,0,2,4,54,6,41,7,0
Auburndale,16679,55,0,6,16,33,715,101,596,18,0
Aventura,38259,69,1,6,26,36,1815,87,1677,51,1
Bal Harbour Village,3086,0,0,0,0,0,98,3,92,3,0
Bartow,20296,77,2,9,10,56,613,98,491,24,2
Bay Harbor Islands,6018,3,0,2,0,1,51,4,36,11,0
Belleair,4253,1,0,0,0,1,32,8,21,3,0
Belleair Beach,1618,1,0,0,1,0,18,4,14,0,0
Belleair Bluffs,2209,2,1,0,0,1,33,6,25,2,0
Belle Glade,20301,200,4,9,16,171,405,81,292,32,5
Belle Isle,7326,16,0,0,9,7,119,23,70,26,0
Belleview,5086,20,0,3,6,11,208,71,129,8,2
Biscayne Park,3169,6,0,0,0,6,30,5,25,0,0
Blountstown,2473,6,0,0,0,6,36,8,23,5,0
Boca Raton,101163,186,3,36,63,84,2183,244,1769,170,6
Bonifay,2683,3,1,0,0,2,5,3,0,2,0
Bowling Green,2899,5,0,0,0,5,46,16,27,3,0
Boynton Beach,79360,566,4,30,120,412,2618,254,2147,217,3
Bradenton,58782,360,6,22,57,275,1474,204,1191,79,2
Bradenton Beach,1292,2,0,0,1,1,21,3,17,1,0
Brooksville,8373,50,0,8,10,32,332,60,255,17,4
Bunnell,2865,33,0,1,3,29,105,26,62,17,0
Cape Coral,194183,226,5,16,36,169,2176,274,1739,163,6
Casselberry,29244,90,0,7,18,65,936,96,788,52,2
Cedar Key,685,1,0,0,0,1,10,3,6,1,0
Center Hill,1472,1,0,0,0,1,5,2,3,0,0
Chattahoochee,3004,16,2,2,0,12,92,15,47,30,0
Chiefland,2162,0,0,0,0,0,55,27,26,2,0
Chipley,3567,26,0,2,5,19,115,13,88,14,0
Clearwater,117458,469,2,80,98,289,2810,268,2370,172,5
Clermont,37818,79,1,11,11,56,678,80,555,43,0
Clewiston,8098,26,1,1,5,19,211,73,130,8,0
Cocoa,18807,151,2,5,58,86,965,137,768,60,3
Cocoa Beach,11806,64,1,6,7,50,300,21,266,13,0
Coconut Creek,62471,82,2,13,19,48,1010,89,802,119,0
Cooper City,36890,26,0,7,8,11,360,34,303,23,1
Coral Gables,51530,50,0,4,17,29,1343,157,1103,83,4
Coral Springs,134967,195,2,40,55,98,2309,163,1977,169,2
Crescent City,1540,10,0,0,2,8,40,7,31,2,0
Crestview,25152,96,3,11,20,62,644,107,478,59,1
Cross City,1710,2,0,0,0,2,2,0,2,0,0
Cutler Bay,45452,94,3,7,28,56,1328,63,1172,93,1
Dade City,7337,36,0,8,5,23,287,32,245,10,0
Dania Beach,32593,221,2,31,59,129,1006,112,780,114,2
Davenport,5814,5,0,0,0,5,76,22,44,10,0
Davie,108486,276,2,21,63,190,2796,203,2316,277,11
Daytona Beach,69834,794,13,18,109,654,2833,380,2213,240,10
Daytona Beach Shores,4579,9,0,0,2,7,107,19,80,8,0
Deerfield Beach,81602,351,6,31,99,215,2161,211,1703,247,2
DeFuniak Springs,6940,29,0,3,0,26,188,23,144,21,2
DeLand,34468,198,4,1,26,167,1126,182,873,71,4
Delray Beach,70509,336,5,33,87,211,2418,299,1914,205,1
Doral,64168,62,1,9,13,39,1475,66,1287,122,0
Dunedin,36743,39,0,6,5,28,472,46,391,35,1
Dunnellon,1830,8,0,1,1,6,92,22,70,0,0
Eatonville,2317,39,0,3,4,32,114,29,73,12,0
Edgewater,22926,22,0,0,1,21,361,108,224,29,0
Edgewood,3044,3,0,0,1,2,66,12,48,6,0
El Portal,2479,2,0,0,2,0,25,4,21,0,0
Eustis,21432,53,1,3,12,37,536,72,402,62,6
Fellsmere,5830,5,1,0,1,3,48,5,39,4,0
Fernandina Beach,12710,25,1,4,0,20,152,13,130,9,1
Flagler Beach,5157,3,0,1,0,2,41,5,33,3,0
Florida City,12180,319,4,5,70,240,885,77,756,52,1
Fort Lauderdale,184765,1098,21,93,408,576,9082,1275,6945,862,10
Fort Myers,85127,486,9,34,94,349,1952,245,1553,154,6
Fort Pierce,46597,259,10,19,66,164,1342,151,1051,140,3
Fort Walton Beach,22645,68,2,18,1,47,475,59,372,44,1
Fruitland Park,11410,25,1,2,1,21,119,53,65,1,0
Gainesville,135085,928,2,153,185,588,4712,501,3803,408,6
Golden Beach,964,1,0,1,0,0,15,0,12,3,0
Graceville,2191,15,0,0,0,15,53,35,15,3,0
Greenacres City,41525,117,1,10,35,71,740,63,640,37,0
