City,Population,"Violent
crime","Murder and
nonnegligent
manslaughter",Rape1,Robbery,"Aggravated
assault","Property
crime",Burglary,"Larceny-
theft","Motor
vehicle
theft",Arson2
Adrian,1599,4,0,1,0,3,65,27,35,3,0
Advance,1337,4,0,1,0,3,21,5,15,1,0
Alma,381,0,0,0,0,0,1,0,1,0,0
Annapolis,338,0,0,0,0,0,2,1,1,0,0
Appleton City,1068,2,0,0,0,2,13,7,4,2,0
Archie,1210,1,0,0,0,1,11,4,6,1,0
Arnold,21102,32,0,1,3,28,629,30,544,55,0
Ash Grove,1447,2,0,0,0,2,28,4,23,1,1
Ashland,3975,3,0,0,0,3,59,7,47,5,0
Aurora,7455,36,0,3,0,33,374,64,279,31,6
Ava,2902,8,0,0,0,8,47,7,38,2,0
Battlefield,6348,0,0,0,0,0,72,13,55,4,0
Bella Villa,726,3,0,1,0,2,8,1,5,2,0
Bellefontaine Neighbors,10416,124,3,6,19,96,354,106,168,80,
Bel-Nor,1398,1,0,0,0,1,25,4,10,11,0
Belton,23657,67,3,18,15,31,730,60,598,72,5
Berkeley,8868,91,1,4,31,55,377,80,196,101,9
Bernie,1884,1,0,0,0,1,23,4,18,1,0
Bertrand,745,0,0,0,0,0,19,11,8,0,0
Bethany,3065,1,0,0,0,1,51,14,32,5,0
Billings,1114,3,0,0,0,3,0,0,0,0,0
Blackburn,238,0,0,0,0,0,0,0,0,0,0
Blue Springs3,55415,99,0,26,9,64,1216,118,961,137,
Bolivar3,11129,30,0,9,4,17,416,45,349,22,0
Boonville3,8410,16,0,3,1,12,189,35,144,10,
Branson,11688,73,0,10,16,47,1173,118,993,62,7
Branson West,449,3,0,1,0,2,102,1,101,0,0
Bucklin,437,0,0,0,0,0,0,0,0,0,0
Buffalo,3073,2,0,0,0,2,93,15,67,11,0
Butler,4017,15,1,4,0,10,132,31,88,13,1
Cabool,2103,5,0,0,0,5,55,9,45,1,0
Calverton Park,1269,10,3,0,1,6,29,7,19,3,
Camdenton,4138,18,0,0,2,16,199,46,148,5,0
Cameron3,9674,32,0,2,1,29,172,16,152,4,1
Campbell,1812,3,0,1,0,2,33,3,27,3,0
Canalou,301,0,0,0,0,0,1,1,0,0,0
Cape Girardeau,40077,233,6,24,46,157,1432,215,1145,72,
Carthage,14808,38,0,15,2,21,505,35,410,60,1
Caruthersville,5451,65,0,5,5,55,221,78,129,14,2
Cassville,3327,15,0,1,1,13,265,17,240,8,0
Charleston,5490,42,1,1,3,37,99,16,76,7,
Chillicothe,9700,31,0,1,2,28,217,55,144,18,2
Clayton,16936,12,0,1,3,8,234,23,176,35,1
Cleveland,663,0,0,0,0,0,4,0,3,1,0
Clever,2787,2,0,0,0,2,12,1,9,2,0
Columbia3,125017,401,11,69,74,247,3243,499,2431,313,13
Conway,775,0,0,0,0,0,0,0,0,0,0
Corder,397,0,0,0,0,0,2,2,0,0,0
Cottleville,5849,5,0,0,1,4,36,1,30,5,0
Country Club Hills,1265,14,0,1,4,9,44,5,26,13,0
Creve Coeur,18829,14,0,1,2,11,289,31,224,34,0
Crystal City,4698,5,2,0,1,2,161,20,129,12,2
Delta,438,0,0,0,0,0,0,0,0,0,0
De Soto,6355,6,0,2,0,4,118,11,106,1,0
Dexter,7861,15,0,7,1,7,193,42,146,5,0
Diamond,923,1,0,0,0,1,7,1,5,1,0
Dixon,1421,15,0,0,0,15,42,6,36,0,0
Doolittle,600,0,0,0,0,0,0,0,0,0,0
Duenweg,1378,3,0,2,0,1,25,4,18,3,2
Duquesne,1577,1,0,0,0,1,52,11,36,5,0
East Lynne,303,0,0,0,0,0,0,0,0,0,0
Edgar Springs,193,0,0,0,0,0,1,0,0,1,0
Edina,1111,1,0,0,0,1,6,5,0,1,0
Edmundson,830,3,0,2,0,1,46,0,30,16,0
Eldon3,4649,14,1,2,1,10,113,17,89,7,0
El Dorado Springs,3594,19,1,4,1,13,237,44,178,15,7
Ellisville,9946,14,0,2,1,11,123,12,97,14,
Eminence,578,0,0,0,0,0,0,0,0,0,0
Excelsior Springs,11715,15,0,8,0,7,253,32,201,20,0
Exeter,773,0,0,0,0,0,0,0,0,0,0
Farber,313,0,0,0,0,0,0,0,0,0,0
Farmington,19178,27,1,6,3,17,641,49,561,31,0
Fayette,2719,6,1,1,1,3,19,5,14,0,0
Ferguson4,20664,,4,10,42,,1001,178,694,129,
Fleming,125,0,0,0,0,0,0,0,0,0,0
Flordell Hills,776,6,0,0,1,5,34,12,20,2,0
Fordland,850,2,0,0,0,2,15,2,12,1,2
Foristell,589,3,0,0,0,3,19,0,18,1,0
Forsyth,2582,5,0,0,0,5,56,6,49,1,0
Frontenac,3851,5,0,2,1,2,95,6,79,10,0
Gladstone,27553,89,1,12,14,62,725,102,504,119,3
Glasgow,1095,0,0,0,0,0,0,0,0,0,0
Glendale,5873,1,0,0,1,0,57,6,42,9,0
Goodman,1257,0,0,0,0,0,11,6,2,3,0
Grain Valley,14464,21,0,4,3,14,208,26,145,37,0
Grandview,25022,192,4,12,37,139,969,113,701,155,
Greenfield,1309,5,0,0,0,5,21,6,13,2,0
Hamilton3,1694,5,0,3,0,2,14,1,11,2,0
Hardin,533,1,0,1,0,0,2,1,1,0,0
Harrisonville,10095,28,0,4,2,22,395,68,286,41,0
Hayti,2548,23,0,1,0,22,125,31,88,6,5
Hazelwood,25146,113,2,5,33,73,695,127,432,136,
Herculaneum,4149,5,0,1,0,4,121,5,98,18,0
Hermann3,2325,3,0,0,0,3,33,7,23,3,1
Higginsville3,4588,3,0,0,0,3,44,6,32,6,0
Highlandville,1052,0,0,0,0,0,0,0,0,0,0
Hillsboro,3231,17,0,0,3,14,69,6,53,10,6
Hillsdale,1568,15,1,0,4,10,29,15,10,4,0
Hollister,4608,7,0,0,0,7,51,0,51,0,
Hornersville,596,1,0,0,0,1,7,5,0,2,0
Houston,2091,6,0,0,0,6,119,19,97,3,0
Howardville,339,1,0,0,0,1,0,0,0,0,0
Humansville,1059,3,0,0,0,3,6,3,3,0,0
Huntsville,1513,1,0,0,0,1,3,0,3,0,0
Iberia,749,1,0,0,0,1,7,1,4,2,0
Independence3,116931,689,6,125,106,452,5443,559,3877,1007,19
Jackson,15151,16,0,1,0,15,228,28,185,15,
Jasper,969,1,0,0,0,1,15,2,13,0,0
Jefferson City,42793,119,2,30,23,64,1101,125,910,66,4
Jonesburg,709,0,0,0,0,0,16,3,12,1,0
Joplin,50635,307,2,63,63,179,3677,521,2815,341,22
Kansas City,495964,7099,150,347,1443,5159,19124,3070,12253,3801,160
Kearney,10736,7,0,5,0,2,109,3,96,10,0
Kimberling City,2286,8,0,2,0,6,33,0,29,4,0
Kimmswick,151,0,0,0,0,0,0,0,0,0,0
Ladue,8650,8,0,0,2,6,143,17,106,20,0
La Grange,902,0,0,0,0,0,7,1,6,0,0
Lake Lotawana,2126,1,0,0,0,1,28,8,14,6,0
Lake Ozark,1832,1,0,0,0,1,47,1,46,0,0
Lakeshire,1393,1,0,0,0,1,4,3,1,0,0
Lake St. Louis,16444,22,0,0,2,20,267,14,234,19,0
Lake Tapawingo,720,3,0,0,0,3,10,3,6,1,0
La Plata,1312,3,0,1,0,2,7,3,3,1,0
Lathrop,2009,2,0,1,0,1,12,2,8,2,0
Laurie,947,4,0,0,0,4,26,5,21,0,0
Lawson3,2389,9,0,6,1,2,19,3,14,2,0
Lebanon,14841,60,0,15,5,40,709,93,567,49,10
Lee's Summit,99365,115,0,33,28,54,2095,212,1702,181,3
Licking3,3087,8,0,1,0,7,25,7,16,2,0
Lilbourn,1060,0,0,0,0,0,0,0,0,0,0
Lone Jack,1342,5,0,1,0,4,19,2,12,5,0
Louisiana,3241,12,0,3,0,9,88,10,72,6,0
