City,Population,"Violent
crime","Murder and
nonnegligent
manslaughter",Rape1,Robbery,"Aggravated
assault","Property
crime",Burglary,"Larceny-
theft","Motor
vehicle
theft",Arson
Alamosa,10086,63,1,17,5,40,511,94,392,25,5
Arvada,122312,266,1,42,58,165,3642,316,2951,375,9
Aspen,7461,9,0,2,2,5,240,16,220,4,0
Aurora,380600,2799,28,438,638,1695,11106,1554,7258,2294,104
Avon,6496,10,0,3,0,7,93,1,82,10,0
Basalt,4209,1,0,0,0,1,10,0,10,0,0
Bayfield,2754,1,0,1,0,0,41,15,26,0,0
Black Hawk,128,8,0,0,0,8,211,4,200,7,0
Boulder,108519,278,1,41,37,199,3284,405,2628,251,6
Bow Mar,959,0,0,0,0,0,10,3,6,1,0
Breckenridge,5079,16,1,4,1,10,189,7,176,6,0
Brighton,42267,138,0,36,5,97,1119,93,859,167,3
Broomfield,70798,75,2,13,9,51,2046,205,1710,131,3
Buena Vista,2857,1,0,0,1,0,23,0,22,1,0
Burlington,3072,14,0,4,0,10,71,10,50,11,0
Canon City,16793,103,3,37,2,61,818,136,635,47,6
Carbondale,6941,9,0,2,0,7,77,4,69,4,0
Castle Rock,67208,30,0,16,4,10,962,96,806,60,2
Center,2312,6,0,4,2,0,63,21,39,3,1
Cherry Hills Village,6734,3,0,2,0,1,74,17,52,5,0
Colorado Springs,479648,2806,23,431,485,1867,17587,2400,12095,3092,115
Columbine Valley,1519,0,0,0,0,0,7,1,6,0,0
Commerce City,60198,272,5,76,44,147,1845,212,1258,375,11
Cortez,8748,43,0,10,4,29,282,26,246,10,3
Craig,8886,14,0,2,3,9,251,33,209,9,2
Crested Butte,1708,2,0,0,0,2,11,4,7,0,0
Cripple Creek,1271,8,0,0,0,8,63,11,50,2,1
Dacono,6074,5,0,3,1,1,69,22,40,7,0
Delta,8929,10,0,0,2,8,337,69,244,24,5
Denver,728941,5459,67,713,1205,3474,27288,3967,18027,5294,107
Dillon,981,3,0,0,0,3,25,3,19,3,0
Durango,19271,75,0,13,7,55,611,73,508,30,3
Eaton,5690,3,0,1,0,2,41,2,34,5,0
Edgewater,5363,9,0,2,4,3,352,34,288,30,1
Elizabeth,1424,2,1,1,0,0,15,2,13,0,0
Englewood,35273,72,1,8,19,44,1843,108,1432,303,13
Erie,26523,28,0,4,3,21,239,33,192,14,3
Estes Park,6406,10,0,0,0,10,58,13,42,3,0
Evans2,21585,47,0,32,4,11,406,61,287,58,7
Fairplay,773,0,0,0,0,0,11,3,8,0,0
Firestone,15558,6,1,2,0,3,127,16,94,17,4
Florence,3965,3,0,1,0,2,44,3,33,8,0
Fort Collins,170889,371,1,41,36,293,3713,350,3135,228,7
Fort Morgan,11355,43,0,24,3,16,271,38,203,30,2
Fountain,31041,127,2,23,15,87,665,98,479,88,2
Fowler,1139,0,0,0,0,0,7,4,2,1,0
Fraser/Winter Park,2371,14,0,5,0,9,60,4,53,3,0
Frederick,14238,0,0,0,0,0,14,3,4,7,0
Frisco,3220,11,0,2,0,9,84,2,77,5,0
Fruita,13504,22,1,3,1,17,208,24,174,10,2
Glendale,5289,50,1,5,14,30,936,22,833,81,1
Glenwood Springs,10027,27,0,7,1,19,469,33,416,20,2
Granby,2133,0,0,0,0,0,25,1,23,1,0
Grand Junction,63949,235,3,43,30,159,2463,278,2034,151,20
Greeley,109255,386,2,71,67,246,2542,338,1898,306,20
Green Mountain Falls,714,0,0,0,0,0,2,2,0,0,0
Gunnison,6689,20,0,5,0,15,91,5,78,8,1
Hayden,1992,1,0,0,0,1,30,5,22,3,0
Holyoke,2204,0,0,0,0,0,6,1,5,0,0
Hotchkiss,932,2,0,2,0,0,20,3,16,1,0
Hudson,1806,7,0,2,1,4,33,3,23,7,1
Idaho Springs,1803,14,0,3,0,11,92,6,78,8,0
Ignacio,892,4,0,0,0,4,14,3,11,0,0
Johnstown,15547,17,0,5,1,11,291,16,256,19,3
Kersey,1679,3,0,0,0,3,1,0,0,1,0
Lafayette,29522,63,0,28,4,31,731,77,605,49,4
La Junta,6983,32,1,15,3,13,386,83,279,24,1
Lakeside,8,0,0,0,0,0,205,1,202,2,0
Lamar,7619,0,0,0,0,0,82,15,67,0,0
La Salle,2400,6,0,0,0,6,30,11,16,3,0
Leadville,2785,8,0,3,0,5,27,6,16,5,0
Limon,1929,0,0,0,0,0,2,0,1,1,0
Littleton,48831,43,0,20,13,10,1372,211,974,187,6
Lone Tree,15129,47,1,5,10,31,1051,40,976,35,3
Longmont,97928,422,1,124,31,266,2548,294,1935,319,43
Louisville,21532,16,0,5,0,11,301,40,244,17,3
Loveland,78856,222,0,54,18,150,1571,157,1289,125,10
Mancos,1429,2,0,0,0,2,17,3,13,1,0
Manitou Springs,5388,5,1,1,0,3,72,12,53,7,0
Mead,4924,4,0,4,0,0,55,6,38,11,0
Meeker,2238,5,0,2,0,3,22,1,21,0,1
Milliken,7978,1,0,1,0,0,29,3,20,6,1
Monte Vista,4084,19,0,4,2,13,157,25,123,9,2
Montrose,19564,40,0,0,9,31,689,68,571,50,5
Mountain View,541,0,0,0,0,0,11,0,10,1,0
Mountain Village,1450,1,0,0,0,1,19,0,15,4,0
Mount Crested Butte,859,7,0,2,0,5,15,0,14,1,0
Nederland,1560,2,0,0,0,2,4,0,3,1,0
New Castle,5095,4,0,0,0,4,46,5,39,2,1
Northglenn,39420,180,1,48,21,110,1229,119,868,242,12
Oak Creek,975,4,0,3,0,1,7,0,6,1,0
Olathe,1824,0,0,0,0,0,6,1,2,3,0
Pagosa Springs,2044,5,0,1,0,4,44,7,36,1,0
Palisade,2723,6,0,3,0,3,34,4,30,0,0
Parachute,1125,16,0,4,0,12,34,6,18,10,1
Parker,57050,55,1,12,5,37,826,150,610,66,3
Platteville,3922,5,0,2,0,3,55,7,36,12,0
Pueblo3,112381,,5,110,,481,4801,894,3208,699,61
Rangely,2278,3,0,1,0,2,5,1,4,0,0
Rifle,9782,38,1,6,3,28,221,25,180,16,4
Salida,6061,5,0,0,0,5,184,7,166,11,0
Severance,5362,2,0,2,0,0,15,3,11,1,0
Sheridan,6233,28,0,4,7,17,450,37,369,44,2
Silt,3215,10,0,0,0,10,20,4,12,4,0
Silverthorne,4948,2,0,0,0,2,90,8,76,6,0
Simla,642,2,0,0,0,2,3,1,2,0,0
Snowmass Village,2767,0,0,0,0,0,14,0,14,0,0
South Fork,348,1,0,1,0,0,8,2,3,3,0
Springfield,1369,1,0,0,0,1,3,1,2,0,0
Sterling,13573,107,1,35,5,66,462,99,344,19,7
