City,Population,"Violent
crime","Murder and
nonnegligent
manslaughter",Rape1,Robbery,"Aggravated
assault","Property
crime",Burglary,"Larceny-
theft","Motor
vehicle
theft",Arson
Barre,8605,72,1,28,3,40,237,24,212,1,2
Barre Town,7693,8,0,3,2,3,44,8,36,0,0
Bellows Falls,2993,3,0,0,0,3,56,9,44,3,0
Bennington,14900,31,0,5,4,22,415,51,351,13,0
Berlin,2796,4,0,0,1,3,120,6,113,1,0
Bradford,2697,0,0,0,0,0,22,7,14,1,0
Brandon,3766,9,0,1,0,8,41,7,34,0,0
Brattleboro,11410,40,0,2,9,29,457,67,368,22,2
Bristol,3891,4,0,0,1,3,17,4,10,3,0
Burlington,42212,115,1,22,10,82,837,120,704,13,3
Castleton,4595,0,0,0,0,0,0,0,0,0,0
Chester,3006,3,0,1,0,2,28,8,19,1,0
Colchester,17313,16,0,6,1,9,196,21,175,0,1
Dover,1057,5,0,1,0,4,52,6,46,0,0
Essex,21803,13,0,0,3,10,297,59,227,11,2
Hardwick,2849,7,0,2,1,4,33,6,27,0,0
Hartford,9567,25,0,12,0,13,127,25,92,10,0
Hinesburg,4577,3,0,1,0,2,18,2,14,2,0
Ludlow,1870,3,0,1,0,2,12,1,11,0,0
Lyndonville,1157,4,0,0,1,3,23,1,22,0,0
Manchester,4230,5,0,0,0,5,46,8,38,0,1
Middlebury,8613,5,0,1,0,4,96,11,82,3,0
Milton,11024,16,0,8,1,7,104,20,84,0,0
Montpelier,7434,7,0,4,1,2,161,28,132,1,1
Morristown,5450,6,0,3,1,2,73,5,68,0,0
Newport,4248,22,0,5,1,16,104,13,88,3,1
Northfield,6006,16,0,4,2,10,46,8,35,3,0
Norwich,3304,2,0,1,0,1,13,5,7,1,0
Pittsford,2806,1,0,0,0,1,6,2,4,0,0
Royalton,2835,0,0,0,0,0,9,1,7,1,0
Rutland,15300,60,0,3,5,52,383,56,312,15,2
Rutland Town,4078,5,0,3,0,2,48,4,44,0,0
Shelburne,7817,3,0,1,0,2,48,8,36,4,0
South Burlington,19318,32,1,17,1,13,572,51,520,1,1
Springfield,8864,16,0,5,2,9,185,42,142,1,1
St. Albans,6777,39,0,6,0,33,431,36,393,2,1
St. Johnsbury,7158,15,0,3,0,12,98,12,85,1,1
Stowe,4495,3,0,2,0,1,51,4,47,0,0
Swanton,6560,8,0,0,0,8,55,12,40,3,0
Thetford,2557,0,0,0,0,0,5,0,5,0,0
Vergennes,2547,2,0,1,0,1,37,2,34,1,0
Weathersfield,2745,4,0,1,0,3,15,4,11,0,0
Williston,9778,7,0,2,0,5,193,17,174,2,0
Wilmington,1796,2,0,2,0,0,11,2,7,2,0
Windsor,3377,8,0,0,0,8,34,5,26,3,0
Winhall,730,1,0,0,0,1,9,0,9,0,0
Winooski,7233,28,0,5,2,21,121,26,95,0,2
Woodstock,2917,3,0,1,0,2,23,2,20,1,0
