County,County Population,Predominant City,State,People per sq mi,Median household income,% with at least Bachelor's degree,Median age,Median home price,Median home sqft,Median home cost per sqft,Median home age,Homeownership Rate,Avg Apartment Monthly Rent,Single Population,Num Violent Crimes Per 100k residents,Num Property Crimes Per 100k residents,Poverty Rate,Unemployment rate,Labor Force Participation rate,% Democrat,% Republican,% Asian,% Black,% Non-Hispanic White,% Hispanic,Foreign Born %,Timezone,Hottest month's avg high (F),Coldest month's avg high (F),Hottest high minus coldest high,Annual rainfall (in),Annual snowfall (in),Average yearly windspeed (mph),Air quality Index,UV Index,Latitude,Longitude,Annual Sunshine - Percentage of Possible,Summer Sunshine - Percentage of Possible,Winter Sunshine - Percentage of Possible,Annual Relative Humidity (afternoon),Summer Relative Humidity (afternoon),Number of days with thunder per year,Annual dew point (F),Average summer dew point (F),Hottest month's avg low (F),Coldest month's avg low (F),Summer rainfall (in),Winter rainfall (in),Percent of days that include precipitation,Percent of Summer days that include precipitation,Percent of Winter days that include precipitation,Days of snow per year
Kings (Brooklyn) County,11195193,New York,New York,30543,$51376,N/A%,N/A,$795000,1385,$574,70,29%,$3010,57%,N/A,N/A,15%,4%,N/A%,79%,17%,N/A%,N/A%,N/A%,26%,37%,Eastern Standard Time,N/A,N/A,N/A,N/A,N/A,N/A,25,3,N/A,N/A,N/A%,N/A%,N/A%,N/A%,N/A%,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A%,N/A%,N/A%,N/A
Los Angeles County,9862913,Los Angeles,California,8399,$72408,32%,36,$891630,1530,$579,56,48%,$1569,54%,544,2274,14%,6%,64%,71%,22%,14%,8%,25%,48%,33%,Pacific Standard Time,91,67,23,11,0,3,42,6,34.092718856095196,-118.31459883907296,72%,77%,70%,54%,57%,4,51,58,63,44,0.08,7.66,9%,1%,18%,0
Cook County,5868743,Chicago,Illinois,9770,$69619,39%,37,$315199,1498,$208,60,61%,$1191,55%,795,2738,13%,6%,66%,73%,20%,6%,23%,41%,25%,20%,Central Standard Time,83,32,50,40,41,8,51,3,41.849036353549046,-87.76565641118135,52%,65%,39%,60%,56%,38,39,59,66,18,13.01,6.28,35%,36%,32%,27
Maricopa County,4207067,Phoenix,Arizona,2973,$69804,33%,36,$482869,1734,$275,30,63%,$1230,51%,221,2259,12%,5%,65%,44%,47%,4%,5%,54%,31%,14%,Mountain Standard Time,104,64,39,8,0,6,52,6,33.51168670333409,-112.03665344960714,85%,89%,80%,23%,19%,25,40,51,80,41,2.17,2.79,9%,10%,13%,0
Orange County,3133633,Anaheim,California,6832,$95187,40%,38,$1036123,1680,$599,44,56%,$1954,48%,212,1872,10%,4%,65%,50%,42%,21%,1%,39%,33%,29%,Pacific Standard Time,85,68,17,10,0,5,53,5,33.73121717571119,-117.86319306213235,71%,75%,70%,55%,55%,4,51,58,65,48,0.1,6.8,10%,1%,19%,0
Harris County,3023701,Houston,Texas,3509,$59847,32%,33,$324979,1930,$164,40,51%,$1117,53%,1015,4253,18%,6%,66%,54%,41%,5%,19%,27%,45%,26%,Central Standard Time,94,63,30,55,0,7,48,6,29.786861374028845,-95.34624623301958,55%,65%,47%,59%,57%,60,58,71,76,44,17.33,10.31,27%,29%,31%,0
San Diego County,2987246,San Diego,California,4428,$83971,40%,36,$880540,1569,$562,41,54%,$1746,50%,339,1728,11%,6%,66%,56%,36%,12%,5%,44%,33%,23%,Pacific Standard Time,82,66,15,10,1,6,59,5,32.86808536184104,-117.11408272579375,69%,66%,74%,63%,67%,3,52,59,65,45,0.16,6.35,12%,1%,22%,0
Dallas County,2754165,Dallas,Texas,3596,$65678,33%,33,$402998,1833,$218,38,54%,$1193,52%,612,2937,14%,5%,69%,60%,34%,6%,22%,29%,38%,23%,Central Standard Time,97,57,39,41,2,N/A,48,5,32.80266269825046,-96.78222605064427,61%,71%,56%,54%,50%,45,51,67,76,36,8.86,8.25,21%,19%,21%,0
Miami-Dade County,2507797,Miami,Florida,8871,$56893,30%,40,$503025,1460,$342,42,53%,$1428,55%,478,3346,16%,5%,63%,63%,33%,1%,16%,13%,68%,54%,Eastern Standard Time,90,76,14,63,0,8,57,7,25.771580248401722,-80.29141741606252,70%,73%,67%,61%,64%,72,66,73,76,59,25.38,7.17,36%,55%,24%,0
Riverside County,2342419,Riverside,California,2834,$74460,22%,36,$576814,1827,$317,31,67%,$1522,49%,314,2419,12%,7%,60%,49%,44%,6%,6%,33%,49%,21%,Pacific Standard Time,97,67,30,9,1,5,62,5,33.802090783334776,-117.08556390613458,70%,69%,72%,57%,58%,4,52,58,67,43,0.32,5.71,8%,2%,16%,0
Queens County,2339280,Queens,New York,21554,$57210,N/A%,N/A,N/A,N/A,N/A,66,40%,$2561,52%,N/A,N/A,N/A%,3%,N/A%,75%,21%,N/A%,N/A%,N/A%,28%,N/A%,Eastern Standard Time,85,40,45,45,26,7,23,3,40.6546747,-73.8407963,55%,62%,50%,53%,51%,25,41,61,70,27,12.71,11.0,33%,34%,35%,10
King County,2200903,Seattle,Washington,5460,$102076,53%,37,$873766,1826,$478,42,60%,$1735,48%,358,3638,8%,4%,70%,69%,21%,18%,6%,57%,9%,23%,Pacific Standard Time,77,46,31,43,6,7,28,2,47.552019509147705,-122.24407689547078,45%,60%,27%,63%,50%,6,42,51,57,36,3.47,16.11,45%,21%,61%,2
Clark County,2195343,Las Vegas,Nevada,4186,$61403,24%,37,$398371,1658,$239,24,55%,$1205,53%,117,707,13%,7%,64%,52%,41%,9%,11%,41%,31%,22%,Pacific Standard Time,104,56,48,5,0,N/A,50,5,36.148612830079536,-115.15472529481099,84%,90%,77%,20%,14%,13,29,39,81,38,1.05,1.71,6%,4%,10%,0
Tarrant County,1994893,Fort Worth,Texas,3008,$73790,32%,34,$378614,1967,$189,33,63%,$1171,49%,405,2570,11%,5%,68%,43%,51%,5%,16%,46%,29%,15%,Central Standard Time,97,58,38,36,2,N/A,41,5,32.77579168352776,-97.25795817965343,61%,71%,56%,54%,50%,45,51,67,75,35,7.99,6.77,21%,18%,20%,0
San Bernardino County,1987126,San Bernardino,California,2974,$67658,21%,33,$543638,1652,$328,38,59%,$1388,51%,547,2250,14%,7%,61%,52%,41%,7%,8%,27%,53%,20%,Pacific Standard Time,95,63,31,11,0,5,60,5,34.185770382907975,-117.35627151811828,71%,76%,70%,54%,55%,4,51,57,64,39,0.29,7.01,8%,1%,17%,0
Broward County,1940653,Fort Lauderdale,Florida,5460,$65144,33%,40,$413374,1469,$279,38,62%,$1511,54%,348,2469,12%,5%,65%,66%,31%,3%,28%,35%,30%,34%,Eastern Standard Time,91,76,14,62,0,8,66,6,26.135694549495756,-80.23296513905933,70%,73%,67%,61%,64%,73,65,73,77,59,22.74,7.92,37%,53%,25%,0
Santa Clara County,1885650,San Jose,California,5629,$132389,53%,37,$1551808,1697,$901,45,57%,$2393,45%,314,2425,7%,4%,67%,72%,20%,38%,2%,30%,24%,40%,Pacific Standard Time,81,59,21,16,0,7,49,5,37.28343837952075,-121.94771479235655,67%,69%,60%,67%,66%,2,46,51,57,41,0.13,9.44,15%,1%,30%,0
Marion County,1819827,Indianapolis,Indiana,9325,$47726,32%,34,$218179,1703,$127,47,53%,$914,59%,N/A,N/A,16%,4%,67%,58%,35%,3%,28%,54%,10%,9%,Eastern Standard Time,85,36,48,47,24,8,56,3,39.781677444527695,-86.14312927440926,51%,64%,41%,60%,57%,41,42,63,66,20,13.57,9.63,35%,33%,39%,18
Wayne County,1747214,Detroit,Michigan,4307,$51556,21%,37,$156523,1264,$119,61,63%,$907,59%,1112,2889,24%,9%,57%,66%,29%,2%,42%,44%,6%,8%,Eastern Standard Time,84,32,51,36,50,8,61,3,42.32731602985738,-83.21664257322675,52%,67%,39%,59%,54%,32,39,59,63,19,10.97,6.87,36%,33%,38%,39
